Date,EM (EMERGING MARKETS) MID GROWTH Mid Cap
2001-01-01,252.983
2001-01-02,251.725
2001-01-03,253.446
2001-01-04,261.42
2001-01-05,262.822
2001-01-08,264.534
2001-01-09,267.023
2001-01-10,267.333
2001-01-11,267.49
2001-01-12,268.808
2001-01-15,270.385
2001-01-16,269.247
2001-01-17,271.69
2001-01-18,271.596
2001-01-19,274.943
2001-01-22,277.288
2001-01-23,279.052
2001-01-24,278.238
2001-01-25,279.107
2001-01-26,278.044
2001-01-29,277.534
2001-01-30,280.026
2001-01-31,283.454
2001-02-01,282.919
2001-02-02,283.447
2001-02-05,279.853
2001-02-06,279.76
2001-02-07,275.598
2001-02-08,276.782
2001-02-09,276.149
2001-02-12,277.214
2001-02-13,278.122
2001-02-14,276.465
2001-02-15,278.762
2001-02-16,275.334
2001-02-19,272.151
2001-02-20,271.527
2001-02-21,264.606
2001-02-22,259.557
2001-02-23,257.413
2001-02-26,260.967
2001-02-27,260.407
2001-02-28,258.863
2001-03-01,259.286
2001-03-02,257.835
2001-03-05,259.751
2001-03-06,260.705
2001-03-07,261.17
2001-03-08,260.116
2001-03-09,257.233
2001-03-12,249.769
2001-03-13,247.717
2001-03-14,244.678
2001-03-15,244.412
2001-03-16,242.387
2001-03-19,239.836
2001-03-20,240.458
2001-03-21,238.704
2001-03-22,235.551
2001-03-23,236.884
2001-03-26,240.502
2001-03-27,240.479
2001-03-28,238.366
2001-03-29,234.381
2001-03-30,234.145
2001-04-02,229.321
2001-04-03,224.958
2001-04-04,224.446
2001-04-05,228.209
2001-04-06,227.681
2001-04-09,225.967
2001-04-10,226.613
2001-04-11,229.142
2001-04-12,230.963
2001-04-13,231.533
2001-04-16,230.367
2001-04-17,229.332
2001-04-18,235.078
2001-04-19,236.352
2001-04-20,233.705
2001-04-23,231.93
2001-04-24,233.608
2001-04-25,233.122
2001-04-26,235.615
2001-04-27,238.986
2001-04-30,240.025
2001-05-01,239.808
2001-05-02,241.046
2001-05-03,241.197
2001-05-04,239.796
2001-05-07,239.633
2001-05-08,238.307
2001-05-09,237.464
2001-05-10,237.748
2001-05-11,236.856
2001-05-14,236.541
2001-05-15,235.51
2001-05-16,237.449
2001-05-17,241.221
2001-05-18,241.922
2001-05-21,242.897
2001-05-22,244.279
2001-05-23,245.714
2001-05-24,247.276
2001-05-25,247.402
2001-05-28,247.18
2001-05-29,246.243
2001-05-30,243.774
2001-05-31,244.037
2001-06-01,242.348
2001-06-04,243.109
2001-06-05,242.846
2001-06-06,243.711
2001-06-07,243.23
2001-06-08,245.44
2001-06-11,244.254
2001-06-12,244.11
2001-06-13,243.552
2001-06-14,244.051
2001-06-15,244.691
2001-06-18,239.527
2001-06-19,238.183
2001-06-20,236.84
2001-06-21,237.611
2001-06-22,239.109
2001-06-25,238.695
2001-06-26,238.325
2001-06-27,237.565
2001-06-28,237.541
2001-06-29,238.915
2001-07-02,239.116
2001-07-03,237.976
2001-07-04,235.715
2001-07-05,234.406
2001-07-06,230.596
2001-07-09,230.056
2001-07-10,228.527
2001-07-11,223.907
2001-07-12,224.532
2001-07-13,222.824
2001-07-16,221.467
2001-07-17,221.904
2001-07-18,222.922
2001-07-19,224.051
2001-07-20,223.099
2001-07-23,223.876
2001-07-24,224.247
2001-07-25,223.153
2001-07-26,224.593
2001-07-27,224.367
2001-07-30,225.161
2001-07-31,225.285
2001-08-01,226.091
2001-08-02,229.127
2001-08-03,229.986
2001-08-06,228.299
2001-08-07,228.382
2001-08-08,228.871
2001-08-09,227.219
2001-08-10,227.857
2001-08-13,228.428
2001-08-14,230.255
2001-08-15,231.017
2001-08-16,231.317
2001-08-17,231.639
2001-08-20,230.206
2001-08-21,229.768
2001-08-22,228.625
2001-08-23,228.473
2001-08-24,228.486
2001-08-27,230.376
2001-08-28,229.225
2001-08-29,229.444
2001-08-30,226.96
2001-08-31,226.013
2001-09-03,224.608
2001-09-04,225.246
2001-09-05,223.732
2001-09-06,222.657
2001-09-07,222.089
2001-09-10,219.142
2001-09-11,212.717
2001-09-12,208.686
2001-09-13,204.669
2001-09-14,197.146
2001-09-17,190.584
2001-09-18,191.506
2001-09-19,193.269
2001-09-20,188.758
2001-09-21,184.103
2001-09-24,185.108
2001-09-25,185.205
2001-09-26,185.446
2001-09-27,185.489
2001-09-28,186.856
2001-10-01,186.081
2001-10-02,184.181
2001-10-03,182.996
2001-10-04,186.085
2001-10-05,185.925
2001-10-08,183.725
2001-10-09,185.847
2001-10-10,186.406
2001-10-11,190.66
2001-10-12,190.045
2001-10-15,190.13
2001-10-16,191.987
2001-10-17,192.972
2001-10-18,192.295
2001-10-19,192.769
2001-10-22,193.939
2001-10-23,194.733
2001-10-24,195.912
2001-10-25,195.744
2001-10-26,197.624
2001-10-29,197.249
2001-10-30,193.861
2001-10-31,194.252
2001-11-01,195.018
2001-11-02,196.11
2001-11-05,198.536
2001-11-06,199.618
2001-11-07,200.314
2001-11-08,201.332
2001-11-09,200.105
2001-11-12,201.073
2001-11-13,201.63
2001-11-14,204.592
2001-11-15,207.719
2001-11-16,209.058
2001-11-19,212.428
2001-11-20,209.908
2001-11-21,210.239
2001-11-22,211.077
2001-11-23,213.301
2001-11-26,218.09
2001-11-27,217.621
2001-11-28,212.725
2001-11-29,211.56
2001-11-30,212.729
2001-12-03,215.812
2001-12-04,216.83
2001-12-05,220.238
2001-12-06,224.271
2001-12-07,226.228
2001-12-10,226.283
2001-12-11,226.192
2001-12-12,229.488
2001-12-13,227.76
2001-12-14,227.457
2001-12-17,226.684
2001-12-18,223.47
2001-12-19,222.425
2001-12-20,223.515
2001-12-21,222.045
2001-12-24,223.162
2001-12-25,225.808
2001-12-26,227.681
2001-12-27,227.81
2001-12-28,229.861
2001-12-31,232.586
2002-01-01,232.743
2002-01-02,234.93
2002-01-03,236.383
2002-01-04,240.101
2002-01-07,242.706
2002-01-08,241.324
2002-01-09,243.724
2002-01-10,244.276
2002-01-11,241.328
2002-01-14,241.744
2002-01-15,240.218
2002-01-16,237.369
2002-01-17,238.616
2002-01-18,239.42
2002-01-21,242.092
2002-01-22,243.705
2002-01-23,244.723
2002-01-24,246.533
2002-01-25,248.343
2002-01-28,248.252
2002-01-29,244.936
2002-01-30,243.633
2002-01-31,245.62
2002-02-01,245.207
2002-02-04,244.083
2002-02-05,245.703
2002-02-06,248.915
2002-02-07,247.119
2002-02-08,248.316
2002-02-11,247.304
2002-02-12,247.96
2002-02-13,249.801
2002-02-14,251.7
2002-02-15,252.949
2002-02-18,254.143
2002-02-19,252.002
2002-02-20,249.275
