Date,DENMARK IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,238.45
2001-01-02,244.501
2001-01-03,251.085
2001-01-04,257.087
2001-01-05,263.772
2001-01-08,259.281
2001-01-09,255.091
2001-01-10,255.064
2001-01-11,256.687
2001-01-12,261.862
2001-01-15,260.964
2001-01-16,258.391
2001-01-17,257.075
2001-01-18,261.426
2001-01-19,259.067
2001-01-22,260.872
2001-01-23,259.667
2001-01-24,260.311
2001-01-25,259.088
2001-01-26,256.684
2001-01-29,255.151
2001-01-30,258.704
2001-01-31,259.852
2001-02-01,261.597
2001-02-02,256.624
2001-02-05,255.357
2001-02-06,252.176
2001-02-07,250.242
2001-02-08,245.628
2001-02-09,243.06
2001-02-12,245.541
2001-02-13,241.614
2001-02-14,240.63
2001-02-15,242.859
2001-02-16,247.791
2001-02-19,248.303
2001-02-20,246.45
2001-02-21,241.263
2001-02-22,227.461
2001-02-23,221.61
2001-02-26,220.163
2001-02-27,225.51
2001-02-28,225.24
2001-03-01,224.386
2001-03-02,226.444
2001-03-05,226.954
2001-03-06,230.768
2001-03-07,229.157
2001-03-08,231.665
2001-03-09,231.684
2001-03-12,227.669
2001-03-13,222.081
2001-03-14,216.983
2001-03-15,215.786
2001-03-16,212.927
2001-03-19,209.35
2001-03-20,212.737
2001-03-21,211.859
2001-03-22,204.675
2001-03-23,208.347
2001-03-26,211.611
2001-03-27,212.305
2001-03-28,211.663
2001-03-29,207.539
2001-03-30,211.542
2001-04-02,212.558
2001-04-03,213.371
2001-04-04,213.144
2001-04-05,214.603
2001-04-06,215.629
2001-04-09,216.462
2001-04-10,215.264
2001-04-11,217.5
2001-04-12,218.206
2001-04-13,218.206
2001-04-16,218.492
2001-04-17,218.292
2001-04-18,218.849
2001-04-19,223.287
2001-04-20,224.1
2001-04-23,221.122
2001-04-24,221.8
2001-04-25,222.206
2001-04-26,224.685
2001-04-27,223.469
2001-04-30,224.274
2001-05-01,225.068
2001-05-02,224.153
2001-05-03,227.645
2001-05-04,227.952
2001-05-07,229.588
2001-05-08,226.532
2001-05-09,226.384
2001-05-10,225.985
2001-05-11,224.181
2001-05-14,222.987
2001-05-15,223.199
2001-05-16,223.608
2001-05-17,227.9
2001-05-18,227.074
