Date,DENMARK IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,224.421
2001-01-02,230.116
2001-01-03,236.313
2001-01-04,241.962
2001-01-05,248.254
2001-01-08,244.027
2001-01-09,240.083
2001-01-10,240.058
2001-01-11,241.586
2001-01-12,246.456
2001-01-15,245.611
2001-01-16,243.189
2001-01-17,241.95
2001-01-18,246.045
2001-01-19,243.826
2001-01-22,245.524
2001-01-23,244.391
2001-01-24,244.996
2001-01-25,243.845
2001-01-26,241.582
2001-01-29,240.14
2001-01-30,243.484
2001-01-31,244.565
2001-02-01,246.207
2001-02-02,241.526
2001-02-05,240.334
2001-02-06,237.34
2001-02-07,235.519
2001-02-08,231.177
2001-02-09,228.76
2001-02-12,231.095
2001-02-13,227.399
2001-02-14,226.473
2001-02-15,228.571
2001-02-16,233.213
2001-02-19,233.695
2001-02-20,231.951
2001-02-21,227.069
2001-02-22,214.079
2001-02-23,208.572
2001-02-26,207.21
2001-02-27,212.242
2001-02-28,211.989
2001-03-01,211.185
2001-03-02,213.121
2001-03-05,213.602
2001-03-06,217.191
2001-03-07,215.675
2001-03-08,218.035
2001-03-09,218.078
2001-03-12,214.299
2001-03-13,209.039
2001-03-14,204.241
2001-03-15,203.114
2001-03-16,200.423
2001-03-19,197.056
2001-03-20,200.244
2001-03-21,199.417
2001-03-22,192.655
2001-03-23,196.112
2001-03-26,199.184
2001-03-27,199.838
2001-03-28,199.902
2001-03-29,196.007
2001-03-30,199.787
2001-04-02,200.747
2001-04-03,201.515
2001-04-04,201.3
2001-04-05,202.678
2001-04-06,203.647
2001-04-09,204.434
2001-04-10,203.303
2001-04-11,205.415
2001-04-12,206.082
2001-04-13,206.082
2001-04-16,206.352
2001-04-17,206.163
2001-04-18,206.688
2001-04-19,210.92
2001-04-20,211.688
2001-04-23,208.875
2001-04-24,209.516
2001-04-25,209.905
2001-04-26,212.248
2001-04-27,211.634
2001-04-30,212.408
2001-05-01,213.16
2001-05-02,212.331
2001-05-03,215.659
2001-05-04,215.95
2001-05-07,217.5
2001-05-08,214.604
2001-05-09,214.464
2001-05-10,214.086
2001-05-11,212.377
2001-05-14,211.308
2001-05-15,211.511
2001-05-16,211.899
2001-05-17,215.967
2001-05-18,215.184
2001-05-21,215.332
2001-05-22,212.775
2001-05-23,211.276
2001-05-24,210.496
2001-05-25,215.73
2001-05-28,217.907
2001-05-29,214.715
2001-05-30,215.858
2001-05-31,216.313
2001-06-01,213.062
2001-06-04,213.358
2001-06-05,213.439
2001-06-06,213.989
2001-06-07,212.006
2001-06-08,209.978
2001-06-11,207.834
2001-06-12,209.884
2001-06-13,212.608
2001-06-14,212.733
2001-06-15,213.73
2001-06-18,214.047
2001-06-19,214.199
2001-06-20,211.716
2001-06-21,211.161
2001-06-22,212.168
2001-06-25,214.624
2001-06-26,211.28
2001-06-27,212.421
2001-06-28,214.391
2001-06-29,213.969
2001-07-02,211.861
2001-07-03,211.267
2001-07-04,210.034
2001-07-05,209.231
2001-07-06,207.159
2001-07-09,209.467
2001-07-10,212.165
2001-07-11,212.568
2001-07-12,208.775
2001-07-13,207.825
2001-07-16,209.437
2001-07-17,205.963
2001-07-18,210.675
2001-07-19,212.223
2001-07-20,210.873
2001-07-23,209.459
2001-07-24,209.255
2001-07-25,209.688
2001-07-26,209.003
2001-07-27,209.968
2001-07-30,211.792
2001-07-31,212.293
2001-08-01,215.765
2001-08-02,216.148
2001-08-03,216.095
2001-08-06,213.561
2001-08-07,211.657
2001-08-08,208.409
2001-08-09,208.55
2001-08-10,210.32
2001-08-13,212.334
2001-08-14,213.023
2001-08-15,216.533
2001-08-16,214.734
2001-08-17,215.541
2001-08-20,213.623
2001-08-21,215.366
2001-08-22,216.686
2001-08-23,216.107
2001-08-24,216.763
2001-08-27,214.935
2001-08-28,214.12
2001-08-29,213.783
2001-08-30,210.965
2001-08-31,209.164
2001-09-03,205.916
2001-09-04,203.264
2001-09-05,202.159
2001-09-06,201.731
2001-09-07,203.312
2001-09-10,201.224
2001-09-11,198.842
2001-09-12,199.179
2001-09-13,201.901
2001-09-14,203.451
2001-09-17,198.842
2001-09-18,194.156
2001-09-19,199.043
2001-09-20,193.924
2001-09-21,184.138
2001-09-24,188.761
2001-09-25,187.394
2001-09-26,190.694
2001-09-27,193.284
2001-09-28,197.169
2001-10-01,193.313
2001-10-02,196.72
2001-10-03,194.955
2001-10-04,197.696
2001-10-05,197.191
2001-10-08,197.624
2001-10-09,198.497
2001-10-10,199.328
2001-10-11,203.906
2001-10-12,200.108
2001-10-15,200.527
2001-10-16,199.807
2001-10-17,201.68
2001-10-18,199.278
2001-10-19,194.599
2001-10-22,196.629
2001-10-23,196.634
2001-10-24,195.909
2001-10-25,193.889
2001-10-26,197.342
2001-10-29,196.393
2001-10-30,192.737
2001-10-31,192.64
2001-11-01,193.032
2001-11-02,191.859
2001-11-05,189.898
2001-11-06,189.911
2001-11-07,195.342
2001-11-08,193.707
2001-11-09,190.719
2001-11-12,188.97
2001-11-13,187.267
2001-11-14,189.694
2001-11-15,189.218
2001-11-16,192.971
2001-11-19,193.18
2001-11-20,193.938
2001-11-21,190.512
2001-11-22,191.747
2001-11-23,193.177
2001-11-26,194.505
2001-11-27,193.549
2001-11-28,191.239
2001-11-29,191.107
2001-11-30,195.704
2001-12-03,194.129
2001-12-04,195.728
2001-12-05,193.421
2001-12-06,193.16
2001-12-07,191.136
2001-12-10,189.633
2001-12-11,190.206
2001-12-12,191.199
2001-12-13,191.553
2001-12-14,189.941
2001-12-17,191.267
2001-12-18,193.591
2001-12-19,195.367
2001-12-20,197.423
2001-12-21,195.587
2001-12-24,193.687
2001-12-25,193.687
2001-12-26,193.848
2001-12-27,199.587
2001-12-28,197.631
2001-12-31,199.566
2002-01-01,199.566
2002-01-02,203.47
2002-01-03,205.088
2002-01-04,203.36
2002-01-07,200.807
2002-01-08,197.135
2002-01-09,194.713
2002-01-10,199.312
2002-01-11,198.303
2002-01-14,198.449
2002-01-15,196.491
2002-01-16,197.241
2002-01-17,200.761
2002-01-18,199.752
2002-01-21,197.974
2002-01-22,198.857
2002-01-23,198.303
2002-01-24,197.706
2002-01-25,192.325
2002-01-28,192.937
2002-01-29,191.512
2002-01-30,193.349
2002-01-31,196.974
2002-02-01,198.347
2002-02-04,199.84
2002-02-05,197.279
2002-02-06,197.003
2002-02-07,199.146
2002-02-08,201.972
2002-02-11,202.68
2002-02-12,198.821
2002-02-13,198.951
2002-02-14,198.848
2002-02-15,200.898
2002-02-18,198.232
2002-02-19,197.749
2002-02-20,194.6
2002-02-21,188.281
2002-02-22,191.893
2002-02-25,194.517
2002-02-26,194.86
2002-02-27,197.003
2002-02-28,196.747
2002-03-01,196.326
2002-03-04,198.216
2002-03-05,200.985
2002-03-06,197.722
2002-03-07,196.499
2002-03-08,197.264
2002-03-11,194.777
2002-03-12,194.003
2002-03-13,193.905
2002-03-14,195.237
2002-03-15,196.209
2002-03-18,198.352
2002-03-19,199.281
2002-03-20,198.659
2002-03-21,198.624
2002-03-22,202.476
2002-03-25,204.439
2002-03-26,205.583
2002-03-27,203.578
2002-03-28,203.479
2002-03-29,203.479
2002-04-01,205.155
2002-04-02,204.471
2002-04-03,202.195
2002-04-04,203.836
2002-04-05,204.189
2002-04-08,205.069
2002-04-09,205.024
2002-04-10,205.501
2002-04-11,205.715
2002-04-12,210.16
2002-04-15,212.651
2002-04-16,212.576
2002-04-17,217.146
2002-04-18,217.892
2002-04-19,220.626
2002-04-22,220.978
2002-04-23,219.909
2002-04-24,221.271
2002-04-25,222.239
2002-04-26,222.237
2002-04-29,224.422
2002-04-30,228.768
2002-05-01,226.631
2002-05-02,228.325
2002-05-03,231.464
2002-05-06,229.282
2002-05-07,230.051
2002-05-08,237.006
2002-05-09,236.954
2002-05-10,235.547
2002-05-13,236.202
2002-05-14,232.628
2002-05-15,232.994
2002-05-16,232.374
2002-05-17,236.01
2002-05-20,236.089
2002-05-21,236.883
2002-05-22,238.812
2002-05-23,238.564
2002-05-24,239.467
2002-05-27,238.098
2002-05-28,238.356
2002-05-29,239.416
2002-05-30,242.6
2002-05-31,240.196
2002-06-03,242.991
2002-06-04,242.114
2002-06-05,240.594
2002-06-06,246.379
2002-06-07,242.363
