Date,DENMARK IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,114.008
1994-06-30,119.592
1994-07-29,123.718
1994-08-31,121.157
1994-09-30,122.468
1994-10-31,126.054
1994-11-30,119.781
1994-12-30,122.363
1995-01-31,125.782
1995-02-28,130.656
1995-03-31,131.321
1995-04-28,137.398
1995-05-31,143.406
1995-06-30,142.682
1995-07-31,154.242
1995-08-31,142.788
1995-09-29,141.724
1995-10-31,142.273
1995-11-30,142.291
1995-12-29,143.894
1996-01-31,145.681
1996-02-29,147.74
1996-03-29,138.408
1996-04-30,137.622
1996-05-31,138.493
1996-06-28,142.603
1996-07-31,141.739
1996-08-30,148.781
1996-09-30,149.578
1996-10-31,154.076
1996-11-29,156.26
1996-12-31,163.855
1997-01-31,171.253
1997-02-28,168.113
1997-03-31,170.342
1997-04-30,164.106
1997-05-30,173.311
1997-06-30,179.148
1997-07-31,188.493
1997-08-29,177.811
1997-09-30,187.555
1997-10-31,197.186
1997-11-28,198.069
1997-12-31,206.177
1998-01-30,211.883
1998-02-27,209.218
1998-03-31,236.641
1998-04-30,230.931
1998-05-29,240.517
1998-06-30,239.94
1998-07-31,250.455
1998-08-31,229.233
1998-09-30,216.392
1998-10-30,231.428
1998-11-30,225.944
1998-12-31,241.696
1999-01-29,236.914
1999-02-26,216.671
1999-03-31,198.154
1999-04-30,207.549
1999-05-31,206.6
1999-06-30,201.609
1999-07-30,215.893
1999-08-31,211.164
1999-09-30,215.712
1999-10-29,222.154
1999-11-30,223.15
1999-12-31,228.904
2000-01-31,212.548
2000-02-29,223.294
2000-03-31,241.454
2000-04-28,219.759
2000-05-31,228.275
2000-06-30,226.612
2000-07-31,221.97
2000-08-31,220.436
2000-09-29,218.57
2000-10-31,225.156
2000-11-30,223.94
2000-12-29,238.45
2001-01-31,259.852
2001-02-28,225.24
2001-03-30,211.542
2001-04-30,224.274
2001-05-31,228.203
2001-06-29,225.723
2001-07-31,223.952
2001-08-31,220.651
2001-09-28,207.889
2001-10-31,203.114
2001-11-30,206.344
2001-12-31,210.416
2002-01-31,207.683
2002-02-28,207.444
2002-03-29,213.286
2002-04-30,239.68
2002-05-31,251.591
2002-06-28,256.577
2002-07-31,244.249
2002-08-30,246.58
2002-09-30,214.86
2002-10-31,219.038
2002-11-29,233.007
2002-12-31,235.196
2003-01-31,235.768
2003-02-28,226.856
2003-03-31,241.276
2003-04-30,274.964
2003-05-30,304.494
2003-06-30,301.375
2003-07-31,289.948
2003-08-29,304.982
2003-09-30,316.56
2003-10-31,339.877
2003-11-28,346.1
2003-12-31,379.939
2004-01-30,398.397
2004-02-27,399.806
2004-03-31,392.704
2004-04-30,383.068
2004-05-31,387.355
2004-06-30,400.462
2004-07-30,393.083
2004-08-31,409.808
2004-09-30,435.198
2004-10-29,458.611
2004-11-30,506.331
2004-12-31,522.47
2005-01-31,508.464
2005-02-28,543.321
2005-03-31,534.408
2005-04-29,536.093
2005-05-31,544.197
2005-06-30,553.874
2005-07-29,578.228
2005-08-31,597.792
2005-09-30,609.859
2005-10-31,610.908
2005-11-30,637.403
2005-12-30,671.681
2006-01-31,695.462
2006-02-28,700.501
2006-03-31,751.376
2006-04-28,814.86
2006-05-31,792.332
2006-06-30,780.299
2006-07-31,784.411
2006-08-31,797.716
2006-09-29,811.973
2006-10-31,867.442
2006-11-30,932.629
2006-12-29,952.957
2007-01-31,981.71
2007-02-28,985.71
2007-03-30,1016.803
2007-04-30,1052.331
2007-05-31,1000.0
2007-06-29,946.042
2007-07-31,977.503
2007-08-31,945.422
2007-09-28,949.756
2007-10-31,1009.085
2007-11-30,912.046
2007-12-31,880.314
2008-01-31,779.051
2008-02-29,845.713
2008-03-31,861.376
2008-04-30,827.444
2008-05-30,830.462
2008-06-30,712.565
2008-07-31,699.803
2008-08-29,681.764
2008-09-30,551.853
2008-10-31,375.179
2008-11-28,327.377
2008-12-31,310.625
2009-01-30,313.723
2009-02-27,256.741
2009-03-31,287.506
2009-04-30,353.491
2009-05-29,469.941
2009-06-30,466.827
2009-07-31,533.689
2009-08-31,609.492
2009-09-30,621.175
2009-10-30,586.347
2009-11-30,567.415
2009-12-31,585.934
2010-01-29,600.92
2010-02-26,594.654
2010-03-31,642.038
2010-04-30,637.004
2010-05-31,557.403
2010-06-30,556.836
2010-07-30,632.164
2010-08-31,634.258
2010-09-30,724.931
2010-10-29,750.549
2010-11-30,668.985
2010-12-31,755.569
2011-01-31,822.377
2011-02-28,826.71
2011-03-31,809.638
2011-04-29,877.054
2011-05-31,833.915
2011-06-30,750.688
2011-07-29,697.828
2011-08-31,606.633
2011-09-30,524.119
2011-10-31,587.892
2011-11-30,572.402
2011-12-30,538.885
2012-01-31,611.56
2012-02-29,679.494
2012-03-30,647.395
2012-04-30,658.738
2012-05-31,542.363
2012-06-29,565.398
2012-07-31,575.079
2012-08-31,583.045
2012-09-28,627.541
2012-10-31,611.03
2012-11-30,614.763
2012-12-31,641.532
2013-01-31,693.444
2013-02-28,707.69
2013-03-29,716.594
2013-04-30,721.152
2013-05-31,755.49
2013-06-28,744.536
2013-07-31,842.573
2013-08-30,867.383
2013-09-30,957.896
2013-10-31,1019.348
2013-11-29,1048.853
2013-12-31,1105.979
2014-01-31,1105.064
2014-02-28,1199.361
2014-03-31,1156.411
2014-04-30,1172.918
2014-05-30,1248.895
2014-06-30,1240.319
2014-07-31,1190.639
2014-08-29,1199.461
2014-09-30,1131.768
2014-10-31,1121.136
2014-11-28,1079.075
2014-12-31,1044.06
2015-01-30,1020.335
2015-02-27,1108.36
2015-03-31,1088.978
2015-04-30,1111.292
2015-05-29,1106.841
2015-06-30,1085.61
2015-07-31,1081.921
2015-08-31,1045.942
2015-09-30,977.318
2015-10-30,933.613
2015-11-30,940.651
2015-12-31,889.104
2016-01-29,839.547
2016-02-29,849.985
2016-03-31,902.092
2016-04-29,929.975
2016-05-31,897.357
2016-06-30,847.763
2016-07-29,891.699
2016-08-31,954.518
2016-09-30,955.323
2016-10-31,971.528
2016-11-30,902.849
2016-12-30,964.32
2017-01-31,1027.697
2017-02-28,1025.085
2017-03-31,1066.222
2017-04-28,1124.139
2017-05-31,1187.912
2017-06-30,1218.53
2017-07-31,1290.049
2017-08-31,1269.063
2017-09-29,1301.962
2017-10-31,1267.118
2017-11-30,1248.75
2017-12-29,1287.095
2018-01-31,1334.598
2018-02-28,1333.137
2018-03-30,1283.862
2018-04-30,1253.292
2018-05-31,1182.486
2018-06-29,1137.086
2018-07-31,1127.12
2018-08-31,1115.195
2018-09-28,1053.478
2018-10-31,869.681
2018-11-30,887.396
2018-12-31,844.602
2019-01-31,861.193
2019-02-28,893.733
2019-03-29,858.87
2019-04-30,915.94
2019-05-31,841.882
2019-06-28,854.957
2019-07-31,811.157
2019-08-30,745.21
2019-09-30,787.776
2019-10-31,832.242
2019-11-29,819.895
2019-12-31,903.652
2020-01-31,868.659
2020-02-28,762.493
2020-03-31,592.476
2020-04-30,654.662
2020-05-29,691.394
2020-06-30,707.925
2020-07-31,805.034
2020-08-31,818.581
2020-09-30,772.699
2020-10-30,787.271
2020-11-30,950.999
2020-12-31,1003.891
2021-01-29,970.641
2021-02-26,1041.506
2021-03-31,1070.109
2021-04-30,1131.826
2021-05-31,1175.599
2021-06-30,1163.399
2021-07-30,1169.936
2021-08-31,1160.043
2021-09-30,1082.133
2021-10-29,1126.901
2021-11-30,1070.753
2021-12-31,1150.45
2022-01-31,1111.205
2022-02-28,1073.104
2022-03-31,1069.488
2022-04-29,1034.884
2022-05-31,1038.998
2022-06-30,918.768
2022-07-29,989.995
2022-08-31,919.981
2022-09-30,789.613
2022-10-31,872.39
2022-11-30,934.867
2022-12-30,994.804
2023-01-31,1036.337
2023-02-28,1109.586
2023-03-31,1062.897
2023-04-28,1087.559
2023-05-31,1021.959
2023-06-30,1114.291
2023-07-31,1127.0
2023-08-31,1024.586
2023-09-29,995.088
2023-10-31,943.054
2023-11-30,991.186
2023-12-29,1056.23
2024-01-31,1076.94
2024-02-29,1071.217
2024-03-29,1077.32
2024-04-30,1084.852
2024-05-31,1182.45
2024-06-28,1144.952
2024-07-31,1180.433
2024-08-30,1161.119
2024-09-30,1205.979
2024-10-31,1125.858
2024-11-29,1117.928
2024-12-31,1094.786
2025-01-31,1104.769
2025-02-28,1208.996
2025-03-31,1231.018
2025-04-30,1273.467
2025-05-30,1373.241
2025-06-30,1429.264
2025-07-31,1432.586
2025-08-29,1451.04
2025-09-30,1470.293
2025-10-31,1523.383
2025-11-28,1557.396
2025-12-31,1641.544
