Date,DENMARK IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,103.265
1994-06-30,108.322
1994-07-29,112.06
1994-08-31,109.747
1994-09-30,110.934
1994-10-31,114.186
1994-11-30,108.505
1994-12-30,110.851
1995-01-31,113.949
1995-02-28,118.365
1995-03-31,119.327
1995-04-28,125.112
1995-05-31,130.77
1995-06-30,130.127
1995-07-31,140.67
1995-08-31,130.237
1995-09-29,129.274
1995-10-31,129.774
1995-11-30,129.791
1995-12-29,131.253
1996-01-31,132.883
1996-02-29,134.761
1996-03-29,126.498
1996-04-30,125.98
1996-05-31,127.487
1996-06-28,131.271
1996-07-31,130.476
1996-08-30,136.962
1996-09-30,137.704
1996-10-31,141.844
1996-11-29,143.855
1996-12-31,150.854
1997-01-31,157.665
1997-02-28,154.774
1997-03-31,157.03
1997-04-30,151.997
1997-05-30,160.725
1997-06-30,166.144
1997-07-31,174.811
1997-08-29,164.909
1997-09-30,173.952
1997-10-31,182.884
1997-11-28,183.703
1997-12-31,191.246
1998-01-30,196.539
1998-02-27,194.067
1998-03-31,219.68
1998-04-30,215.275
1998-05-29,224.384
1998-06-30,223.852
1998-07-31,233.662
1998-08-31,213.863
1998-09-30,201.883
1998-10-30,215.911
1998-11-30,210.794
1998-12-31,225.49
1999-01-29,221.029
1999-02-26,202.143
1999-03-31,185.149
1999-04-30,194.367
1999-05-31,193.515
1999-06-30,188.839
1999-07-30,202.218
1999-08-31,197.789
1999-09-30,202.135
1999-10-29,208.171
1999-11-30,209.105
1999-12-31,214.537
2000-01-31,199.208
2000-02-29,209.28
2000-03-31,226.683
2000-04-28,206.704
2000-05-31,214.745
2000-06-30,213.181
2000-07-31,208.815
2000-08-31,207.371
2000-09-29,205.703
2000-10-31,211.902
2000-11-30,210.758
2000-12-29,224.421
2001-01-31,244.565
2001-02-28,211.989
2001-03-30,199.787
2001-04-30,212.408
2001-05-31,216.313
2001-06-29,213.969
2001-07-31,212.293
2001-08-31,209.164
2001-09-28,197.169
2001-10-31,192.64
2001-11-30,195.704
2001-12-31,199.566
2002-01-31,196.974
2002-02-28,196.747
2002-03-29,203.479
2002-04-30,228.768
2002-05-31,240.196
2002-06-28,244.958
2002-07-31,233.188
2002-08-30,235.414
2002-09-30,205.306
2002-10-31,209.306
2002-11-29,222.655
2002-12-31,224.748
2003-01-31,225.295
2003-02-28,216.779
2003-03-31,231.939
2003-04-30,265.29
2003-05-30,293.729
2003-06-30,290.721
2003-07-31,279.698
2003-08-29,294.37
2003-09-30,305.545
2003-10-31,328.051
2003-11-28,334.058
2003-12-31,366.723
2004-01-30,384.539
2004-02-27,385.899
2004-03-31,382.924
2004-04-30,373.764
2004-05-31,377.974
2004-06-30,390.763
2004-07-30,383.563
2004-08-31,400.146
2004-09-30,424.937
2004-10-29,447.798
2004-11-30,494.393
2004-12-31,510.151
2005-01-31,496.475
2005-02-28,530.511
2005-03-31,526.73
2005-04-29,528.849
2005-05-31,536.843
2005-06-30,546.389
2005-07-29,570.415
2005-08-31,589.987
2005-09-30,601.897
2005-10-31,602.932
2005-11-30,629.081
2005-12-30,662.937
2006-01-31,686.409
2006-02-28,691.382
2006-03-31,745.306
2006-04-28,808.968
2006-05-31,786.603
2006-06-30,774.657
2006-07-31,778.74
2006-08-31,791.948
2006-09-29,806.102
2006-10-31,861.17
2006-11-30,925.885
2006-12-29,946.067
2007-01-31,974.611
2007-02-28,978.582
2007-03-30,1016.119
2007-04-30,1052.331
2007-05-31,1000.0
2007-06-29,946.068
2007-07-31,977.53
2007-08-31,945.77
2007-09-28,950.105
2007-10-31,1009.61
2007-11-30,912.52
2007-12-31,880.771
2008-01-31,779.455
2008-02-29,846.383
2008-03-31,868.132
2008-04-30,835.696
2008-05-30,838.93
2008-06-30,719.866
2008-07-31,706.973
2008-08-29,689.285
2008-09-30,557.983
2008-10-31,379.346
2008-11-28,331.013
2008-12-31,314.075
2009-01-30,317.207
2009-02-27,259.593
2009-03-31,291.033
2009-04-30,358.713
2009-05-29,476.885
2009-06-30,473.737
2009-07-31,541.589
2009-08-31,618.933
2009-09-30,630.797
2009-10-30,595.429
2009-11-30,576.204
2009-12-31,595.01
2010-01-29,610.228
2010-02-26,603.865
2010-03-31,652.625
2010-04-30,648.259
2010-05-31,567.251
2010-06-30,566.711
2010-07-30,643.374
2010-08-31,646.718
2010-09-30,739.172
2010-10-29,765.293
2010-11-30,682.127
2010-12-31,770.412
2011-01-31,838.533
2011-02-28,842.951
2011-03-31,825.634
2011-04-29,897.784
2011-05-31,853.626
2011-06-30,768.432
2011-07-29,714.375
2011-08-31,621.017
2011-09-30,536.547
2011-10-31,601.832
2011-11-30,585.975
2011-12-30,551.663
2012-01-31,626.062
2012-02-29,695.606
2012-03-30,663.406
2012-04-30,678.165
2012-05-31,558.358
2012-06-29,582.073
2012-07-31,592.039
2012-08-31,601.499
2012-09-28,647.403
2012-10-31,630.369
2012-11-30,634.22
2012-12-31,661.837
2013-01-31,715.392
2013-02-28,730.089
2013-03-29,741.495
2013-04-30,749.104
2013-05-31,784.773
2013-06-28,773.394
2013-07-31,875.231
2013-08-30,902.411
2013-09-30,996.578
2013-10-31,1060.512
2013-11-29,1091.209
2013-12-31,1150.642
2014-01-31,1149.69
2014-02-28,1247.795
2014-03-31,1206.501
2014-04-30,1227.26
2014-05-30,1306.758
2014-06-30,1297.784
2014-07-31,1245.803
2014-08-29,1257.05
2014-09-30,1186.123
2014-10-31,1174.979
2014-11-28,1130.899
2014-12-31,1094.237
2015-01-30,1069.371
2015-02-27,1161.673
2015-03-31,1160.1
2015-04-30,1184.445
2015-05-29,1179.701
2015-06-30,1157.072
2015-07-31,1153.399
2015-08-31,1115.725
2015-09-30,1042.566
2015-10-30,995.969
2015-11-30,1003.477
2015-12-31,948.488
2016-01-29,895.62
2016-02-29,906.868
2016-03-31,964.505
2016-04-29,998.582
2016-05-31,963.557
2016-06-30,910.475
2016-07-29,957.87
2016-08-31,1025.415
2016-09-30,1026.306
2016-10-31,1043.715
2016-11-30,969.934
2016-12-30,1035.971
2017-01-31,1104.057
2017-02-28,1101.277
2017-03-31,1153.141
2017-04-28,1216.559
2017-05-31,1285.575
2017-06-30,1319.242
2017-07-31,1396.832
2017-08-31,1374.109
2017-09-29,1409.764
2017-10-31,1372.186
2017-11-30,1352.473
2017-12-29,1394.002
2018-01-31,1445.451
2018-02-28,1443.922
2018-03-30,1400.308
2018-04-30,1368.925
2018-05-31,1291.66
2018-06-29,1242.343
2018-07-31,1232.153
2018-08-31,1219.117
2018-09-28,1152.533
2018-10-31,951.67
2018-11-30,971.055
2018-12-31,924.226
2019-01-31,942.496
2019-02-28,978.164
2019-03-29,946.593
2019-04-30,1011.835
2019-05-31,930.024
2019-06-28,944.608
2019-07-31,896.215
2019-08-30,824.094
2019-09-30,871.165
2019-10-31,920.338
2019-11-29,906.684
2019-12-31,999.307
2020-01-31,960.724
2020-02-28,843.305
2020-03-31,656.873
2020-04-30,726.029
2020-05-29,766.765
2020-06-30,785.098
2020-07-31,892.793
2020-08-31,907.839
2020-09-30,856.954
2020-10-30,873.114
2020-11-30,1054.696
2020-12-31,1113.355
2021-01-29,1076.928
2021-02-26,1155.553
2021-03-31,1191.843
2021-04-30,1261.569
2021-05-31,1310.36
2021-06-30,1296.812
2021-07-30,1304.35
2021-08-31,1293.32
2021-09-30,1206.46
2021-10-29,1256.847
2021-11-30,1194.225
2021-12-31,1283.111
2022-01-31,1239.566
2022-02-28,1197.144
2022-03-31,1202.039
2022-04-29,1164.868
2022-05-31,1169.65
2022-06-30,1034.466
2022-07-29,1114.837
2022-08-31,1036.239
2022-09-30,889.397
2022-10-31,982.808
2022-11-30,1053.456
2022-12-30,1120.995
2023-01-31,1167.892
2023-02-28,1250.439
2023-03-31,1220.656
2023-04-28,1250.668
2023-05-31,1175.309
2023-06-30,1281.55
2023-07-31,1300.011
2023-08-31,1181.965
2023-09-29,1147.936
2023-10-31,1087.909
2023-11-30,1143.521
2023-12-29,1218.73
2024-01-31,1243.099
2024-02-29,1236.493
2024-03-29,1251.93
2024-04-30,1262.539
2024-05-31,1376.123
2024-06-28,1332.53
