Date,AUSTRALIA SMID GROWTH SMID (Small+Mid Cap)
2020-08-31,1440.068
2020-09-30,1359.124
2020-10-30,1366.291
2020-11-30,1513.658
2020-12-31,1589.226
2021-01-29,1575.056
2021-02-26,1557.447
2021-03-31,1578.911
2021-04-30,1697.209
2021-05-31,1727.808
2021-06-30,1739.681
2021-07-30,1706.535
2021-08-31,1780.842
2021-09-30,1742.676
2021-10-29,1818.979
2021-11-30,1744.862
2021-12-31,1837.439
2022-01-31,1585.183
2022-02-28,1618.069
2022-03-31,1772.064
2022-04-29,1635.892
2022-05-31,1570.026
2022-06-30,1348.88
2022-07-29,1484.646
2022-08-31,1495.699
2022-09-30,1297.673
2022-10-31,1371.54
2022-11-30,1495.404
2022-12-30,1432.754
2023-01-31,1595.864
2023-02-28,1507.521
2023-03-31,1495.099
2023-04-28,1526.365
2023-05-31,1486.423
2023-06-30,1544.794
2023-07-31,1601.274
2023-08-31,1535.739
2023-09-29,1462.689
2023-10-31,1349.716
2023-11-30,1485.189
2023-12-29,1623.217
2024-01-31,1586.771
2024-02-29,1654.467
2024-03-29,1710.087
2024-04-30,1660.563
2024-05-31,1696.562
2024-06-28,1686.546
2024-07-31,1695.115
2024-08-30,1768.382
2024-09-30,1892.673
2024-10-31,1740.395
2024-11-29,1829.437
2024-12-31,1658.577
2025-01-31,1770.618
2025-02-28,1705.751
2025-03-31,1620.682
2025-04-30,1712.419
2025-05-30,1825.924
2025-06-30,1858.683
2025-07-31,1842.88
2025-08-29,1961.8
2025-09-30,2035.489
2025-10-31,2016.495
2025-11-28,1976.368
