Date,AUSTRALIA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,244.213
2001-01-02,246.821
2001-01-03,247.76
2001-01-04,250.003
2001-01-05,252.233
2001-01-08,248.205
2001-01-09,244.746
2001-01-10,242.454
2001-01-11,241.077
2001-01-12,240.431
2001-01-15,236.621
2001-01-16,237.111
2001-01-17,237.796
2001-01-18,243.902
2001-01-19,247.665
2001-01-22,247.099
2001-01-23,245.378
2001-01-24,241.704
2001-01-25,242.743
2001-01-26,242.074
2001-01-29,243.689
2001-01-30,246.347
2001-01-31,248.389
2001-02-01,251.725
2001-02-02,249.343
2001-02-05,247.181
2001-02-06,246.904
2001-02-07,243.832
2001-02-08,239.814
2001-02-09,236.952
2001-02-12,238.109
2001-02-13,236.039
2001-02-14,233.651
2001-02-15,230.343
2001-02-16,233.472
2001-02-19,230.358
2001-02-20,228.029
2001-02-21,230.249
2001-02-22,228.99
2001-02-23,227.899
2001-02-26,229.242
2001-02-27,230.478
2001-02-28,231.562
2001-03-01,233.282
2001-03-02,234.486
2001-03-05,231.58
2001-03-06,229.446
2001-03-07,227.219
2001-03-08,225.97
2001-03-09,224.653
2001-03-12,222.533
2001-03-13,216.038
2001-03-14,214.869
2001-03-15,209.257
2001-03-16,209.221
2001-03-19,209.367
2001-03-20,210.576
2001-03-21,208.34
2001-03-22,207.073
2001-03-23,207.538
2001-03-26,210.19
2001-03-27,212.152
2001-03-28,210.733
2001-03-29,209.218
2001-03-30,206.077
2001-04-02,206.762
2001-04-03,205.875
2001-04-04,208.468
2001-04-05,209.795
2001-04-06,212.062
2001-04-09,211.544
2001-04-10,211.889
2001-04-11,213.814
2001-04-12,217.31
2001-04-13,217.31
2001-04-16,217.995
2001-04-17,214.472
2001-04-18,211.772
2001-04-19,219.12
2001-04-20,220.661
2001-04-23,215.116
2001-04-24,213.491
2001-04-25,213.999
2001-04-26,218.558
2001-04-27,219.278
2001-04-30,221.88
2001-05-01,223.349
2001-05-02,224.598
2001-05-03,225.697
2001-05-04,224.951
2001-05-07,226.022
2001-05-08,225.252
2001-05-09,228.076
2001-05-10,232.956
2001-05-11,231.899
2001-05-14,229.161
2001-05-15,229.353
2001-05-16,231.085
2001-05-17,235.734
2001-05-18,233.787
2001-05-21,236.963
2001-05-22,232.238
2001-05-23,230.311
2001-05-24,228.778
2001-05-25,229.066
2001-05-28,229.259
2001-05-29,226.463
2001-05-30,224.741
2001-05-31,220.378
2001-06-01,222.056
2001-06-04,223.35
2001-06-05,223.206
2001-06-06,223.638
2001-06-07,228.039
2001-06-08,229.913
2001-06-11,229.452
2001-06-12,228.278
2001-06-13,231.949
2001-06-14,233.131
2001-06-15,232.492
2001-06-18,228.941
2001-06-19,228.874
2001-06-20,229.039
2001-06-21,230.203
2001-06-22,229.523
2001-06-25,230.866
2001-06-26,232.489
2001-06-27,233.613
2001-06-28,230.898
