Date,AUSTRALIA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,231.022
2001-01-02,233.488
2001-01-03,234.377
2001-01-04,236.498
2001-01-05,238.608
2001-01-08,234.797
2001-01-09,231.525
2001-01-10,229.358
2001-01-11,228.054
2001-01-12,227.444
2001-01-15,223.847
2001-01-16,224.31
2001-01-17,224.958
2001-01-18,230.735
2001-01-19,234.295
2001-01-22,233.76
2001-01-23,232.131
2001-01-24,228.656
2001-01-25,229.638
2001-01-26,229.006
2001-01-29,230.533
2001-01-30,233.048
2001-01-31,234.98
2001-02-01,238.136
2001-02-02,235.882
2001-02-05,233.837
2001-02-06,233.575
2001-02-07,230.675
2001-02-08,226.874
2001-02-09,224.17
2001-02-12,225.265
2001-02-13,223.307
2001-02-14,221.053
2001-02-15,217.923
2001-02-16,220.883
2001-02-19,217.937
2001-02-20,215.769
2001-02-21,217.881
2001-02-22,216.701
2001-02-23,215.668
2001-02-26,216.941
2001-02-27,218.112
2001-02-28,219.158
2001-03-01,220.787
2001-03-02,221.931
2001-03-05,219.3
2001-03-06,217.283
2001-03-07,215.184
2001-03-08,214.018
2001-03-09,212.826
2001-03-12,210.818
2001-03-13,204.668
2001-03-14,203.601
2001-03-15,198.287
2001-03-16,198.258
2001-03-19,198.402
2001-03-20,199.587
2001-03-21,197.468
2001-03-22,196.267
2001-03-23,196.711
2001-03-26,199.241
2001-03-27,201.11
2001-03-28,199.765
2001-03-29,198.343
2001-03-30,195.366
2001-04-02,196.023
2001-04-03,195.184
2001-04-04,197.648
2001-04-05,198.917
2001-04-06,201.066
2001-04-09,200.573
2001-04-10,200.901
2001-04-11,202.726
2001-04-12,206.043
2001-04-13,206.043
2001-04-16,206.692
2001-04-17,203.363
2001-04-18,200.815
2001-04-19,207.788
2001-04-20,209.249
2001-04-23,203.991
2001-04-24,202.462
2001-04-25,202.944
2001-04-26,207.267
2001-04-27,207.95
2001-04-30,210.421
2001-05-01,211.815
2001-05-02,213.0
2001-05-03,214.042
2001-05-04,213.334
2001-05-07,214.354
2001-05-08,213.623
2001-05-09,216.301
2001-05-10,220.929
2001-05-11,219.957
2001-05-14,217.362
2001-05-15,217.544
2001-05-16,219.187
2001-05-17,223.597
2001-05-18,221.75
2001-05-21,224.763
2001-05-22,220.28
2001-05-23,218.475
2001-05-24,217.021
2001-05-25,217.294
2001-05-28,217.477
2001-05-29,214.825
2001-05-30,213.191
2001-05-31,209.058
2001-06-01,210.65
2001-06-04,211.959
2001-06-05,211.822
2001-06-06,212.233
2001-06-07,216.408
2001-06-08,218.187
2001-06-11,217.75
2001-06-12,216.635
2001-06-13,220.119
2001-06-14,221.241
2001-06-15,220.635
2001-06-18,217.265
2001-06-19,217.201
2001-06-20,217.358
2001-06-21,218.462
2001-06-22,217.817
2001-06-25,219.102
2001-06-26,220.642
2001-06-27,221.709
2001-06-28,219.132
2001-06-29,222.615
2001-07-02,220.408
2001-07-03,222.952
2001-07-04,224.864
2001-07-05,223.924
2001-07-06,219.006
2001-07-09,218.123
2001-07-10,220.592
2001-07-11,219.314
2001-07-12,220.725
2001-07-13,223.346
2001-07-16,225.279
2001-07-17,222.486
2001-07-18,225.191
2001-07-19,224.472
