Date,KOKUSAI INDEX (WORLD ex JP) SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,563.392
2001-01-02,539.551
2001-01-03,554.078
2001-01-04,549.735
2001-01-05,535.306
2001-01-08,528.065
2001-01-09,529.794
2001-01-10,540.552
2001-01-11,556.2
2001-01-12,562.859
2001-01-15,561.748
2001-01-16,561.225
2001-01-17,568.293
2001-01-18,574.567
2001-01-19,573.873
2001-01-22,573.536
2001-01-23,583.83
2001-01-24,584.098
2001-01-25,578.916
2001-01-26,579.238
2001-01-29,587.098
2001-01-30,590.794
2001-01-31,590.603
2001-02-01,590.062
2001-02-02,578.029
2001-02-05,574.716
2001-02-06,579.107
2001-02-07,572.936
2001-02-08,567.579
2001-02-09,560.633
2001-02-12,563.067
2001-02-13,557.388
2001-02-14,556.385
2001-02-15,560.918
2001-02-16,551.31
2001-02-19,550.708
2001-02-20,538.373
2001-02-21,529.501
2001-02-22,522.273
2001-02-23,521.247
2001-02-26,532.109
2001-02-27,524.554
2001-02-28,516.552
2001-03-01,513.337
2001-03-02,513.219
2001-03-05,511.959
2001-03-06,521.637
2001-03-07,523.748
2001-03-08,518.569
2001-03-09,507.222
2001-03-12,487.025
2001-03-13,484.954
2001-03-14,475.036
2001-03-15,471.961
2001-03-16,459.135
2001-03-19,465.536
2001-03-20,461.912
2001-03-21,449.946
2001-03-22,440.329
2001-03-23,454.322
2001-03-26,461.949
2001-03-27,467.619
2001-03-28,455.234
2001-03-29,450.188
2001-03-30,455.106
2001-04-02,444.224
2001-04-03,426.224
2001-04-04,425.731
2001-04-05,445.302
2001-04-06,439.88
2001-04-09,444.474
2001-04-10,457.226
2001-04-11,458.978
2001-04-12,468.839
2001-04-13,468.816
2001-04-16,464.107
2001-04-17,466.13
2001-04-18,485.164
2001-04-19,497.046
2001-04-20,495.467
2001-04-23,483.91
2001-04-24,481.255
2001-04-25,489.417
2001-04-26,495.129
2001-04-27,499.85
2001-04-30,506.514
2001-05-01,510.955
2001-05-02,516.034
2001-05-03,507.307
2001-05-04,512.337
2001-05-07,510.116
2001-05-08,510.375
2001-05-09,507.161
2001-05-10,507.002
2001-05-11,502.837
2001-05-14,498.741
2001-05-15,500.905
2001-05-16,510.862
2001-05-17,520.131
2001-05-18,521.158
2001-05-21,533.466
2001-05-22,535.16
2001-05-23,524.41
2001-05-24,526.006
2001-05-25,524.988
2001-05-28,525.464
2001-05-29,515.27
2001-05-30,503.132
2001-05-31,505.563
2001-06-01,509.47
2001-06-04,511.649
2001-06-05,520.919
2001-06-06,517.058
2001-06-07,520.344
2001-06-08,516.198
2001-06-11,506.93
2001-06-12,504.6
2001-06-13,503.074
2001-06-14,491.933
2001-06-15,490.023
2001-06-18,483.288
2001-06-19,481.712
2001-06-20,483.489
2001-06-21,485.492
2001-06-22,481.03
2001-06-25,481.262
2001-06-26,481.181
2001-06-27,482.405
2001-06-28,486.195
2001-06-29,496.004
2001-07-02,491.436
2001-07-03,488.545
2001-07-04,487.287
2001-07-05,479.597
2001-07-06,469.32
2001-07-09,469.436
2001-07-10,465.093
2001-07-11,462.244
2001-07-12,471.846
2001-07-13,472.989
2001-07-16,466.574
2001-07-17,468.396
2001-07-18,466.332
2001-07-19,469.063
2001-07-20,468.536
2001-07-23,464.24
2001-07-24,457.798
2001-07-25,460.479
2001-07-26,466.297
2001-07-27,469.902
2001-07-30,469.719
2001-07-31,470.832
2001-08-01,475.242
2001-08-02,476.781
2001-08-03,474.687
2001-08-06,469.263
2001-08-07,466.25
2001-08-08,458.725
2001-08-09,457.563
2001-08-10,457.387
2001-08-13,460.643
2001-08-14,461.219
2001-08-15,460.075
2001-08-16,458.121
2001-08-17,452.829
2001-08-20,451.733
2001-08-21,447.75
2001-08-22,451.956
2001-08-23,450.044
2001-08-24,457.414
2001-08-27,457.711
2001-08-28,452.267
2001-08-29,450.341
2001-08-30,443.755
2001-08-31,443.897
2001-09-03,441.943
2001-09-04,438.144
2001-09-05,431.862
2001-09-06,423.321
2001-09-07,418.535
2001-09-10,413.362
2001-09-11,407.963
2001-09-12,405.389
2001-09-13,405.963
2001-09-14,402.06
2001-09-17,383.78
2001-09-18,375.997
2001-09-19,370.8
2001-09-20,358.178
2001-09-21,348.373
2001-09-24,360.38
2001-09-25,364.102
2001-09-26,361.211
2001-09-27,363.41
2001-09-28,371.877
2001-10-01,366.824
2001-10-02,369.631
2001-10-03,379.881
2001-10-04,385.815
2001-10-05,385.852
2001-10-08,384.231
2001-10-09,384.084
2001-10-10,392.753
2001-10-11,403.184
2001-10-12,402.675
2001-10-15,401.989
2001-10-16,406.609
2001-10-17,401.212
2001-10-18,396.592
2001-10-19,398.276
2001-10-22,402.012
2001-10-23,403.697
2001-10-24,406.383
2001-10-25,412.233
2001-10-26,415.103
