Date,KOKUSAI INDEX (WORLD ex JP) SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,556.974
2001-01-02,533.409
2001-01-03,547.769
2001-01-04,543.477
2001-01-05,529.212
2001-01-08,522.053
2001-01-09,523.763
2001-01-10,534.399
2001-01-11,549.869
2001-01-12,556.452
2001-01-15,555.355
2001-01-16,554.838
2001-01-17,561.826
2001-01-18,568.029
2001-01-19,567.343
2001-01-22,567.012
2001-01-23,577.188
2001-01-24,577.453
2001-01-25,572.333
2001-01-26,572.651
2001-01-29,580.423
2001-01-30,584.076
2001-01-31,583.889
2001-02-01,583.354
2001-02-02,571.458
2001-02-05,568.183
2001-02-06,572.526
2001-02-07,566.426
2001-02-08,561.13
2001-02-09,554.264
2001-02-12,556.67
2001-02-13,551.055
2001-02-14,550.065
2001-02-15,554.547
2001-02-16,545.048
2001-02-19,544.453
2001-02-20,532.261
2001-02-21,523.491
2001-02-22,516.346
2001-02-23,515.331
2001-02-26,526.072
2001-02-27,518.603
2001-02-28,510.697
2001-03-01,507.519
2001-03-02,507.403
2001-03-05,506.165
2001-03-06,515.737
2001-03-07,517.828
2001-03-08,512.709
2001-03-09,501.495
2001-03-12,481.526
2001-03-13,479.479
2001-03-14,469.676
2001-03-15,466.638
2001-03-16,453.958
2001-03-19,460.287
2001-03-20,456.707
2001-03-21,444.878
2001-03-22,435.37
2001-03-23,449.208
2001-03-26,456.753
2001-03-27,462.359
2001-03-28,450.118
2001-03-29,445.13
2001-03-30,449.995
2001-04-02,439.239
2001-04-03,421.442
2001-04-04,420.955
2001-04-05,440.309
2001-04-06,434.95
2001-04-09,439.494
2001-04-10,452.103
2001-04-11,453.838
2001-04-12,463.589
2001-04-13,463.566
2001-04-16,458.911
2001-04-17,460.912
2001-04-18,479.735
2001-04-19,491.488
2001-04-20,489.93
2001-04-23,478.509
2001-04-24,475.886
2001-04-25,483.977
2001-04-26,489.631
2001-04-27,494.304
2001-04-30,500.896
2001-05-01,505.292
2001-05-02,510.32
2001-05-03,501.694
2001-05-04,506.677
2001-05-07,504.486
2001-05-08,504.743
2001-05-09,501.567
2001-05-10,501.413
2001-05-11,497.299
2001-05-14,493.261
2001-05-15,495.403
2001-05-16,505.256
2001-05-17,514.424
2001-05-18,515.441
2001-05-21,527.643
2001-05-22,529.334
2001-05-23,518.705
2001-05-24,520.286
2001-05-25,519.28
2001-05-28,519.753
2001-05-29,509.672
2001-05-30,497.669
2001-05-31,500.079
2001-06-01,503.948
2001-06-04,506.108
2001-06-05,515.279
2001-06-06,511.461
2001-06-07,514.716
2001-06-08,510.618
2001-06-11,501.452
2001-06-12,499.148
2001-06-13,497.642
2001-06-14,486.625
2001-06-15,484.736
2001-06-18,478.081
2001-06-19,476.522
2001-06-20,478.282
2001-06-21,480.263
2001-06-22,475.85
2001-06-25,476.083
2001-06-26,476.004
2001-06-27,477.224
2001-06-28,480.977
2001-06-29,490.683
2001-07-02,486.168
2001-07-03,483.31
2001-07-04,482.066
2001-07-05,474.459
2001-07-06,464.295
2001-07-09,464.41
2001-07-10,460.116
2001-07-11,457.298
2001-07-12,466.798
2001-07-13,467.929
2001-07-16,461.583
2001-07-17,463.387
2001-07-18,461.356
2001-07-19,464.059
2001-07-20,463.539
2001-07-23,459.289
2001-07-24,452.916
2001-07-25,455.569
2001-07-26,461.324
2001-07-27,464.891
2001-07-30,464.711
2001-07-31,465.811
2001-08-01,470.176
2001-08-02,471.7
2001-08-03,469.629
2001-08-06,464.263
2001-08-07,461.283
2001-08-08,453.838
2001-08-09,452.69
2001-08-10,452.515
2001-08-13,455.737
2001-08-14,456.306
2001-08-15,455.176
2001-08-16,453.244
2001-08-17,448.008
2001-08-20,446.926
2001-08-21,442.986
2001-08-22,447.148
2001-08-23,445.257
2001-08-24,452.549
2001-08-27,452.845
2001-08-28,447.46
2001-08-29,445.556
2001-08-30,439.041
2001-08-31,439.183
2001-09-03,437.252
2001-09-04,433.493
2001-09-05,427.279
2001-09-06,418.828
2001-09-07,414.094
2001-09-10,408.979
2001-09-11,403.638
2001-09-12,401.091
2001-09-13,401.665
2001-09-14,397.803
2001-09-17,379.718
2001-09-18,372.018
2001-09-19,366.876
2001-09-20,354.388
2001-09-21,344.688
2001-09-24,356.57
2001-09-25,360.255
2001-09-26,357.396
2001-09-27,359.573
2001-09-28,367.951
2001-10-01,362.951
2001-10-02,365.731
2001-10-03,375.872
2001-10-04,381.745
2001-10-05,381.783
2001-10-08,380.18
2001-10-09,380.035
2001-10-10,388.613
2001-10-11,398.935
2001-10-12,398.432
2001-10-15,397.755
2001-10-16,402.325
2001-10-17,396.986
2001-10-18,392.414
2001-10-19,394.082
2001-10-22,397.778
2001-10-23,399.446
2001-10-24,402.103
2001-10-25,407.894
2001-10-26,410.735
2001-10-29,404.406
2001-10-30,396.554
2001-10-31,400.01
2001-11-01,405.542
2001-11-02,405.411
2001-11-05,410.856
2001-11-06,415.19
2001-11-07,416.792
2001-11-08,415.065
2001-11-09,415.083
2001-11-12,414.84
2001-11-13,422.19
2001-11-14,425.547
2001-11-15,425.046
2001-11-16,427.186
2001-11-19,432.986
2001-11-20,427.932
2001-11-21,425.081
2001-11-22,426.25
2001-11-23,429.428
2001-11-26,434.859
2001-11-27,435.12
2001-11-28,428.5
2001-11-29,432.383
2001-11-30,433.637
2001-12-03,429.224
2001-12-04,437.696
2001-12-05,450.898
2001-12-06,453.206
2001-12-07,450.245
2001-12-10,444.523
2001-12-11,445.55
2001-12-12,445.477
2001-12-13,438.099
2001-12-14,438.439
2001-12-17,443.789
2001-12-18,447.311
2001-12-19,444.434
2001-12-20,437.979
2001-12-21,441.267
2001-12-24,441.314
2001-12-25,441.304
2001-12-26,444.451
2001-12-27,449.182
2001-12-28,452.198
2001-12-31,450.496
2002-01-01,450.496
2002-01-02,451.462
2002-01-03,457.663
2002-01-04,461.352
2002-01-07,457.739
2002-01-08,458.141
2002-01-09,456.843
2002-01-10,456.458
2002-01-11,453.414
2002-01-14,446.688
2002-01-15,447.323
2002-01-16,438.285
2002-01-17,442.26
2002-01-18,437.89
2002-01-21,437.406
2002-01-22,433.702
2002-01-23,439.447
2002-01-24,442.414
2002-01-25,440.197
2002-01-28,440.379
2002-01-29,435.099
2002-01-30,435.968
2002-01-31,439.759
2002-02-01,438.571
2002-02-04,430.295
2002-02-05,426.941
2002-02-06,422.647
2002-02-07,419.035
2002-02-08,425.278
2002-02-11,431.413
2002-02-12,431.081
2002-02-13,433.198
2002-02-14,431.568
2002-02-15,428.273
2002-02-18,427.367
2002-02-19,419.36
2002-02-20,421.271
2002-02-21,416.869
2002-02-22,417.608
2002-02-25,421.586
2002-02-26,424.63
2002-02-27,424.849
2002-02-28,422.417
2002-03-01,430.16
2002-03-04,442.36
2002-03-05,441.765
2002-03-06,446.743
2002-03-07,448.283
2002-03-08,452.634
2002-03-11,453.505
2002-03-12,449.358
2002-03-13,446.815
2002-03-14,448.001
2002-03-15,450.345
2002-03-18,453.766
2002-03-19,454.709
2002-03-20,450.575
2002-03-21,453.112
2002-03-22,451.277
2002-03-25,445.27
2002-03-26,446.421
2002-03-27,449.09
2002-03-28,451.978
2002-03-29,451.973
2002-04-01,453.383
2002-04-02,448.1
2002-04-03,443.776
2002-04-04,443.505
2002-04-05,442.492
2002-04-08,442.665
2002-04-09,441.043
2002-04-10,444.797
2002-04-11,439.51
2002-04-12,443.016
2002-04-15,443.542
2002-04-16,451.732
2002-04-17,452.384
2002-04-18,451.845
2002-04-19,451.901
2002-04-22,447.062
2002-04-23,445.397
2002-04-24,443.503
2002-04-25,443.051
2002-04-26,438.682
2002-04-29,435.527
2002-04-30,440.724
2002-05-01,442.054
2002-05-02,440.167
2002-05-03,437.782
2002-05-06,433.085
2002-05-07,429.623
2002-05-08,441.942
2002-05-09,436.947
2002-05-10,432.379
2002-05-13,437.024
2002-05-14,444.295
2002-05-15,446.162
2002-05-16,444.762
2002-05-17,447.942
2002-05-20,444.15
2002-05-21,438.695
2002-05-22,437.786
2002-05-23,440.149
2002-05-24,436.71
2002-05-27,436.337
2002-05-28,436.216
2002-05-29,433.624
2002-05-30,433.085
2002-05-31,433.598
2002-06-03,424.898
2002-06-04,423.151
2002-06-05,423.995
2002-06-06,419.453
2002-06-07,419.447
2002-06-10,419.69
2002-06-11,414.385
2002-06-12,412.297
2002-06-13,407.61
2002-06-14,405.497
2002-06-17,414.932
2002-06-18,414.517
2002-06-19,409.305
2002-06-20,403.518
2002-06-21,399.54
2002-06-24,397.717
2002-06-25,392.553
2002-06-26,391.39
