Date,KOKUSAI INDEX (WORLD ex JP) SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,250.633
1994-06-30,242.762
1994-07-29,250.068
1994-08-31,262.603
1994-09-30,259.899
1994-10-31,264.09
1994-11-30,251.657
1994-12-30,255.073
1995-01-31,252.236
1995-02-28,260.494
1995-03-31,268.433
1995-04-28,273.24
1995-05-31,277.875
1995-06-30,289.371
1995-07-31,306.718
1995-08-31,305.038
1995-09-29,312.754
1995-10-31,303.891
1995-11-30,308.791
1995-12-29,313.87
1996-01-31,317.29
1996-02-29,329.628
1996-03-29,336.659
1996-04-30,353.245
1996-05-31,363.301
1996-06-28,352.476
1996-07-31,329.205
1996-08-30,345.928
1996-09-30,357.564
1996-10-31,356.058
1996-11-29,368.904
1996-12-31,371.62
1997-01-31,379.918
1997-02-28,372.014
1997-03-31,358.24
1997-04-30,354.236
1997-05-30,385.372
1997-06-30,398.265
1997-07-31,416.413
1997-08-29,416.903
1997-09-30,442.899
1997-10-31,416.752
1997-11-28,409.86
1997-12-31,409.384
1998-01-30,409.329
1998-02-27,446.366
1998-03-31,472.767
1998-04-30,482.743
1998-05-29,469.616
1998-06-30,469.583
1998-07-31,454.161
1998-08-31,367.89
1998-09-30,378.537
1998-10-30,403.838
1998-11-30,427.582
1998-12-31,458.05
1999-01-29,475.971
1999-02-26,448.826
1999-03-31,459.52
1999-04-30,484.459
1999-05-31,483.685
1999-06-30,510.489
1999-07-30,510.814
1999-08-31,514.445
1999-09-30,516.9
1999-10-29,538.064
1999-11-30,594.191
1999-12-31,692.183
2000-01-31,685.453
2000-02-29,833.771
2000-03-31,789.988
2000-04-28,693.437
2000-05-31,647.756
2000-06-30,714.555
2000-07-31,683.467
2000-08-31,733.201
2000-09-29,691.268
2000-10-31,633.451
2000-11-30,527.762
2000-12-29,556.968
2001-01-31,583.889
2001-02-28,510.697
2001-03-30,449.995
2001-04-30,500.896
2001-05-31,500.079
2001-06-29,490.683
2001-07-31,465.811
2001-08-31,439.183
2001-09-28,367.951
2001-10-31,400.01
2001-11-30,433.637
2001-12-31,450.496
2002-01-31,439.759
2002-02-28,422.417
2002-03-29,451.973
2002-04-30,440.724
2002-05-31,433.598
2002-06-28,400.207
2002-07-31,355.107
2002-08-30,353.122
2002-09-30,321.778
2002-10-31,343.537
2002-11-29,369.29
2002-12-31,348.698
2003-01-31,342.59
2003-02-28,334.759
2003-03-31,339.115
2003-04-30,369.896
2003-05-30,406.361
2003-06-30,411.991
2003-07-31,427.099
2003-08-29,447.072
2003-09-30,446.255
2003-10-31,484.252
2003-11-28,499.131
2003-12-31,513.072
2004-01-30,531.672
2004-02-27,542.92
2004-03-31,539.246
2004-04-30,521.803
2004-05-31,532.876
2004-06-30,545.074
2004-07-30,514.281
2004-08-31,509.168
2004-09-30,534.755
2004-10-29,553.341
2004-11-30,594.235
2004-12-31,620.21
2005-01-31,608.316
2005-02-28,630.68
2005-03-31,616.557
2005-04-29,590.649
2005-05-31,615.879
2005-06-30,632.883
2005-07-29,666.705
2005-08-31,670.986
2005-09-30,684.768
2005-10-31,658.119
2005-11-30,688.54
2005-12-30,705.129
