Date,KOKUSAI INDEX (WORLD ex JP) SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,254.968
1994-06-30,246.886
1994-07-29,254.271
1994-08-31,267.007
1994-09-30,264.247
1994-10-31,268.495
1994-11-30,255.845
1994-12-30,259.311
1995-01-31,256.42
1995-02-28,264.806
1995-03-31,272.858
1995-04-28,277.711
1995-05-31,282.326
1995-06-30,293.912
1995-07-31,311.483
1995-08-31,309.761
1995-09-29,317.581
1995-10-31,308.571
1995-11-30,313.533
1995-12-29,318.679
1996-01-31,322.145
1996-02-29,334.66
1996-03-29,341.781
1996-04-30,358.573
1996-05-31,368.707
1996-06-28,357.643
1996-07-31,333.989
1996-08-30,350.946
1996-09-30,362.728
1996-10-31,361.182
1996-11-29,374.208
1996-12-31,376.953
1997-01-31,385.366
1997-02-28,377.326
1997-03-31,363.331
1997-04-30,359.222
1997-05-30,390.72
1997-06-30,403.731
1997-07-31,422.088
1997-08-29,422.578
1997-09-30,448.896
1997-10-31,422.374
1997-11-28,415.382
1997-12-31,414.891
1998-01-30,414.827
1998-02-27,452.353
1998-03-31,479.067
1998-04-30,489.109
1998-05-29,475.729
1998-06-30,475.613
1998-07-31,459.95
1998-08-31,372.574
1998-09-30,383.327
1998-10-30,408.94
1998-11-30,432.976
1998-12-31,463.798
1999-01-29,481.935
1999-02-26,454.444
1999-03-31,465.225
1999-04-30,490.436
1999-05-31,489.613
1999-06-30,516.709
1999-07-30,517.02
1999-08-31,520.682
1999-09-30,523.142
1999-10-29,544.55
1999-11-30,601.346
1999-12-31,700.504
2000-01-31,693.688
2000-02-29,843.776
2000-03-31,799.425
2000-04-28,701.638
2000-05-31,655.355
2000-06-30,722.906
2000-07-31,691.425
2000-08-31,741.726
2000-09-29,699.278
2000-10-31,640.784
2000-11-30,533.858
2000-12-29,563.386
2001-01-31,590.603
2001-02-28,516.552
2001-03-30,455.106
2001-04-30,506.514
2001-05-31,505.563
2001-06-29,496.004
2001-07-31,470.832
2001-08-31,443.897
2001-09-28,371.877
2001-10-31,404.262
2001-11-30,438.23
2001-12-31,455.247
2002-01-31,444.385
2002-02-28,426.843
2002-03-29,456.653
2002-04-30,445.227
2002-05-31,437.919
2002-06-28,404.148
2002-07-31,358.583
2002-08-30,356.542
2002-09-30,324.858
2002-10-31,346.803
2002-11-29,372.766
2002-12-31,351.95
2003-01-31,345.757
2003-02-28,337.823
2003-03-31,342.128
2003-04-30,373.071
2003-05-30,409.735
2003-06-30,415.336
2003-07-31,430.524
2003-08-29,450.613
2003-09-30,449.734
2003-10-31,487.988
2003-11-28,502.936
2003-12-31,516.922
2004-01-30,535.63
2004-02-27,546.918
2004-03-31,543.096
2004-04-30,525.407
2004-05-31,536.375
2004-06-30,548.565
2004-07-30,517.536
2004-08-31,512.308
2004-09-30,537.973
2004-10-29,556.638
2004-11-30,597.703
2004-12-31,623.71
2005-01-31,611.711
2005-02-28,634.111
2005-03-31,619.779
2005-04-29,593.606
2005-05-31,618.673
2005-06-30,635.627
2005-07-29,669.539
2005-08-31,673.733
2005-09-30,687.471
2005-10-31,660.667
2005-11-30,691.079
2005-12-30,707.612
2006-01-31,764.201
2006-02-28,761.158
2006-03-31,791.537
2006-04-28,815.93
2006-05-31,778.477
2006-06-30,773.554
2006-07-31,755.212
2006-08-31,776.226
2006-09-29,785.834
2006-10-31,822.595
2006-11-30,859.713
2006-12-29,872.782
2007-01-31,891.739
2007-02-28,896.082
