Date,NEW ZEALAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,174.39
1994-06-30,160.547
1994-07-29,160.243
1994-08-31,162.752
1994-09-30,153.287
1994-10-31,153.834
1994-11-30,157.295
1994-12-30,161.807
1995-01-31,157.301
1995-02-28,159.06
1995-03-31,166.565
1995-04-28,183.443
1995-05-31,181.308
1995-06-30,178.319
1995-07-31,184.827
1995-08-31,181.602
1995-09-29,183.932
1995-10-31,194.108
1995-11-30,188.03
1995-12-29,194.673
1996-01-31,200.916
1996-02-29,202.267
1996-03-29,216.461
1996-04-30,223.01
1996-05-31,208.688
1996-06-28,216.928
1996-07-31,223.001
1996-08-30,236.692
1996-09-30,238.543
1996-10-31,257.399
1996-11-29,263.35
1996-12-31,263.036
1997-01-31,255.798
1997-02-28,256.053
1997-03-31,252.626
1997-04-30,254.615
1997-05-30,257.307
1997-06-30,262.145
1997-07-31,262.171
1997-08-29,253.675
1997-09-30,262.628
1997-10-31,237.29
1997-11-28,228.34
1997-12-31,217.654
1998-01-30,212.949
1998-02-27,216.382
1998-03-31,203.932
1998-04-30,202.329
1998-05-29,188.647
1998-06-30,167.87
1998-07-31,176.359
1998-08-31,148.965
1998-09-30,142.451
1998-10-30,174.574
1998-11-30,186.431
1998-12-31,197.897
1999-01-29,208.909
1999-02-26,199.09
1999-03-31,205.212
1999-04-30,233.865
1999-05-31,209.632
1999-06-30,218.431
1999-07-30,223.047
1999-08-31,209.884
1999-09-30,204.742
1999-10-29,206.235
1999-11-30,208.159
1999-12-31,220.896
2000-01-31,196.568
2000-02-29,185.375
2000-03-31,195.86
2000-04-28,190.291
2000-05-31,183.428
2000-06-30,201.494
2000-07-31,202.39
2000-08-31,196.003
2000-09-29,180.309
2000-10-31,174.811
2000-11-30,181.9
2000-12-29,199.102
2001-01-31,204.767
2001-02-28,201.822
2001-03-30,192.452
2001-04-30,198.331
2001-05-31,197.415
2001-06-29,199.565
2001-07-31,207.456
2001-08-31,220.446
2001-09-28,185.597
2001-10-31,202.21
2001-11-30,212.273
2001-12-31,212.054
2002-01-31,217.454
2002-02-28,224.043
2002-03-29,237.576
2002-04-30,238.34
2002-05-31,269.903
2002-06-28,265.817
2002-07-31,245.46
2002-08-30,257.512
2002-09-30,254.519
2002-10-31,270.529
2002-11-29,268.754
2002-12-31,290.742
2003-01-31,310.036
2003-02-28,308.028
2003-03-31,303.413
2003-04-30,315.601
2003-05-30,333.768
2003-06-30,364.813
2003-07-31,353.588
