Date,NEW ZEALAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,199.102
2001-01-02,198.787
2001-01-03,199.501
2001-01-04,200.949
2001-01-05,205.06
2001-01-08,203.68
2001-01-09,202.897
2001-01-10,200.748
2001-01-11,202.941
2001-01-12,201.942
2001-01-15,201.43
2001-01-16,202.445
2001-01-17,202.249
2001-01-18,203.919
2001-01-19,206.707
2001-01-22,208.118
2001-01-23,206.567
2001-01-24,202.975
2001-01-25,200.759
2001-01-26,200.611
2001-01-29,199.949
2001-01-30,202.587
2001-01-31,204.767
2001-02-01,209.481
2001-02-02,207.489
2001-02-05,206.323
2001-02-06,206.346
2001-02-07,208.226
2001-02-08,206.721
2001-02-09,206.641
2001-02-12,206.643
2001-02-13,205.813
2001-02-14,200.388
2001-02-15,198.448
2001-02-16,202.096
2001-02-19,202.424
2001-02-20,203.188
2001-02-21,203.737
2001-02-22,203.019
2001-02-23,204.248
2001-02-26,202.844
2001-02-27,205.39
2001-02-28,201.822
2001-03-01,204.774
2001-03-02,207.699
2001-03-05,206.881
2001-03-06,207.577
2001-03-07,206.858
2001-03-08,205.507
2001-03-09,204.295
2001-03-12,204.001
2001-03-13,200.526
2001-03-14,200.604
2001-03-15,199.267
2001-03-16,200.275
2001-03-19,201.017
2001-03-20,204.227
2001-03-21,201.718
2001-03-22,197.322
2001-03-23,201.909
2001-03-26,199.098
2001-03-27,197.751
2001-03-28,194.356
2001-03-29,193.135
2001-03-30,192.452
2001-04-02,192.686
2001-04-03,193.118
2001-04-04,193.17
2001-04-05,192.908
2001-04-06,193.007
2001-04-09,193.243
2001-04-10,192.676
2001-04-11,192.704
2001-04-12,194.303
2001-04-13,194.303
2001-04-16,194.668
2001-04-17,191.887
2001-04-18,190.936
2001-04-19,196.384
2001-04-20,200.632
2001-04-23,196.356
2001-04-24,194.295
2001-04-25,195.486
2001-04-26,196.739
2001-04-27,196.945
2001-04-30,198.331
2001-05-01,200.764
2001-05-02,203.623
2001-05-03,204.643
2001-05-04,202.116
2001-05-07,201.671
2001-05-08,200.606
2001-05-09,201.964
2001-05-10,204.436
2001-05-11,203.075
2001-05-14,202.252
2001-05-15,202.265
2001-05-16,204.442
2001-05-17,208.275
2001-05-18,208.747
2001-05-21,209.613
2001-05-22,208.88
2001-05-23,205.715
2001-05-24,206.91
2001-05-25,206.874
2001-05-28,206.02
2001-05-29,205.108
2001-05-30,201.639
2001-05-31,197.415
2001-06-01,197.283
2001-06-04,196.779
2001-06-05,200.608
2001-06-06,204.6
2001-06-07,206.405
2001-06-08,205.188
2001-06-11,203.342
2001-06-12,205.046
2001-06-13,208.172
2001-06-14,204.859
2001-06-15,204.145
2001-06-18,202.378
2001-06-19,202.718
2001-06-20,200.085
2001-06-21,200.846
2001-06-22,201.194
2001-06-25,200.663
2001-06-26,203.077
2001-06-27,203.127
2001-06-28,203.011
2001-06-29,199.565
2001-07-02,201.148
2001-07-03,200.464
2001-07-04,199.223
2001-07-05,199.881
2001-07-06,199.342
2001-07-09,200.592
2001-07-10,201.986
2001-07-11,201.12
2001-07-12,200.133
2001-07-13,202.205
2001-07-16,202.441
2001-07-17,201.255
2001-07-18,204.135
2001-07-19,206.714
2001-07-20,205.06
2001-07-23,206.759
2001-07-24,207.401
2001-07-25,207.891
2001-07-26,209.757
2001-07-27,208.51
