Date,NEW ZEALAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,184.436
2001-01-02,184.145
2001-01-03,184.806
2001-01-04,186.147
2001-01-05,189.955
2001-01-08,188.677
2001-01-09,187.951
2001-01-10,185.961
2001-01-11,187.992
2001-01-12,187.067
2001-01-15,186.579
2001-01-16,187.519
2001-01-17,187.337
2001-01-18,188.885
2001-01-19,191.467
2001-01-22,192.774
2001-01-23,191.337
2001-01-24,188.011
2001-01-25,185.958
2001-01-26,185.821
2001-01-29,185.207
2001-01-30,187.651
2001-01-31,189.67
2001-02-01,194.037
2001-02-02,192.192
2001-02-05,191.111
2001-02-06,191.133
2001-02-07,192.874
2001-02-08,191.48
2001-02-09,191.406
2001-02-12,191.408
2001-02-13,190.639
2001-02-14,185.614
2001-02-15,183.817
2001-02-16,187.196
2001-02-19,187.5
2001-02-20,188.208
2001-02-21,188.716
2001-02-22,188.051
2001-02-23,189.19
2001-02-26,187.889
2001-02-27,190.247
2001-02-28,186.953
2001-03-01,189.688
2001-03-02,192.397
2001-03-05,191.64
2001-03-06,192.284
2001-03-07,191.618
2001-03-08,190.367
2001-03-09,189.249
2001-03-12,188.998
2001-03-13,185.779
2001-03-14,185.851
2001-03-15,184.613
2001-03-16,185.563
2001-03-19,186.322
2001-03-20,189.297
2001-03-21,186.972
2001-03-22,182.897
2001-03-23,187.149
2001-03-26,184.569
2001-03-27,183.32
2001-03-28,180.173
2001-03-29,179.041
2001-03-30,178.51
2001-04-02,178.787
2001-04-03,179.189
2001-04-04,179.237
2001-04-05,178.994
2001-04-06,179.094
2001-04-09,179.376
2001-04-10,178.849
2001-04-11,178.875
2001-04-12,180.359
2001-04-13,180.359
2001-04-16,180.698
2001-04-17,178.169
2001-04-18,177.286
2001-04-19,182.344
2001-04-20,186.288
2001-04-23,182.318
2001-04-24,180.405
2001-04-25,181.511
2001-04-26,182.673
2001-04-27,182.865
2001-04-30,184.152
2001-05-01,186.411
2001-05-02,189.065
2001-05-03,190.013
2001-05-04,187.667
2001-05-07,187.362
2001-05-08,186.373
2001-05-09,187.634
2001-05-10,189.931
2001-05-11,188.666
2001-05-14,187.902
2001-05-15,187.914
2001-05-16,189.936
2001-05-17,193.497
2001-05-18,193.936
2001-05-21,194.82
2001-05-22,194.138
2001-05-23,191.197
2001-05-24,192.308
2001-05-25,192.274
2001-05-28,191.481
2001-05-29,190.633
2001-05-30,187.409
2001-05-31,183.497
2001-06-01,183.374
2001-06-04,182.905
2001-06-05,186.465
2001-06-06,190.175
2001-06-07,191.853
2001-06-08,190.722
2001-06-11,189.005
2001-06-12,190.59
2001-06-13,193.495
2001-06-14,190.415
2001-06-15,189.752
2001-06-18,188.11
2001-06-19,188.426
2001-06-20,185.978
2001-06-21,186.686
2001-06-22,187.009
2001-06-25,186.557
2001-06-26,188.801
2001-06-27,188.848
2001-06-28,188.74
2001-06-29,185.609
2001-07-02,187.082
2001-07-03,186.446
2001-07-04,185.292
2001-07-05,185.904
2001-07-06,185.403
2001-07-09,186.565
2001-07-10,187.861
2001-07-11,187.056
2001-07-12,186.138
2001-07-13,188.065
2001-07-16,188.325
2001-07-17,187.221
2001-07-18,189.9
2001-07-19,192.3
2001-07-20,190.761
2001-07-23,192.341
2001-07-24,192.939
2001-07-25,193.395
2001-07-26,195.13
2001-07-27,193.971
2001-07-30,194.097
2001-07-31,192.997
2001-08-01,194.111
2001-08-02,195.034
2001-08-03,195.106
2001-08-06,193.483
2001-08-07,193.57
2001-08-08,195.148
2001-08-09,197.218
2001-08-10,198.779
2001-08-13,199.831
2001-08-14,199.409
2001-08-15,202.418
2001-08-16,203.383
2001-08-17,205.84
2001-08-20,202.881
2001-08-21,202.984
2001-08-22,205.078
2001-08-23,204.893
2001-08-24,206.831
2001-08-27,208.311
2001-08-28,208.019
2001-08-29,209.835
2001-08-30,208.799
2001-08-31,205.164
2001-09-03,204.211
2001-09-04,201.506
2001-09-05,201.155
2001-09-06,200.323
2001-09-07,198.691
2001-09-10,193.811
2001-09-11,196.03
2001-09-12,185.321
2001-09-13,185.031
2001-09-14,180.905
2001-09-17,166.033
2001-09-18,169.213
2001-09-19,169.588
2001-09-20,168.719
2001-09-21,163.3
2001-09-24,161.617
2001-09-25,166.195
2001-09-26,168.033
2001-09-27,167.742
2001-09-28,173.039
2001-10-01,171.735
2001-10-02,174.417
2001-10-03,178.223
2001-10-04,178.899
2001-10-05,180.593
2001-10-08,180.586
2001-10-09,178.888
2001-10-10,178.427
2001-10-11,179.613
2001-10-12,183.987
2001-10-15,188.275
2001-10-16,189.588
2001-10-17,190.093
2001-10-18,186.322
2001-10-19,184.649
2001-10-22,184.827
2001-10-23,187.372
2001-10-24,189.091
2001-10-25,188.681
2001-10-26,187.964
2001-10-29,189.059
2001-10-30,189.334
2001-10-31,188.682
2001-11-01,190.354
2001-11-02,192.274
2001-11-05,194.231
2001-11-06,196.462
2001-11-07,195.378
2001-11-08,192.128
2001-11-09,192.255
2001-11-12,193.792
2001-11-13,196.358
2001-11-14,196.622
2001-11-15,194.854
2001-11-16,194.864
2001-11-19,194.909
2001-11-20,196.906
2001-11-21,193.686
2001-11-22,192.111
2001-11-23,191.168
2001-11-26,193.447
2001-11-27,197.074
2001-11-28,197.676
2001-11-29,197.781
2001-11-30,198.372
2001-12-03,194.23
2001-12-04,192.038
2001-12-05,195.784
2001-12-06,199.148
2001-12-07,199.096
2001-12-10,197.694
2001-12-11,199.053
2001-12-12,200.672
2001-12-13,200.356
2001-12-14,197.653
2001-12-17,197.378
2001-12-18,195.625
2001-12-19,195.769
2001-12-20,193.364
2001-12-21,194.919
2001-12-24,196.27
2001-12-25,196.27
2001-12-26,196.412
2001-12-27,196.21
2001-12-28,196.884
2001-12-31,198.383
2002-01-01,198.383
2002-01-02,200.384
2002-01-03,203.387
2002-01-04,205.359
2002-01-07,206.504
2002-01-08,207.571
2002-01-09,205.688
2002-01-10,206.076
2002-01-11,205.072
2002-01-14,203.779
2002-01-15,204.66
2002-01-16,203.583
2002-01-17,203.032
2002-01-18,203.95
2002-01-21,205.738
2002-01-22,208.783
2002-01-23,208.592
2002-01-24,207.473
2002-01-25,207.355
2002-01-28,205.913
2002-01-29,207.347
2002-01-30,202.354
2002-01-31,203.492
2002-02-01,204.108
2002-02-04,204.609
2002-02-05,204.457
2002-02-06,204.629
2002-02-07,202.719
2002-02-08,203.73
2002-02-11,203.921
2002-02-12,202.169
2002-02-13,202.356
2002-02-14,203.779
2002-02-15,204.277
2002-02-18,204.108
2002-02-19,204.017
2002-02-20,205.413
2002-02-21,204.763
2002-02-22,206.836
2002-02-25,206.004
2002-02-26,207.818
2002-02-27,208.188
2002-02-28,209.795
2002-03-01,211.356
2002-03-04,212.546
2002-03-05,212.39
2002-03-06,212.249
2002-03-07,215.568
2002-03-08,213.97
2002-03-11,214.103
2002-03-12,215.78
2002-03-13,214.442
2002-03-14,214.153
2002-03-15,217.821
2002-03-18,218.053
2002-03-19,217.127
2002-03-20,221.784
2002-03-21,220.797
2002-03-22,221.01
2002-03-25,220.576
2002-03-26,219.64
2002-03-27,218.838
2002-03-28,222.913
2002-03-29,222.913
2002-04-01,223.926
2002-04-02,224.06
2002-04-03,221.195
2002-04-04,220.897
2002-04-05,219.973
2002-04-08,217.026
2002-04-09,218.475
2002-04-10,219.626
2002-04-11,222.534
2002-04-12,222.238
2002-04-15,221.863
2002-04-16,221.411
2002-04-17,223.996
2002-04-18,223.584
2002-04-19,223.506
2002-04-22,223.345
2002-04-23,223.562
2002-04-24,223.232
2002-04-25,225.079
2002-04-26,224.028
2002-04-29,223.325
2002-04-30,223.785
2002-05-01,227.778
2002-05-02,226.404
2002-05-03,228.366
2002-05-06,226.372
2002-05-07,226.439
2002-05-08,226.925
2002-05-09,225.754
2002-05-10,228.701
2002-05-13,230.356
2002-05-14,230.912
2002-05-15,234.857
2002-05-16,235.187
2002-05-17,237.897
2002-05-20,239.453
2002-05-21,239.954
2002-05-22,242.588
2002-05-23,244.987
2002-05-24,244.714
2002-05-27,245.759
2002-05-28,248.896
2002-05-29,252.153
2002-05-30,253.944
2002-05-31,253.648
2002-06-03,257.249
2002-06-04,259.901
2002-06-05,256.311
2002-06-06,260.038
2002-06-07,261.356
2002-06-10,261.482
2002-06-11,260.853
2002-06-12,261.053
2002-06-13,260.977
2002-06-14,257.002
2002-06-17,259.226
2002-06-18,263.901
2002-06-19,263.522
2002-06-20,263.785
2002-06-21,263.946
2002-06-24,259.293
2002-06-25,256.187
2002-06-26,249.441
2002-06-27,252.441
2002-06-28,250.368
2002-07-01,250.972
2002-07-02,252.318
2002-07-03,251.353
2002-07-04,247.292
2002-07-05,250.65
2002-07-08,256.437
2002-07-09,256.205
2002-07-10,256.157
2002-07-11,248.342
2002-07-12,250.852
2002-07-15,249.42
2002-07-16,248.852
2002-07-17,243.495
2002-07-18,246.63
2002-07-19,248.432
2002-07-22,240.987
2002-07-23,238.901
2002-07-24,227.994
2002-07-25,230.692
2002-07-26,225.558
2002-07-29,230.703
2002-07-30,234.841
2002-07-31,231.248
2002-08-01,229.528
2002-08-02,227.914
2002-08-05,228.526
2002-08-06,223.198
2002-08-07,228.014
2002-08-08,229.608
2002-08-09,233.442
2002-08-12,236.443
2002-08-13,236.223
2002-08-14,236.093
2002-08-15,238.024
2002-08-16,238.33
2002-08-19,239.456
2002-08-20,240.32
2002-08-21,237.349
2002-08-22,239.326
