Date,NEW ZEALAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,149.151
1994-06-30,137.311
1994-07-29,137.052
1994-08-31,139.198
1994-09-30,131.157
1994-10-31,132.007
1994-11-30,135.218
1994-12-30,139.375
1995-01-31,135.494
1995-02-28,137.084
1995-03-31,143.795
1995-04-28,158.677
1995-05-31,157.757
1995-06-30,155.334
1995-07-31,161.164
1995-08-31,158.6
1995-09-29,160.748
1995-10-31,170.015
1995-11-30,164.922
1995-12-29,171.222
1996-01-31,176.714
1996-02-29,177.933
1996-03-29,190.774
1996-04-30,196.798
1996-05-31,184.505
1996-06-28,192.113
1996-07-31,197.677
1996-08-30,209.849
1996-09-30,211.783
1996-10-31,228.809
1996-11-29,234.379
1996-12-31,234.513
1997-01-31,228.089
1997-02-28,228.357
1997-03-31,225.892
1997-04-30,228.047
1997-05-30,230.585
1997-06-30,235.199
1997-07-31,235.402
1997-08-29,227.933
1997-09-30,236.207
1997-10-31,213.632
1997-11-28,205.779
1997-12-31,196.48
1998-01-30,192.263
1998-02-27,195.436
1998-03-31,184.696
1998-04-30,183.417
1998-05-29,171.058
1998-06-30,152.731
1998-07-31,160.462
1998-08-31,135.595
1998-09-30,129.79
1998-10-30,159.262
1998-11-30,170.445
1998-12-31,181.094
1999-01-29,191.181
1999-02-26,182.208
1999-03-31,188.069
1999-04-30,214.414
1999-05-31,192.279
1999-06-30,200.486
1999-07-30,204.722
1999-08-31,192.727
1999-09-30,188.165
1999-10-29,189.631
1999-11-30,191.545
1999-12-31,203.51
2000-01-31,181.177
2000-02-29,170.86
2000-03-31,180.771
2000-04-28,175.632
2000-05-31,169.344
2000-06-30,186.085
2000-07-31,186.913
2000-08-31,181.063
2000-09-29,166.673
2000-10-31,161.723
2000-11-30,168.384
2000-12-29,184.436
2001-01-31,189.67
2001-02-28,186.953
2001-03-30,178.51
2001-04-30,184.152
2001-05-31,183.497
2001-06-29,185.609
2001-07-31,192.997
2001-08-31,205.164
2001-09-28,173.039
2001-10-31,188.682
2001-11-30,198.372
2001-12-31,198.383
2002-01-31,203.492
2002-02-28,209.795
2002-03-29,222.913
2002-04-30,223.785
2002-05-31,253.648
2002-06-28,250.368
2002-07-31,231.248
2002-08-30,242.696
2002-09-30,240.49
2002-10-31,255.831
2002-11-29,254.471
2002-12-31,275.752
2003-01-31,294.052
2003-02-28,292.477
2003-03-31,289.296
2003-04-30,301.087
2003-05-30,318.54
2003-06-30,348.929
2003-07-31,338.193
2003-08-29,348.525
2003-09-30,368.494
2003-10-31,393.575
2003-11-28,408.282
2003-12-31,436.953
2004-01-30,442.89
2004-02-27,442.919
2004-03-31,460.79
2004-04-30,447.569
2004-05-31,445.011
2004-06-30,462.667
2004-07-30,477.616
2004-08-31,491.615
2004-09-30,524.472
2004-10-29,527.468
2004-11-30,587.277
2004-12-31,612.764
2005-01-31,603.454
2005-02-28,641.292
2005-03-31,596.985
2005-04-29,592.018
2005-05-31,582.25
2005-06-30,628.541
2005-07-29,637.433
2005-08-31,644.43
2005-09-30,673.418
2005-10-31,643.705
2005-11-30,647.697
2005-12-30,638.025
2006-01-31,639.592
2006-02-28,639.204
2006-03-31,651.045
2006-04-28,688.943
2006-05-31,693.424
2006-06-30,675.252
2006-07-31,678.502
2006-08-31,690.328
2006-09-29,711.235
2006-10-31,764.257
