Date,NORWAY IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,356.368
1994-06-30,341.745
1994-07-29,376.697
1994-08-31,379.892
1994-09-30,359.091
1994-10-31,384.041
1994-11-30,376.229
1994-12-30,395.682
1995-01-31,403.11
1995-02-28,394.589
1995-03-31,398.093
1995-04-28,429.928
1995-05-31,432.996
1995-06-30,451.414
1995-07-31,467.803
1995-08-31,448.775
1995-09-29,466.285
1995-10-31,451.937
1995-11-30,452.131
1995-12-29,463.5
1996-01-31,457.664
1996-02-29,466.64
1996-03-29,471.303
1996-04-30,500.623
1996-05-31,504.962
1996-06-28,488.374
1996-07-31,494.591
1996-08-30,497.895
1996-09-30,500.735
1996-10-31,538.54
1996-11-29,566.573
1996-12-31,590.942
1997-01-31,640.096
1997-02-28,599.791
1997-03-31,612.734
1997-04-30,561.942
1997-05-30,599.976
1997-06-30,597.964
1997-07-31,608.465
1997-08-29,621.598
1997-09-30,687.4
1997-10-31,680.087
1997-11-28,633.425
1997-12-31,609.525
1998-01-30,571.625
1998-02-27,580.183
1998-03-31,626.788
1998-04-30,666.786
1998-05-29,616.326
1998-06-30,578.613
1998-07-31,573.083
1998-08-31,415.869
1998-09-30,401.152
1998-10-30,438.482
1998-11-30,408.663
1998-12-31,392.169
1999-01-29,442.407
1999-02-26,410.532
1999-03-31,429.084
1999-04-30,446.406
1999-05-31,450.536
1999-06-30,464.125
1999-07-30,467.463
1999-08-31,466.087
1999-09-30,448.718
1999-10-29,435.1
1999-11-30,477.1
1999-12-31,577.226
2000-01-31,551.348
2000-02-29,601.133
2000-03-31,594.77
2000-04-28,511.287
2000-05-31,519.814
2000-06-30,563.34
2000-07-31,579.91
2000-08-31,647.406
2000-09-29,619.543
2000-10-31,628.139
2000-11-30,536.904
2000-12-29,531.264
2001-01-31,570.788
2001-02-28,548.927
2001-03-30,493.747
2001-04-30,526.18
2001-05-31,522.684
2001-06-29,476.163
2001-07-31,463.03
2001-08-31,430.823
2001-09-28,395.54
2001-10-31,410.428
2001-11-30,407.065
2001-12-31,413.315
2002-01-31,391.267
2002-02-28,396.68
2002-03-29,434.768
2002-04-30,416.316
2002-05-31,410.948
2002-06-28,388.026
2002-07-31,368.65
2002-08-30,340.744
2002-09-30,274.411
2002-10-31,299.495
2002-11-29,341.374
2002-12-31,239.371
2003-01-31,223.448
2003-02-28,190.137
2003-03-31,176.858
2003-04-30,216.549
2003-05-30,234.175
2003-06-30,228.694
2003-07-31,250.941
2003-08-29,263.195
2003-09-30,256.873
2003-10-31,297.339
2003-11-28,314.172
2003-12-31,336.176
2004-01-30,364.839
2004-02-27,374.459
2004-03-31,357.89
2004-04-30,334.336
2004-05-31,344.649
2004-06-30,353.051
2004-07-30,338.241
2004-08-31,351.405
2004-09-30,381.471
2004-10-29,392.831
2004-11-30,450.341
2004-12-31,464.765
2005-01-31,465.107
2005-02-28,489.851
2005-03-31,474.815
2005-04-29,438.851
2005-05-31,457.59
2005-06-30,483.285
2005-07-29,540.939
2005-08-31,590.273
2005-09-30,604.643
2005-10-31,559.709
2005-11-30,552.406
2005-12-30,596.384
2006-01-31,657.572
2006-02-28,659.725
2006-03-31,733.157
2006-04-28,818.206
2006-05-31,798.174
2006-06-30,766.209
2006-07-31,783.311
2006-08-31,758.901
2006-09-29,708.165
2006-10-31,781.21
2006-11-30,861.791
2006-12-29,883.293
2007-01-31,908.035
2007-02-28,879.617
2007-03-30,928.158
2007-04-30,977.872
2007-05-31,1000.0
2007-06-29,1040.004
2007-07-31,1025.251
2007-08-31,986.312
2007-09-28,1115.667
2007-10-31,1179.219
2007-11-30,1083.371
2007-12-31,1119.881
2008-01-31,884.274
2008-02-29,989.618
2008-03-31,981.948
2008-04-30,1098.437
2008-05-30,1160.052
2008-06-30,1091.467
2008-07-31,978.47
2008-08-29,939.19
2008-09-30,633.338
2008-10-31,403.302
2008-11-28,365.326
2008-12-31,389.739
2009-01-30,390.889
2009-02-27,350.613
2009-03-31,394.423
2009-04-30,445.201
2009-05-29,571.319
2009-06-30,540.022
2009-07-31,591.544
2009-08-31,596.065
2009-09-30,668.766
2009-10-30,696.485
2009-11-30,741.96
2009-12-31,800.404
2010-01-29,762.839
2010-02-26,737.595
2010-03-31,795.247
2010-04-30,792.202
2010-05-31,641.218
2010-06-30,599.714
2010-07-30,712.871
2010-08-31,691.029
2010-09-30,810.053
