Date,NORWAY IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,516.961
2001-01-02,536.3
2001-01-03,502.64
2001-01-04,520.478
2001-01-05,523.819
2001-01-08,524.799
2001-01-09,516.038
2001-01-10,521.4
2001-01-11,530.079
2001-01-12,538.4
2001-01-15,534.719
2001-01-16,524.745
2001-01-17,535.13
2001-01-18,545.047
2001-01-19,545.483
2001-01-22,535.424
2001-01-23,537.107
2001-01-24,540.335
2001-01-25,534.661
2001-01-26,534.605
2001-01-29,525.329
2001-01-30,536.617
2001-01-31,555.42
2001-02-01,563.339
2001-02-02,560.36
2001-02-05,554.895
2001-02-06,554.654
2001-02-07,551.879
2001-02-08,546.709
2001-02-09,539.093
2001-02-12,530.857
2001-02-13,536.288
2001-02-14,526.454
2001-02-15,522.201
2001-02-16,529.065
2001-02-19,541.922
2001-02-20,536.824
2001-02-21,532.003
2001-02-22,532.514
2001-02-23,528.232
2001-02-26,538.009
2001-02-27,535.163
2001-02-28,534.148
2001-03-01,518.842
2001-03-02,524.204
2001-03-05,531.782
2001-03-06,549.483
2001-03-07,541.854
2001-03-08,547.295
2001-03-09,542.7
2001-03-12,524.691
2001-03-13,510.348
2001-03-14,490.472
2001-03-15,499.229
2001-03-16,491.363
2001-03-19,481.831
2001-03-20,496.495
2001-03-21,483.241
2001-03-22,463.126
2001-03-23,471.005
2001-03-26,479.699
2001-03-27,485.5
2001-03-28,475.361
2001-03-29,471.774
2001-03-30,480.454
2001-04-02,475.329
2001-04-03,462.705
2001-04-04,466.814
2001-04-05,483.821
2001-04-06,478.403
2001-04-09,480.771
2001-04-10,491.952
2001-04-11,490.025
2001-04-12,494.677
2001-04-13,494.677
2001-04-16,489.639
2001-04-17,484.978
2001-04-18,492.888
2001-04-19,498.762
2001-04-20,497.398
2001-04-23,497.218
2001-04-24,498.544
2001-04-25,500.727
2001-04-26,504.005
2001-04-27,510.325
2001-04-30,512.304
2001-05-01,515.329
2001-05-02,516.41
2001-05-03,509.26
2001-05-04,509.706
2001-05-07,516.168
2001-05-08,519.039
2001-05-09,515.108
2001-05-10,527.829
2001-05-11,521.443
2001-05-14,506.112
2001-05-15,510.698
2001-05-16,506.947
2001-05-17,506.998
2001-05-18,524.504
2001-05-21,537.175
2001-05-22,530.102
2001-05-23,527.048
2001-05-24,527.3
2001-05-25,532.115
2001-05-28,533.091
2001-05-29,523.421
2001-05-30,517.52
2001-05-31,509.729
2001-06-01,506.686
2001-06-04,507.404
2001-06-05,510.348
2001-06-06,507.718
2001-06-07,504.797
2001-06-08,505.627
2001-06-11,496.36
2001-06-12,481.823
2001-06-13,491.428
2001-06-14,486.073
2001-06-15,481.198
2001-06-18,486.832
2001-06-19,492.418
2001-06-20,483.118
2001-06-21,481.283
2001-06-22,481.525
2001-06-25,483.326
2001-06-26,468.476
2001-06-27,470.456
2001-06-28,462.582
2001-06-29,464.362
2001-07-02,460.044
2001-07-03,459.321
2001-07-04,457.825
2001-07-05,450.464
2001-07-06,452.134
2001-07-09,456.606
2001-07-10,448.823
2001-07-11,443.14
2001-07-12,444.163
2001-07-13,435.992
2001-07-16,435.675
2001-07-17,424.025
2001-07-18,429.327
2001-07-19,438.758
2001-07-20,438.86
2001-07-23,446.139
2001-07-24,443.206
2001-07-25,442.427
2001-07-26,443.072
2001-07-27,446.939
2001-07-30,451.321
2001-07-31,451.554
2001-08-01,459.29
2001-08-02,462.282
2001-08-03,457.663
2001-08-06,456.453
2001-08-07,448.356
2001-08-08,440.163
2001-08-09,442.451
2001-08-10,441.331
2001-08-13,442.02
2001-08-14,442.303
2001-08-15,444.45
2001-08-16,444.768
2001-08-17,442.407
2001-08-20,436.545
2001-08-21,439.174
2001-08-22,436.33
2001-08-23,427.816
2001-08-24,431.999
2001-08-27,429.408
2001-08-28,429.464
2001-08-29,426.183
2001-08-30,425.027
2001-08-31,420.146
2001-09-03,413.703
2001-09-04,417.562
2001-09-05,417.793
2001-09-06,417.631
2001-09-07,415.816
2001-09-10,404.745
2001-09-11,435.896
2001-09-12,403.516
2001-09-13,403.959
2001-09-14,405.583
2001-09-17,406.174
2001-09-18,404.901
2001-09-19,401.519
2001-09-20,385.496
2001-09-21,365.991
2001-09-24,368.094
2001-09-25,375.862
2001-09-26,377.986
2001-09-27,377.042
2001-09-28,385.737
2001-10-01,378.969
2001-10-02,375.949
2001-10-03,377.767
2001-10-04,379.5
2001-10-05,375.212
2001-10-08,371.247
2001-10-09,376.624
2001-10-10,384.072
2001-10-11,392.064
2001-10-12,391.778
2001-10-15,384.603
2001-10-16,387.72
2001-10-17,394.153
2001-10-18,385.873
2001-10-19,376.61
2001-10-22,382.578
2001-10-23,385.111
2001-10-24,391.07
2001-10-25,380.675
2001-10-26,382.483
2001-10-29,401.27
2001-10-30,404.949
2001-10-31,400.256
2001-11-01,396.5
2001-11-02,391.327
2001-11-05,401.527
2001-11-06,399.991
2001-11-07,402.878
2001-11-08,403.886
2001-11-09,412.302
2001-11-12,403.515
2001-11-13,415.193
2001-11-14,412.094
2001-11-15,398.041
2001-11-16,393.922
2001-11-19,385.845
2001-11-20,396.623
2001-11-21,392.288
2001-11-22,402.223
2001-11-23,390.848
2001-11-26,390.218
2001-11-27,393.449
2001-11-28,393.27
2001-11-29,395.09
2001-11-30,396.976
2001-12-03,388.875
2001-12-04,394.185
2001-12-05,399.763
2001-12-06,400.717
2001-12-07,399.102
2001-12-10,394.699
2001-12-11,394.363
2001-12-12,395.585
2001-12-13,388.753
2001-12-14,394.68
2001-12-17,389.407
2001-12-18,388.677
2001-12-19,382.47
