Date,NORWAY IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,342.025
1994-06-30,327.99
1994-07-29,361.536
1994-08-31,364.603
1994-09-30,344.639
1994-10-31,368.585
1994-11-30,361.087
1994-12-30,379.757
1995-01-31,386.886
1995-02-28,378.709
1995-03-31,382.071
1995-04-28,412.695
1995-05-31,416.988
1995-06-30,434.75
1995-07-31,450.534
1995-08-31,432.208
1995-09-29,449.072
1995-10-31,435.253
1995-11-30,435.44
1995-12-29,446.39
1996-01-31,440.769
1996-02-29,449.413
1996-03-29,453.905
1996-04-30,483.024
1996-05-31,488.091
1996-06-28,472.117
1996-07-31,478.127
1996-08-30,481.32
1996-09-30,484.065
1996-10-31,520.613
1996-11-29,547.712
1996-12-31,571.27
1997-01-31,618.787
1997-02-28,579.824
1997-03-31,592.367
1997-04-30,544.081
1997-05-30,581.679
1997-06-30,579.759
1997-07-31,589.94
1997-08-29,602.674
1997-09-30,666.472
1997-10-31,659.382
1997-11-28,614.141
1997-12-31,590.968
1998-01-30,554.222
1998-02-27,562.52
1998-03-31,607.711
1998-04-30,647.151
1998-05-29,598.895
1998-06-30,562.311
1998-07-31,556.937
1998-08-31,404.152
1998-09-30,389.85
1998-10-30,426.128
1998-11-30,397.149
1998-12-31,381.12
1999-01-29,429.942
1999-02-26,398.966
1999-03-31,416.995
1999-04-30,433.933
1999-05-31,438.102
1999-06-30,451.317
1999-07-30,454.562
1999-08-31,453.224
1999-09-30,436.335
1999-10-29,423.092
1999-11-30,463.933
1999-12-31,561.296
2000-01-31,536.131
2000-02-29,584.543
2000-03-31,578.355
2000-04-28,497.207
2000-05-31,505.819
2000-06-30,548.173
2000-07-31,564.297
2000-08-31,629.975
2000-09-29,602.863
2000-10-31,611.227
2000-11-30,522.449
2000-12-29,516.961
2001-01-31,555.42
2001-02-28,534.148
2001-03-30,480.454
2001-04-30,512.304
2001-05-31,509.729
2001-06-29,464.362
2001-07-31,451.554
2001-08-31,420.146
2001-09-28,385.737
2001-10-31,400.256
2001-11-30,396.976
2001-12-31,403.114
2002-01-31,381.61
2002-02-28,386.889
2002-03-29,424.047
2002-04-30,406.19
2002-05-31,401.629
2002-06-28,379.227
2002-07-31,360.291
2002-08-30,333.017
2002-09-30,268.189
2002-10-31,292.704
2002-11-29,333.633
2002-12-31,233.944
2003-01-31,218.381
2003-02-28,185.825
2003-03-31,172.94
2003-04-30,211.941
2003-05-30,229.37
2003-06-30,224.001
2003-07-31,245.792
2003-08-29,257.795
2003-09-30,251.602
2003-10-31,291.238
2003-11-28,307.726
2003-12-31,329.278
2004-01-30,357.353
2004-02-27,366.843
2004-03-31,350.612
2004-04-30,327.967
2004-05-31,339.035
2004-06-30,347.325
2004-07-30,332.755
2004-08-31,345.863
2004-09-30,375.456
2004-10-29,386.636
2004-11-30,443.502
2004-12-31,457.734
2005-01-31,458.071
2005-02-28,482.461
2005-03-31,468.033
2005-04-29,432.794
2005-05-31,452.7
2005-06-30,478.138
2005-07-29,535.178
2005-08-31,583.986
2005-09-30,598.203
2005-10-31,553.748
2005-11-30,546.523
2005-12-30,590.032
2006-01-31,650.568
2006-02-28,652.699
2006-03-31,725.497
2006-04-28,809.658
2006-05-31,793.289
2006-06-30,761.52
2006-07-31,778.518
2006-08-31,754.257
2006-09-29,703.935
2006-10-31,776.544
2006-11-30,856.644
2006-12-29,878.21
2007-01-31,902.81
2007-02-28,874.555
2007-03-30,923.724
2007-04-30,973.335
2007-05-31,1000.0
2007-06-29,1040.62
2007-07-31,1025.859
2007-08-31,986.897
2007-09-28,1116.328
2007-10-31,1179.917
2007-11-30,1084.012
2007-12-31,1120.932
2008-01-31,885.103
2008-02-29,990.547
2008-03-31,983.094
2008-04-30,1100.546
2008-05-30,1165.99
2008-06-30,1097.481
2008-07-31,983.861
2008-08-29,944.387
2008-09-30,637.359
2008-10-31,405.862
2008-11-28,367.656
2008-12-31,392.267
2009-01-30,393.425
2009-02-27,352.888
2009-03-31,396.981
2009-04-30,448.512
2009-05-29,576.573
2009-06-30,545.004
2009-07-31,597.001
2009-08-31,601.564
2009-09-30,674.954
2009-10-30,702.929
2009-11-30,749.101
2009-12-31,808.108
2010-01-29,770.18
2010-02-26,744.693
2010-03-31,802.901
2010-04-30,800.195
2010-05-31,649.447
2010-06-30,608.191
2010-07-30,722.948
2010-08-31,701.1
2010-09-30,821.86
2010-10-29,878.006
2010-11-30,822.969
2010-12-31,992.879
2011-01-31,981.508
2011-02-28,1025.896
2011-03-31,1024.707
2011-04-29,1091.568
2011-05-31,1073.044
2011-06-30,1020.714
2011-07-29,1013.514
2011-08-31,922.486
2011-09-30,718.671
2011-10-31,849.831
2011-11-30,773.081
2011-12-30,752.067
2012-01-31,810.069
2012-02-29,935.825
2012-03-30,913.104
2012-04-30,909.862
2012-05-31,760.4
2012-06-29,821.595
2012-07-31,848.403
2012-08-31,910.839
2012-09-28,932.58
2012-10-31,917.853
2012-11-30,915.525
2012-12-31,938.527
2013-01-31,993.366
2013-02-28,976.271
2013-03-29,958.316
2013-04-30,951.142
2013-05-31,986.189
2013-06-28,893.201
2013-07-31,972.207
2013-08-30,948.692
2013-09-30,986.955
2013-10-31,1054.372
2013-11-29,1072.857
2013-12-31,1091.989
2014-01-31,1024.084
2014-02-28,1138.526
2014-03-31,1117.245
2014-04-30,1132.279
2014-05-30,1162.589
2014-06-30,1134.817
2014-07-31,1112.456
2014-08-29,1126.309
2014-09-30,1074.469
2014-10-31,988.344
2014-11-28,1022.768
2014-12-31,983.19
2015-01-30,993.331
2015-02-27,942.511
2015-03-31,876.727
2015-04-30,932.651
2015-05-29,914.949
2015-06-30,895.405
2015-07-31,883.115
2015-08-31,813.318
2015-09-30,783.547
2015-10-30,809.387
2015-11-30,845.055
2015-12-31,822.022
2016-01-29,760.659
2016-02-29,790.206
2016-03-31,850.861
2016-04-29,897.261
2016-05-31,904.936
2016-06-30,882.695
2016-07-29,908.802
2016-08-31,903.031
2016-09-30,939.247
2016-10-31,903.437
2016-11-30,868.092
2016-12-30,895.019
2017-01-31,925.539
2017-02-28,915.694
2017-03-31,872.928
2017-04-28,885.407
2017-05-31,916.895
2017-06-30,912.451
2017-07-31,1005.636
2017-08-31,1037.52
2017-09-29,1069.67
2017-10-31,1093.655
2017-11-30,1065.059
2017-12-29,1124.807
2018-01-31,1146.086
2018-02-28,1122.809
2018-03-30,1075.072
2018-04-30,1106.056
2018-05-31,1094.533
2018-06-29,1087.319
2018-07-31,1092.3
2018-08-31,1072.592
2018-09-28,1137.712
2018-10-31,1048.046
2018-11-30,1008.921
2018-12-31,935.114
2019-01-31,986.724
2019-02-28,1008.418
2019-03-29,1010.289
2019-04-30,1020.851
2019-05-31,1023.517
2019-06-28,1059.687
2019-07-31,1033.819
2019-08-30,1007.05
2019-09-30,1024.077
2019-10-31,1032.193
2019-11-29,1046.677
2019-12-31,1128.903
2020-01-31,1057.457
2020-02-28,951.607
2020-03-31,770.303
2020-04-30,858.143
2020-05-29,931.723
2020-06-30,948.491
2020-07-31,1071.03
2020-08-31,1199.33
2020-09-30,1135.358
2020-10-30,1050.432
2020-11-30,1225.559
2020-12-31,1362.632
2021-01-29,1312.452
2021-02-26,1278.691
2021-03-31,1332.502
2021-04-30,1458.754
2021-05-31,1470.428
2021-06-30,1428.315
2021-07-30,1439.201
2021-08-31,1482.051
2021-09-30,1372.582
2021-10-29,1493.063
2021-11-30,1354.488
2021-12-31,1356.447
2022-01-31,1197.994
2022-02-28,1216.104
2022-03-31,1247.574
2022-04-29,1168.365
2022-05-31,1142.366
2022-06-30,984.503
2022-07-29,1074.202
2022-08-31,1021.684
2022-09-30,764.876
2022-10-31,848.192
2022-11-30,932.591
2022-12-30,937.53
2023-01-31,987.007
2023-02-28,985.242
2023-03-31,977.374
2023-04-28,973.536
2023-05-31,927.336
2023-06-30,956.891
2023-07-31,1013.302
2023-08-31,930.296
2023-09-29,922.518
2023-10-31,835.225
2023-11-30,914.333
2023-12-29,1004.504
2024-01-31,969.943
2024-02-29,1005.227
2024-03-29,1054.803
2024-04-30,1049.96
2024-05-31,1197.187
2024-06-28,1157.564
2024-07-31,1197.477
2024-08-30,1202.422
2024-09-30,1167.13
2024-10-31,1141.729
2024-11-29,1149.335
2024-12-31,1084.537
2025-01-31,1175.368
2025-02-28,1147.247
2025-03-31,1196.62
2025-04-30,1229.381
2025-05-30,1325.879
2025-06-30,1389.087
2025-07-31,1329.649
2025-08-29,1395.688
2025-09-30,1413.717
