Date,UNITED KINGDOM SMID VALUE SMID (Small+Mid Cap)
2001-01-01,321.686
2001-01-02,322.47
2001-01-03,322.285
2001-01-04,323.106
2001-01-05,324.366
2001-01-08,325.929
2001-01-09,325.137
2001-01-10,325.142
2001-01-11,325.893
2001-01-12,322.003
2001-01-15,322.36
2001-01-16,319.353
2001-01-17,322.945
2001-01-18,323.841
2001-01-19,323.059
2001-01-22,320.949
2001-01-23,323.299
2001-01-24,321.135
2001-01-25,322.656
2001-01-26,322.461
2001-01-29,323.588
2001-01-30,324.801
2001-01-31,324.587
2001-02-01,329.779
2001-02-02,327.13
2001-02-05,327.972
2001-02-06,326.431
2001-02-07,326.597
2001-02-08,323.683
2001-02-09,322.528
2001-02-12,324.157
2001-02-13,324.653
2001-02-14,326.227
2001-02-15,324.482
2001-02-16,323.335
2001-02-19,322.958
2001-02-20,321.814
2001-02-21,321.846
2001-02-22,322.846
2001-02-23,322.651
2001-02-26,321.234
2001-02-27,322.488
2001-02-28,322.525
2001-03-01,324.806
2001-03-02,328.211
2001-03-05,327.389
2001-03-06,327.935
2001-03-07,326.46
2001-03-08,326.784
2001-03-09,325.335
2001-03-12,322.094
2001-03-13,313.649
2001-03-14,307.846
2001-03-15,310.171
2001-03-16,305.084
2001-03-19,303.526
2001-03-20,303.689
2001-03-21,299.195
2001-03-22,290.317
2001-03-23,293.212
2001-03-26,297.057
2001-03-27,300.401
2001-03-28,299.226
2001-03-29,300.571
2001-03-30,298.852
2001-04-02,298.336
2001-04-03,296.397
2001-04-04,297.192
2001-04-05,299.018
2001-04-06,301.327
2001-04-09,303.857
2001-04-10,304.515
2001-04-11,304.539
2001-04-12,305.767
2001-04-13,305.759
2001-04-16,304.483
2001-04-17,304.343
2001-04-18,305.818
2001-04-19,309.445
2001-04-20,313.846
2001-04-23,313.452
2001-04-24,312.989
2001-04-25,313.619
2001-04-26,314.064
2001-04-27,315.396
2001-04-30,317.315
2001-05-01,317.833
2001-05-02,318.942
2001-05-03,318.33
2001-05-04,320.888
2001-05-07,321.502
2001-05-08,321.103
2001-05-09,317.328
2001-05-10,319.128
2001-05-11,318.802
2001-05-14,317.43
2001-05-15,319.021
2001-05-16,321.332
2001-05-17,323.325
2001-05-18,325.13
2001-05-21,328.191
2001-05-22,329.186
2001-05-23,327.791
2001-05-24,324.195
2001-05-25,325.707
2001-05-28,325.609
2001-05-29,325.747
2001-05-30,325.997
2001-05-31,325.128
2001-06-01,325.007
2001-06-04,326.52
2001-06-05,325.649
2001-06-06,322.058
2001-06-07,321.729
2001-06-08,320.349
2001-06-11,316.554
2001-06-12,315.116
2001-06-13,315.581
2001-06-14,315.104
2001-06-15,312.203
2001-06-18,312.54
2001-06-19,312.828
2001-06-20,309.901
2001-06-21,314.614
2001-06-22,313.611
2001-06-25,313.948
2001-06-26,311.679
2001-06-27,312.062
2001-06-28,312.302
2001-06-29,312.769
2001-07-02,314.909
2001-07-03,312.934
2001-07-04,311.965
2001-07-05,307.791
2001-07-06,307.027
2001-07-09,307.094
2001-07-10,307.684
2001-07-11,307.548
2001-07-12,307.608
2001-07-13,306.666
2001-07-16,305.921
2001-07-17,304.466
2001-07-18,306.019
2001-07-19,306.514
2001-07-20,309.013
2001-07-23,307.171
2001-07-24,303.619
2001-07-25,302.144
2001-07-26,301.987
2001-07-27,303.687
2001-07-30,306.271
2001-07-31,308.886
2001-08-01,313.22
2001-08-02,316.381
2001-08-03,315.303
2001-08-06,312.53
2001-08-07,310.633
2001-08-08,307.949
2001-08-09,307.328
2001-08-10,309.414
2001-08-13,309.196
2001-08-14,310.108
2001-08-15,314.085
2001-08-16,314.794
2001-08-17,314.834
2001-08-20,316.055
2001-08-21,318.829
2001-08-22,320.2
2001-08-23,318.267
2001-08-24,320.205
2001-08-27,319.43
2001-08-28,319.867
2001-08-29,320.154
2001-08-30,317.028
2001-08-31,316.543
2001-09-03,315.403
2001-09-04,315.722
2001-09-05,313.999
2001-09-06,309.533
2001-09-07,307.33
2001-09-10,301.865
2001-09-11,292.967
2001-09-12,290.183
2001-09-13,292.59
2001-09-14,286.595
2001-09-17,281.856
2001-09-18,274.318
2001-09-19,272.185
2001-09-20,262.857
2001-09-21,251.382
2001-09-24,258.3
2001-09-25,263.168
2001-09-26,264.89
2001-09-27,264.093
2001-09-28,267.355
2001-10-01,267.399
2001-10-02,263.939
2001-10-03,268.299
2001-10-04,273.724
2001-10-05,276.696
2001-10-08,272.402
2001-10-09,273.596
2001-10-10,270.584
2001-10-11,273.965
2001-10-12,277.784
2001-10-15,275.674
2001-10-16,277.818
2001-10-17,282.091
2001-10-18,278.108
2001-10-19,274.718
2001-10-22,270.568
2001-10-23,271.711
2001-10-24,272.133
2001-10-25,273.349
2001-10-26,276.499
2001-10-29,278.256
2001-10-30,274.974
2001-10-31,277.024
2001-11-01,278.947
2001-11-02,281.36
2001-11-05,283.075
2001-11-06,285.832
2001-11-07,288.11
2001-11-08,291.918
2001-11-09,293.406
2001-11-12,290.354
2001-11-13,293.005
2001-11-14,295.902
2001-11-15,295.661
2001-11-16,295.462
2001-11-19,295.52
2001-11-20,294.587
2001-11-21,292.413
2001-11-22,293.117
2001-11-23,291.895
2001-11-26,294.474
2001-11-27,293.621
2001-11-28,293.139
2001-11-29,291.148
2001-11-30,292.291
2001-12-03,290.538
2001-12-04,292.515
2001-12-05,296.885
2001-12-06,302.906
2001-12-07,302.702
2001-12-10,300.213
2001-12-11,299.038
2001-12-12,299.261
2001-12-13,296.571
2001-12-14,297.411
2001-12-17,300.146
2001-12-18,301.13
2001-12-19,298.755
2001-12-20,296.906
2001-12-21,295.846
2001-12-24,297.047
2001-12-25,297.045
2001-12-26,298.781
2001-12-27,301.608
2001-12-28,302.389
2001-12-31,304.704
2002-01-01,304.708
2002-01-02,303.647
2002-01-03,307.733
2002-01-04,311.41
2002-01-07,311.239
2002-01-08,309.849
2002-01-09,308.929
