Date,UNITED KINGDOM SMID GROWTH SMID (Small+Mid Cap)
2010-03-31,706.089
2010-04-30,724.851
2010-05-31,650.391
2010-06-30,654.932
2010-07-30,730.39
2010-08-31,709.231
2010-09-30,792.331
2010-10-29,817.273
2010-11-30,782.43
2010-12-31,852.165
2011-01-31,864.144
2011-02-28,894.707
2011-03-31,876.674
2011-04-29,947.351
2011-05-31,929.136
2011-06-30,897.029
2011-07-29,894.712
2011-08-31,826.563
2011-09-30,740.861
2011-10-31,819.85
2011-11-30,790.691
2011-12-30,776.172
2012-01-31,828.191
2012-02-29,898.901
2012-03-30,899.434
2012-04-30,910.253
2012-05-31,810.121
2012-06-29,843.174
2012-07-31,859.452
2012-08-31,903.489
2012-09-28,937.201
2012-10-31,943.223
2012-11-30,959.5
2012-12-31,980.051
2013-01-31,1003.831
2013-02-28,1000.224
2013-03-29,1027.678
2013-04-30,1044.273
2013-05-31,1057.887
2013-06-28,1015.572
2013-07-31,1100.061
2013-08-30,1101.946
2013-09-30,1178.804
2013-10-31,1218.095
2013-11-29,1238.675
2013-12-31,1295.412
2014-01-31,1265.824
2014-02-28,1377.19
2014-03-31,1325.669
2014-04-30,1321.083
2014-05-30,1337.043
2014-06-30,1331.088
2014-07-31,1290.579
2014-08-29,1310.535
2014-09-30,1226.688
2014-10-31,1221.257
2014-11-28,1233.635
2014-12-31,1248.525
2015-01-30,1222.0
2015-02-27,1315.816
2015-03-31,1250.804
2015-04-30,1331.742
2015-05-29,1379.227
2015-06-30,1361.884
2015-07-31,1390.373
2015-08-31,1327.14
2015-09-30,1270.705
2015-10-30,1340.974
2015-11-30,1332.918
2015-12-31,1312.288
2016-01-29,1184.148
2016-02-29,1171.074
2016-03-31,1242.737
2016-04-29,1245.246
2016-05-31,1272.658
2016-06-30,1120.212
2016-07-29,1192.536
2016-08-31,1196.422
2016-09-30,1189.325
2016-10-31,1088.036
2016-11-30,1100.298
2016-12-30,1126.503
2017-01-31,1169.956
2017-02-28,1181.624
2017-03-31,1204.988
2017-04-28,1283.921
2017-05-31,1319.04
2017-06-30,1277.91
2017-07-31,1321.071
2017-08-31,1314.87
2017-09-29,1371.781
2017-10-31,1390.821
2017-11-30,1386.131
2017-12-29,1437.229
2018-01-31,1501.748
2018-02-28,1413.867
2018-03-30,1422.66
2018-04-30,1467.411
2018-05-31,1491.12
2018-06-29,1478.061
2018-07-31,1474.863
2018-08-31,1458.661
2018-09-28,1439.69
2018-10-31,1285.194
2018-11-30,1251.588
2018-12-31,1205.104
2019-01-31,1316.371
2019-02-28,1357.99
2019-03-29,1354.022
2019-04-30,1437.062
2019-05-31,1354.704
2019-06-28,1408.219
2019-07-31,1391.796
2019-08-30,1349.306
2019-09-30,1393.718
2019-10-31,1454.904
2019-11-29,1508.88
2019-12-31,1600.165
2020-01-31,1551.445
2020-02-28,1387.736
