Date,UNITED KINGDOM SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,591.697
2001-01-02,587.766
2001-01-03,576.395
2001-01-04,585.931
2001-01-05,586.46
2001-01-08,584.176
2001-01-09,580.45
2001-01-10,579.644
2001-01-11,578.305
2001-01-12,582.751
2001-01-15,583.487
2001-01-16,576.049
2001-01-17,588.354
2001-01-18,594.124
2001-01-19,602.315
2001-01-22,597.245
2001-01-23,598.012
2001-01-24,597.142
2001-01-25,598.438
2001-01-26,593.397
2001-01-29,594.41
2001-01-30,599.19
2001-01-31,598.129
2001-02-01,601.555
2001-02-02,596.823
2001-02-05,597.995
2001-02-06,594.314
2001-02-07,590.266
2001-02-08,585.736
2001-02-09,582.954
2001-02-12,588.67
2001-02-13,587.996
2001-02-14,583.501
2001-02-15,580.628
2001-02-16,573.677
2001-02-19,568.432
2001-02-20,564.087
2001-02-21,556.123
2001-02-22,549.491
2001-02-23,547.107
2001-02-26,547.425
2001-02-27,552.423
2001-02-28,546.326
2001-03-01,542.894
2001-03-02,548.135
2001-03-05,548.718
2001-03-06,557.162
2001-03-07,557.065
2001-03-08,557.614
2001-03-09,550.948
2001-03-12,537.097
2001-03-13,519.214
2001-03-14,508.217
2001-03-15,511.846
2001-03-16,500.017
2001-03-19,493.155
2001-03-20,496.31
2001-03-21,486.105
2001-03-22,462.464
2001-03-23,472.254
2001-03-26,479.164
2001-03-27,485.178
2001-03-28,482.872
2001-03-29,481.125
2001-03-30,475.448
2001-04-02,474.478
2001-04-03,460.882
2001-04-04,458.574
2001-04-05,465.58
2001-04-06,467.882
2001-04-09,465.848
2001-04-10,470.149
2001-04-11,477.794
2001-04-12,480.497
2001-04-13,480.168
2001-04-16,478.455
2001-04-17,475.919
2001-04-18,486.658
2001-04-19,500.407
2001-04-20,506.28
2001-04-23,502.183
2001-04-24,498.984
2001-04-25,499.274
2001-04-26,503.257
2001-04-27,506.658
2001-04-30,512.729
2001-05-01,510.34
2001-05-02,514.579
2001-05-03,509.283
2001-05-04,512.846
2001-05-07,513.703
2001-05-08,516.476
2001-05-09,507.259
2001-05-10,507.225
2001-05-11,503.884
2001-05-14,499.265
2001-05-15,501.641
2001-05-16,502.089
2001-05-17,509.286
2001-05-18,511.519
2001-05-21,517.433
2001-05-22,521.699
2001-05-23,515.683
2001-05-24,508.999
2001-05-25,511.724
2001-05-28,511.393
2001-05-29,508.234
2001-05-30,505.211
2001-05-31,504.016
2001-06-01,502.294
2001-06-04,505.185
2001-06-05,507.337
2001-06-06,501.759
2001-06-07,501.079
2001-06-08,498.78
2001-06-11,491.69
2001-06-12,486.632
2001-06-13,490.8
2001-06-14,488.136
2001-06-15,482.84
2001-06-18,481.268
2001-06-19,479.794
2001-06-20,470.897
2001-06-21,475.403
2001-06-22,473.477
2001-06-25,472.829
2001-06-26,464.6
2001-06-27,463.56
2001-06-28,462.307
2001-06-29,464.301
2001-07-02,468.879
2001-07-03,461.328
2001-07-04,454.413
2001-07-05,443.247
2001-07-06,438.104
2001-07-09,438.582
2001-07-10,440.465
2001-07-11,435.599
2001-07-12,439.078
2001-07-13,438.756
2001-07-16,437.937
2001-07-17,434.189
2001-07-18,437.566
2001-07-19,436.659
2001-07-20,438.977
2001-07-23,436.276
2001-07-24,432.065
2001-07-25,429.175
2001-07-26,430.561
2001-07-27,434.023
2001-07-30,438.508
2001-07-31,443.327
2001-08-01,449.804
2001-08-02,454.23
2001-08-03,450.938
2001-08-06,447.094
2001-08-07,445.199
2001-08-08,441.365
2001-08-09,437.634
2001-08-10,441.29
2001-08-13,440.771
2001-08-14,444.024
2001-08-15,447.496
2001-08-16,446.799
2001-08-17,446.719
2001-08-20,446.401
2001-08-21,448.925
2001-08-22,449.786
2001-08-23,446.831
2001-08-24,449.28
2001-08-27,448.287
2001-08-28,447.924
2001-08-29,447.581
2001-08-30,441.88
2001-08-31,440.33
2001-09-03,439.088
2001-09-04,439.64
2001-09-05,436.38
2001-09-06,426.79
