Date,UNITED KINGDOM SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,591.698
2001-01-02,587.766
2001-01-03,576.396
2001-01-04,585.931
2001-01-05,586.461
2001-01-08,584.177
2001-01-09,580.451
2001-01-10,579.645
2001-01-11,578.306
2001-01-12,582.752
2001-01-15,583.488
2001-01-16,576.05
2001-01-17,588.354
2001-01-18,594.125
2001-01-19,602.316
2001-01-22,597.246
2001-01-23,598.013
2001-01-24,597.142
2001-01-25,598.439
2001-01-26,593.398
2001-01-29,594.411
2001-01-30,599.191
2001-01-31,598.13
2001-02-01,601.555
2001-02-02,596.824
2001-02-05,597.996
2001-02-06,594.315
2001-02-07,590.266
2001-02-08,585.737
2001-02-09,582.955
2001-02-12,588.671
2001-02-13,587.996
2001-02-14,583.502
2001-02-15,580.629
2001-02-16,573.678
2001-02-19,568.433
2001-02-20,564.088
2001-02-21,556.124
2001-02-22,549.492
2001-02-23,547.108
2001-02-26,547.426
2001-02-27,552.424
2001-02-28,546.327
2001-03-01,542.895
2001-03-02,548.136
2001-03-05,548.719
2001-03-06,557.163
2001-03-07,557.066
2001-03-08,557.615
2001-03-09,550.949
2001-03-12,537.097
2001-03-13,519.214
2001-03-14,508.217
2001-03-15,511.847
2001-03-16,500.017
2001-03-19,493.156
2001-03-20,496.311
2001-03-21,486.106
2001-03-22,462.465
2001-03-23,472.254
2001-03-26,479.165
2001-03-27,485.178
2001-03-28,482.872
2001-03-29,481.126
2001-03-30,475.448
2001-04-02,474.479
2001-04-03,460.883
2001-04-04,458.574
2001-04-05,465.581
2001-04-06,467.883
2001-04-09,465.849
2001-04-10,470.15
2001-04-11,477.794
2001-04-12,480.497
2001-04-13,480.169
2001-04-16,478.455
2001-04-17,475.919
2001-04-18,486.659
2001-04-19,500.408
2001-04-20,506.28
2001-04-23,502.184
2001-04-24,498.985
2001-04-25,499.274
2001-04-26,503.257
2001-04-27,506.659
2001-04-30,512.73
2001-05-01,510.341
2001-05-02,514.58
2001-05-03,509.283
2001-05-04,512.847
2001-05-07,513.703
2001-05-08,516.476
2001-05-09,507.26
2001-05-10,507.225
2001-05-11,503.884
2001-05-14,499.266
2001-05-15,501.642
2001-05-16,502.09
2001-05-17,509.287
2001-05-18,511.52
2001-05-21,517.434
2001-05-22,521.7
2001-05-23,515.683
2001-05-24,508.999
2001-05-25,511.725
2001-05-28,511.394
2001-05-29,508.235
2001-05-30,505.211
2001-05-31,504.017
2001-06-01,502.295
2001-06-04,505.186
2001-06-05,507.338
2001-06-06,501.76
2001-06-07,501.08
2001-06-08,498.78
2001-06-11,491.691
2001-06-12,486.633
2001-06-13,490.801
2001-06-14,488.137
2001-06-15,482.841
2001-06-18,481.268
2001-06-19,479.795
2001-06-20,470.897
2001-06-21,475.403
2001-06-22,473.478
2001-06-25,472.829
2001-06-26,464.6
2001-06-27,463.561
2001-06-28,462.308
2001-06-29,464.302
2001-07-02,468.88
2001-07-03,461.329
2001-07-04,454.414
2001-07-05,443.248
2001-07-06,438.105
2001-07-09,438.583
2001-07-10,440.465
2001-07-11,435.599
2001-07-12,439.078
2001-07-13,438.757
2001-07-16,437.938
2001-07-17,434.189
2001-07-18,437.566
2001-07-19,436.659
2001-07-20,438.978
2001-07-23,436.276
2001-07-24,432.065
2001-07-25,429.175
2001-07-26,430.562
2001-07-27,434.024
2001-07-30,438.509
2001-07-31,443.327
2001-08-01,449.805
2001-08-02,454.231
2001-08-03,450.939
2001-08-06,447.094
2001-08-07,445.2
2001-08-08,441.365
2001-08-09,437.634
2001-08-10,441.29
2001-08-13,440.772
2001-08-14,444.024
2001-08-15,447.497
2001-08-16,446.799
2001-08-17,446.719
2001-08-20,446.402
2001-08-21,448.926
2001-08-22,449.786
2001-08-23,446.831
2001-08-24,449.281
2001-08-27,448.288
2001-08-28,447.924
2001-08-29,447.582
2001-08-30,441.88
2001-08-31,440.331
2001-09-03,439.089
2001-09-04,439.641
2001-09-05,436.38
2001-09-06,426.79
2001-09-07,422.593
2001-09-10,413.338
2001-09-11,402.406
2001-09-12,396.897
2001-09-13,401.685
2001-09-14,392.963
2001-09-17,386.215
2001-09-18,376.209
2001-09-19,369.422
2001-09-20,353.454
2001-09-21,337.237
2001-09-24,351.384
2001-09-25,360.034
2001-09-26,363.446
2001-09-27,361.738
2001-09-28,365.666
2001-10-01,362.009
2001-10-02,358.823
2001-10-03,366.574
2001-10-04,379.465
2001-10-05,381.306
2001-10-08,378.965
2001-10-09,379.003
2001-10-10,384.694
2001-10-11,392.18
2001-10-12,394.654
2001-10-15,393.478
2001-10-16,395.994
2001-10-17,404.569
2001-10-18,394.176
2001-10-19,386.192
2001-10-22,383.793
2001-10-23,389.129
2001-10-24,390.102
2001-10-25,392.24
2001-10-26,398.22
2001-10-29,399.806
2001-10-30,393.485
2001-10-31,394.267
2001-11-01,397.843
2001-11-02,401.278
2001-11-05,404.021
2001-11-06,407.131
2001-11-07,410.472
2001-11-08,415.953
2001-11-09,417.57
2001-11-12,411.919
2001-11-13,417.538
2001-11-14,423.788
2001-11-15,427.484
2001-11-16,427.759
2001-11-19,427.79
2001-11-20,422.171
2001-11-21,416.904
2001-11-22,418.505
2001-11-23,416.253
2001-11-26,420.708
2001-11-27,417.865
2001-11-28,414.953
2001-11-29,411.646
2001-11-30,415.262
2001-12-03,411.845
2001-12-04,413.188
2001-12-05,424.455
2001-12-06,431.678
2001-12-07,432.321
2001-12-10,426.864
2001-12-11,424.68
2001-12-12,421.45
2001-12-13,416.315
2001-12-14,415.773
2001-12-17,421.026
2001-12-18,424.031
2001-12-19,420.083
2001-12-20,417.043
2001-12-21,416.49
2001-12-24,418.27
2001-12-25,418.152
2001-12-26,420.71
2001-12-27,424.774
2001-12-28,425.04
2001-12-31,429.803
2002-01-01,429.712
2002-01-02,425.698
2002-01-03,432.517
2002-01-04,436.661
2002-01-07,435.582
2002-01-08,434.749
2002-01-09,432.467
2002-01-10,429.889
2002-01-11,432.479
2002-01-14,429.691
2002-01-15,428.781
2002-01-16,421.803
2002-01-17,422.487
2002-01-18,421.386
2002-01-21,420.559
2002-01-22,417.789
2002-01-23,414.964
2002-01-24,416.027
2002-01-25,410.398
2002-01-28,409.199
2002-01-29,405.935
2002-01-30,401.887
2002-01-31,406.15
2002-02-01,407.264
2002-02-04,404.195
2002-02-05,398.731
2002-02-06,394.101
2002-02-07,393.935
2002-02-08,397.282
2002-02-11,401.5
2002-02-12,403.838
2002-02-13,403.252
2002-02-14,402.152
2002-02-15,403.087
2002-02-18,400.273
2002-02-19,396.987
2002-02-20,392.221
2002-02-21,391.23
2002-02-22,388.396
2002-02-25,391.391
2002-02-26,395.116
2002-02-27,396.861
2002-02-28,391.1
2002-03-01,395.3
2002-03-04,403.376
2002-03-05,401.041
2002-03-06,402.28
2002-03-07,408.07
2002-03-08,406.946
2002-03-11,406.108
2002-03-12,400.143
2002-03-13,401.087
2002-03-14,403.602
2002-03-15,406.927
2002-03-18,409.13
2002-03-19,409.254
2002-03-20,409.18
2002-03-21,410.026
2002-03-22,410.444
2002-03-25,407.928
2002-03-26,406.57
2002-03-27,407.058
2002-03-28,410.765
2002-03-29,410.697
2002-04-01,415.155
2002-04-02,418.07
2002-04-03,414.698
2002-04-04,412.069
2002-04-05,413.536
2002-04-08,409.938
2002-04-09,409.767
2002-04-10,411.396
2002-04-11,408.532
2002-04-12,408.496
2002-04-15,408.32
2002-04-16,409.797
2002-04-17,413.058
2002-04-18,409.86
2002-04-19,410.853
2002-04-22,410.476
2002-04-23,408.061
2002-04-24,407.928
2002-04-25,406.485
2002-04-26,403.538
2002-04-29,401.523
2002-04-30,401.224
2002-05-01,402.769
2002-05-02,406.692
2002-05-03,406.335
2002-05-06,406.355
2002-05-07,402.223
2002-05-08,405.605
2002-05-09,404.085
2002-05-10,403.23
2002-05-13,401.576
2002-05-14,399.631
2002-05-15,402.723
2002-05-16,403.295
2002-05-17,404.966
2002-05-20,405.063
2002-05-21,404.0
2002-05-22,400.794
2002-05-23,398.115
2002-05-24,399.469
2002-05-27,399.041
2002-05-28,397.779
2002-05-29,395.042
2002-05-30,392.997
2002-05-31,394.7
2002-06-03,394.414
2002-06-04,394.886
2002-06-05,387.01
2002-06-06,387.202
2002-06-07,383.404
2002-06-10,383.892
2002-06-11,386.15
2002-06-12,381.683
2002-06-13,377.079
2002-06-14,366.311
2002-06-17,371.766
2002-06-18,371.666
2002-06-19,366.947
2002-06-20,361.481
2002-06-21,362.416
2002-06-24,358.508
2002-06-25,360.338
2002-06-26,359.217
2002-06-27,360.665
2002-06-28,364.151
2002-07-01,367.929
2002-07-02,358.027
2002-07-03,345.002
2002-07-04,348.147
2002-07-05,355.714
2002-07-08,357.059
2002-07-09,354.541
2002-07-10,346.854
2002-07-11,334.664
2002-07-12,337.172
2002-07-15,326.242
2002-07-16,326.198
2002-07-17,333.136
2002-07-18,343.384
2002-07-19,335.768
2002-07-22,325.418
2002-07-23,320.623
2002-07-24,312.393
2002-07-25,321.823
2002-07-26,316.993
2002-07-29,325.981
2002-07-30,328.48
2002-07-31,329.411
2002-08-01,318.496
2002-08-02,318.251
2002-08-05,308.526
2002-08-06,306.613
2002-08-07,307.529
2002-08-08,311.608
2002-08-09,314.736
2002-08-12,311.759
2002-08-13,313.31
2002-08-14,312.584
2002-08-15,318.936
2002-08-16,320.61
2002-08-19,328.104
2002-08-20,327.499
2002-08-21,330.29
2002-08-22,335.476
2002-08-23,335.008
2002-08-26,335.77
2002-08-27,340.432
