Date,SWEDEN VALUE Standard (Large+Mid Cap)
2001-11-20,3624.765
2001-11-21,3608.752
2001-11-22,3663.304
2001-11-23,3655.673
2001-11-26,3680.924
2001-11-27,3686.931
2001-11-28,3659.855
2001-11-29,3663.831
2001-11-30,3667.367
2001-12-03,3648.36
2001-12-04,3707.384
2001-12-05,3846.242
2001-12-06,3858.689
2001-12-07,3875.353
2001-12-10,3801.086
2001-12-11,3780.343
2001-12-12,3775.407
2001-12-13,3767.947
2001-12-14,3704.936
2001-12-17,3777.745
2001-12-18,3809.474
2001-12-19,3759.559
2001-12-20,3703.802
2001-12-21,3716.899
2001-12-24,3667.778
2001-12-25,3667.778
2001-12-26,3655.308
2001-12-27,3787.508
2001-12-28,3841.952
2001-12-31,3873.175
2002-01-01,3873.175
2002-01-02,3901.122
2002-01-03,4054.873
2002-01-04,4065.13
2002-01-07,4038.372
2002-01-08,3943.808
2002-01-09,3989.713
2002-01-10,3987.123
2002-01-11,4004.851
2002-01-14,3877.451
2002-01-15,3850.109
2002-01-16,3729.926
2002-01-17,3770.311
2002-01-18,3809.393
2002-01-21,3792.451
2002-01-22,3799.341
2002-01-23,3823.278
2002-01-24,3801.738
2002-01-25,3737.31
2002-01-28,3733.346
2002-01-29,3708.897
2002-01-30,3660.069
2002-01-31,3757.322
2002-02-01,3796.654
2002-02-04,3809.814
2002-02-05,3799.13
2002-02-06,3781.255
2002-02-07,3773.908
2002-02-08,3809.219
2002-02-11,3880.43
2002-02-12,3871.554
2002-02-13,3866.153
2002-02-14,3885.614
2002-02-15,3863.058
2002-02-18,3806.027
2002-02-19,3784.665
2002-02-20,3750.256
2002-02-21,3819.479
2002-02-22,3819.61
2002-02-25,3862.712
2002-02-26,3901.278
2002-02-27,3981.123
2002-02-28,4005.875
2002-03-01,4004.939
2002-03-04,4186.778
2002-03-05,4193.937
2002-03-06,4154.505
2002-03-07,4201.227
2002-03-08,4212.388
2002-03-11,4209.359
2002-03-12,4184.383
2002-03-13,4204.399
2002-03-14,4219.325
2002-03-15,4214.727
2002-03-18,4211.056
2002-03-19,4203.367
2002-03-20,4240.465
2002-03-21,4245.006
2002-03-22,4259.566
2002-03-25,4193.664
2002-03-26,4177.464
2002-03-27,4149.209
2002-03-28,4185.54
2002-03-29,4185.54
2002-04-01,4226.857
2002-04-02,4229.224
2002-04-03,4179.832
2002-04-04,4157.891
2002-04-05,4187.659
2002-04-08,4125.232
2002-04-09,4130.05
2002-04-10,4149.642
2002-04-11,4139.287
2002-04-12,4153.295
2002-04-15,4166.398
2002-04-16,4263.734
2002-04-17,4312.004
2002-04-18,4293.099
2002-04-19,4302.767
2002-04-22,4207.153
2002-04-23,4220.528
2002-04-24,4131.699
2002-04-25,4057.0
2002-04-26,4200.136
2002-04-29,4177.933
2002-04-30,4200.266
2002-05-01,4224.936
2002-05-02,4218.545
2002-05-03,4204.612
2002-05-06,4199.168
2002-05-07,4192.541
2002-05-08,4272.044
2002-05-09,4264.695
2002-05-10,4283.884
2002-05-13,4279.499
2002-05-14,4312.434
2002-05-15,4326.184
2002-05-16,4316.118
2002-05-17,4360.378
2002-05-20,4372.814
2002-05-21,4325.563
2002-05-22,4322.992
2002-05-23,4342.473
2002-05-24,4360.183
2002-05-27,4348.908
2002-05-28,4369.764
2002-05-29,4341.377
2002-05-30,4314.741
2002-05-31,4283.189
2002-06-03,4306.301
2002-06-04,4259.194
2002-06-05,4233.586
2002-06-06,4245.507
2002-06-07,4175.769
2002-06-10,4189.796
2002-06-11,4185.279
2002-06-12,4153.043
2002-06-13,4171.941
2002-06-14,4067.395
2002-06-17,4151.755
2002-06-18,4196.516
2002-06-19,4140.864
2002-06-20,4014.459
2002-06-21,4039.274
2002-06-24,4021.553
2002-06-25,4150.282
2002-06-26,4187.548
2002-06-27,4242.275
2002-06-28,4358.891
2002-07-01,4345.509
2002-07-02,4292.056
2002-07-03,4118.688
2002-07-04,4145.496
2002-07-05,4207.552
2002-07-08,4266.647
2002-07-09,4251.363
2002-07-10,4124.71
2002-07-11,3951.012
2002-07-12,3961.413
2002-07-15,3943.586
2002-07-16,3927.334
2002-07-17,4053.133
2002-07-18,4058.794
2002-07-19,3977.441
2002-07-22,3702.797
2002-07-23,3547.625
2002-07-24,3401.333
2002-07-25,3635.466
2002-07-26,3459.118
2002-07-29,3756.263
2002-07-30,3847.921
2002-07-31,3864.032
2002-08-01,3759.654
2002-08-02,3626.849
2002-08-05,3508.814
2002-08-06,3563.774
2002-08-07,3620.522
2002-08-08,3674.585
2002-08-09,3668.539
2002-08-12,3706.205
2002-08-13,3701.309
2002-08-14,3715.239
2002-08-15,3787.265
2002-08-16,3749.809
2002-08-19,3812.055
2002-08-20,3807.995
2002-08-21,3915.937
2002-08-22,4027.304
2002-08-23,3933.912
2002-08-26,3950.606
2002-08-27,4029.634
2002-08-28,3991.053
2002-08-29,3892.712
2002-08-30,3867.183
2002-09-02,3856.886
2002-09-03,3731.288
2002-09-04,3698.482
2002-09-05,3678.779
2002-09-06,3737.616
2002-09-09,3706.879
2002-09-10,3762.118
2002-09-11,3879.786
2002-09-12,3779.483
2002-09-13,3744.585
2002-09-16,3788.826
2002-09-17,3753.445
2002-09-18,3636.666
2002-09-19,3597.271
2002-09-20,3576.902
2002-09-23,3452.792
2002-09-24,3400.511
2002-09-25,3421.373
2002-09-26,3544.41
2002-09-27,3519.68
2002-09-30,3359.185
2002-10-01,3394.942
2002-10-02,3427.454
2002-10-03,3347.603
2002-10-04,3291.709
2002-10-07,3105.392
2002-10-08,3055.305
2002-10-09,3064.207
2002-10-10,3175.149
2002-10-11,3407.585
2002-10-14,3365.428
2002-10-15,3602.377
2002-10-16,3533.753
2002-10-17,3468.492
2002-10-18,3496.984
2002-10-21,3550.088
2002-10-22,3475.733
2002-10-23,3382.943
2002-10-24,3475.313
2002-10-25,3448.498
2002-10-28,3527.181
2002-10-29,3410.799
2002-10-30,3519.588
2002-10-31,3607.442
2002-11-01,3539.298
2002-11-04,3658.26
2002-11-05,3770.653
2002-11-06,3731.306
2002-11-07,3694.636
2002-11-08,3674.241
2002-11-11,3656.617
2002-11-12,3715.514
2002-11-13,3744.998
2002-11-14,3801.237
2002-11-15,3806.073
2002-11-18,3873.33
2002-11-19,3805.717
2002-11-20,3821.012
2002-11-21,3982.488
2002-11-22,4052.844
2002-11-25,3998.186
2002-11-26,3955.624
2002-11-27,4101.419
2002-11-28,4179.324
2002-11-29,4152.89
2002-12-02,4099.469
2002-12-03,3962.381
2002-12-04,3928.392
2002-12-05,3929.65
2002-12-06,3967.54
2002-12-09,3916.3
2002-12-10,3902.836
2002-12-11,3893.736
2002-12-12,3798.571
2002-12-13,3838.423
2002-12-16,3845.879
2002-12-17,3767.883
2002-12-18,3639.918
2002-12-19,3639.183
2002-12-20,3683.053
2002-12-23,3657.286
2002-12-24,3675.755
2002-12-25,3675.755
2002-12-26,3682.911
2002-12-27,3568.062
2002-12-30,3566.388
2002-12-31,3585.666
2003-01-01,3585.666
2003-01-02,3757.75
2003-01-03,3836.783
2003-01-06,3858.232
2003-01-07,3930.397
2003-01-08,3805.614
2003-01-09,3854.261
2003-01-10,3938.125
2003-01-13,3983.322
2003-01-14,4120.925
2003-01-15,4080.513
2003-01-16,4062.108
2003-01-17,3955.307
2003-01-20,3992.987
2003-01-21,3908.867
2003-01-22,3850.064
2003-01-23,3857.712
2003-01-24,3864.004
2003-01-27,3708.532
2003-01-28,3648.696
2003-01-29,3619.309
2003-01-30,3675.55
2003-01-31,3628.95
2003-02-03,3604.901
2003-02-04,3461.597
2003-02-05,3559.924
2003-02-06,3586.383
2003-02-07,3552.457
2003-02-10,3448.85
2003-02-11,3541.343
