Date,SWEDEN VALUE Standard (Large+Mid Cap)
2001-01-01,5764.657
2001-01-02,5720.115
2001-01-03,5506.429
2001-01-04,5831.608
2001-01-05,5989.496
2001-01-08,6028.233
2001-01-09,5946.927
2001-01-10,5927.021
2001-01-11,6038.256
2001-01-12,6030.989
2001-01-15,6007.869
2001-01-16,5899.404
2001-01-17,5999.536
2001-01-18,6122.105
2001-01-19,6180.734
2001-01-22,6100.198
2001-01-23,6043.147
2001-01-24,6050.036
2001-01-25,6115.41
2001-01-26,6095.024
2001-01-29,6163.609
2001-01-30,6249.108
2001-01-31,6335.475
2001-02-01,6329.462
2001-02-02,6197.773
2001-02-05,6115.262
2001-02-06,6183.704
2001-02-07,6158.211
2001-02-08,6065.843
2001-02-09,5987.256
2001-02-12,5968.369
2001-02-13,5930.004
2001-02-14,5745.666
2001-02-15,5838.338
2001-02-16,5833.077
2001-02-19,5902.594
2001-02-20,5824.022
2001-02-21,5768.029
2001-02-22,5641.222
2001-02-23,5547.511
2001-02-26,5661.801
2001-02-27,5784.689
2001-02-28,5792.529
2001-03-01,5752.927
2001-03-02,5797.57
2001-03-05,5784.738
2001-03-06,5894.998
2001-03-07,5919.166
2001-03-08,5911.54
2001-03-09,5885.488
2001-03-12,5708.138
2001-03-13,5622.61
2001-03-14,5436.02
2001-03-15,5509.313
2001-03-16,5289.602
2001-03-19,5189.323
2001-03-20,5191.567
2001-03-21,4998.754
2001-03-22,4683.017
2001-03-23,4899.027
2001-03-26,5168.686
2001-03-27,5185.657
2001-03-28,4998.752
2001-03-29,4862.849
2001-03-30,4940.549
2001-04-02,4828.153
2001-04-03,4798.909
2001-04-04,4910.09
2001-04-05,5059.396
2001-04-06,5076.984
2001-04-09,5259.449
2001-04-10,5276.178
2001-04-11,5181.121
2001-04-12,5161.715
2001-04-13,5161.715
2001-04-16,5107.61
2001-04-17,5142.162
2001-04-18,5273.567
2001-04-19,5531.233
2001-04-20,5480.295
2001-04-23,5373.8
2001-04-24,5358.768
2001-04-25,5434.472
2001-04-26,5469.075
2001-04-27,5522.66
2001-04-30,5588.394
2001-05-01,5611.778
2001-05-02,5529.954
2001-05-03,5465.281
2001-05-04,5543.372
2001-05-07,5596.302
2001-05-08,5471.608
2001-05-09,5463.76
2001-05-10,5578.9
2001-05-11,5500.734
2001-05-14,5443.62
2001-05-15,5445.226
2001-05-16,5477.325
2001-05-17,5571.492
2001-05-18,5618.93
2001-05-21,5669.672
2001-05-22,5585.954
2001-05-23,5456.346
2001-05-24,5438.762
2001-05-25,5410.134
2001-05-28,5387.968
2001-05-29,5322.106
2001-05-30,5269.735
2001-05-31,5219.626
2001-06-01,5161.403
2001-06-04,5134.538
2001-06-05,5229.807
2001-06-06,5227.201
2001-06-07,5172.902
2001-06-08,5136.407
2001-06-11,5011.545
2001-06-12,5064.977
2001-06-13,5205.171
