Date,SWEDEN VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,111.835
1975-02-28,123.155
1975-03-31,120.6
1975-04-30,124.719
1975-05-30,118.458
1975-06-30,121.818
1975-07-31,116.524
1975-08-29,112.643
1975-09-30,114.919
1975-10-31,123.88
1975-11-28,121.554
1975-12-31,126.421
1976-01-30,133.831
1976-02-27,134.812
1976-03-31,136.857
1976-04-30,152.16
1976-05-31,139.502
1976-06-30,140.992
1976-07-30,143.763
1976-08-31,134.505
1976-09-30,129.241
1976-10-29,120.809
1976-11-30,122.44
1976-12-31,131.159
1977-01-31,119.349
1977-02-28,135.906
1977-03-31,137.936
1977-04-29,131.365
1977-05-31,128.075
1977-06-30,111.982
1977-07-29,109.177
1977-08-31,91.823
1977-09-30,100.793
1977-10-31,95.801
1977-11-30,91.408
1977-12-30,103.527
1978-01-31,113.207
1978-02-28,110.827
1978-03-31,120.295
1978-04-28,126.472
1978-05-31,116.037
1978-06-30,117.114
1978-07-31,129.554
1978-08-31,132.64
1978-09-29,128.602
1978-10-31,128.579
1978-11-30,121.087
1978-12-29,124.198
1979-01-31,136.078
1979-02-28,130.075
1979-03-30,131.825
1979-04-30,125.848
1979-05-31,124.965
1979-06-29,124.01
1979-07-31,132.605
1979-08-31,130.96
1979-09-28,135.269
1979-10-31,131.392
1979-11-30,132.729
1979-12-31,136.215
1980-01-31,152.727
1980-02-29,154.627
1980-03-31,145.755
1980-04-30,153.182
1980-05-30,151.757
1980-06-30,151.436
1980-07-31,152.645
1980-08-29,145.968
1980-09-30,147.081
1980-10-31,161.103
1980-11-28,172.041
1980-12-31,175.054
1981-01-30,171.219
1981-02-27,202.925
1981-03-31,215.722
1981-04-30,201.697
1981-05-29,206.736
1981-06-30,235.674
1981-07-31,254.901
1981-08-31,244.595
1981-09-30,208.769
1981-10-30,231.425
1981-11-30,255.051
1981-12-31,244.223
1982-01-29,244.189
1982-02-26,243.955
1982-03-31,236.624
1982-04-30,235.283
1982-05-31,239.46
1982-06-30,228.507
1982-07-30,247.576
1982-08-31,241.289
1982-09-30,280.165
1982-10-29,264.652
1982-11-30,293.44
1982-12-31,313.546
1983-01-31,372.73
1983-02-28,480.454
1983-03-31,472.011
1983-04-29,535.908
1983-05-31,523.685
1983-06-30,492.792
1983-07-29,529.927
1983-08-31,543.194
1983-09-30,530.699
1983-10-31,507.198
1983-11-30,546.281
1983-12-30,521.847
1984-01-31,588.131
1984-02-29,604.859
1984-03-30,640.414
1984-04-30,592.362
1984-05-31,534.921
1984-06-29,551.427
1984-07-31,556.49
1984-08-31,553.459
1984-09-28,506.347
1984-10-31,491.31
1984-11-30,456.315
