Date,GERMANY SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.802
2001-01-03,99.184
2001-01-04,101.321
2001-01-05,101.779
2001-01-08,99.565
2001-01-09,98.112
2001-01-10,97.524
2001-01-11,100.803
2001-01-12,103.169
2001-01-15,104.085
2001-01-16,103.802
2001-01-17,106.341
2001-01-18,108.917
2001-01-19,107.862
2001-01-22,108.628
2001-01-23,108.916
2001-01-24,108.298
2001-01-25,107.646
2001-01-26,107.738
2001-01-29,108.9
2001-01-30,109.897
2001-01-31,110.535
2001-02-01,111.005
2001-02-02,109.616
2001-02-05,109.942
2001-02-06,109.743
2001-02-07,107.867
2001-02-08,105.907
2001-02-09,105.532
2001-02-12,105.765
2001-02-13,104.408
2001-02-14,102.716
2001-02-15,102.44
2001-02-16,102.041
2001-02-19,101.311
2001-02-20,99.708
2001-02-21,98.735
2001-02-22,97.222
2001-02-23,96.82
2001-02-26,98.898
2001-02-27,100.168
2001-02-28,99.844
2001-03-01,98.552
2001-03-02,100.187
2001-03-05,100.933
2001-03-06,103.196
2001-03-07,102.529
2001-03-08,103.274
2001-03-09,102.418
2001-03-12,100.393
2001-03-13,97.973
2001-03-14,94.07
2001-03-15,94.079
2001-03-16,92.177
2001-03-19,90.998
2001-03-20,92.639
2001-03-21,89.914
2001-03-22,84.326
2001-03-23,86.351
2001-03-26,88.542
2001-03-27,89.854
2001-03-28,88.214
2001-03-29,87.19
2001-03-30,87.801
2001-04-02,86.022
2001-04-03,83.037
2001-04-04,83.363
2001-04-05,84.989
2001-04-06,85.169
2001-04-09,85.132
2001-04-10,84.932
2001-04-11,84.652
2001-04-12,85.913
2001-04-13,85.913
2001-04-16,85.033
2001-04-17,84.103
2001-04-18,86.043
2001-04-19,87.91
2001-04-20,89.058
2001-04-23,88.253
2001-04-24,89.555
2001-04-25,90.236
2001-04-26,91.994
2001-04-27,90.811
2001-04-30,91.519
2001-05-01,92.005
2001-05-02,92.935
2001-05-03,92.999
2001-05-04,93.451
2001-05-07,93.87
2001-05-08,92.926
2001-05-09,92.13
2001-05-10,92.457
2001-05-11,91.831
2001-05-14,90.768
2001-05-15,91.617
2001-05-16,92.403
2001-05-17,93.322
2001-05-18,92.871
2001-05-21,93.676
2001-05-22,93.621
2001-05-23,92.118
2001-05-24,91.459
2001-05-25,91.626
2001-05-28,91.573
2001-05-29,90.29
2001-05-30,89.66
2001-05-31,88.803
2001-06-01,88.608
2001-06-04,89.234
2001-06-05,90.193
2001-06-06,89.896
2001-06-07,89.692
2001-06-08,89.608
2001-06-11,88.105
2001-06-12,87.203
2001-06-13,87.726
2001-06-14,87.962
2001-06-15,88.082
2001-06-18,87.025
2001-06-19,86.405
2001-06-20,84.651
2001-06-21,85.524
2001-06-22,85.452
2001-06-25,84.566
2001-06-26,82.666
2001-06-27,82.613
2001-06-28,81.475
2001-06-29,81.779
2001-07-02,81.247
2001-07-03,81.153
2001-07-04,80.589
2001-07-05,78.656
2001-07-06,77.796
2001-07-09,76.768
2001-07-10,77.04
2001-07-11,75.955
2001-07-12,75.636
2001-07-13,75.991
2001-07-16,76.051
2001-07-17,75.238
2001-07-18,75.86
2001-07-19,76.311
2001-07-20,75.62
2001-07-23,75.371
2001-07-24,75.843
2001-07-25,75.483
2001-07-26,75.465
2001-07-27,76.106
2001-07-30,76.752
2001-07-31,77.248
2001-08-01,78.164
2001-08-02,78.738
2001-08-03,78.239
2001-08-06,76.603
2001-08-07,76.303
2001-08-08,75.419
2001-08-09,75.847
2001-08-10,75.907
2001-08-13,76.393
2001-08-14,76.511
2001-08-15,77.095
2001-08-16,75.964
2001-08-17,75.67
2001-08-20,74.962
2001-08-21,75.061
2001-08-22,75.811
2001-08-23,75.041
2001-08-24,75.376
2001-08-27,75.844
2001-08-28,74.961
2001-08-29,74.996
2001-08-30,73.71
2001-08-31,73.636
2001-09-03,72.154
2001-09-04,71.071
2001-09-05,70.192
2001-09-06,69.179
2001-09-07,69.671
2001-09-10,67.783
2001-09-11,66.535
2001-09-12,67.261
2001-09-13,67.829
2001-09-14,66.703
2001-09-17,66.594
2001-09-18,66.018
2001-09-19,66.093
2001-09-20,62.747
2001-09-21,60.117
2001-09-24,62.437
2001-09-25,63.701
2001-09-26,64.662
2001-09-27,64.62
2001-09-28,65.217
2001-10-01,65.791
2001-10-02,66.348
2001-10-03,67.428
2001-10-04,69.295
2001-10-05,69.189
2001-10-08,68.749
2001-10-09,68.825
2001-10-10,68.573
2001-10-11,69.968
2001-10-12,69.997
2001-10-15,71.092
2001-10-16,73.109
2001-10-17,73.237
2001-10-18,73.549
2001-10-19,72.539
2001-10-22,73.041
2001-10-23,73.778
2001-10-24,73.79
2001-10-25,74.233
2001-10-26,74.846
2001-10-29,74.671
2001-10-30,72.555
2001-10-31,72.797
2001-11-01,73.84
2001-11-02,73.652
2001-11-05,74.035
2001-11-06,73.762
2001-11-07,74.757
2001-11-08,74.839
2001-11-09,74.868
2001-11-12,74.162
2001-11-13,74.788
2001-11-14,75.258
2001-11-15,75.731
2001-11-16,76.594
2001-11-19,78.363
2001-11-20,78.498
2001-11-21,77.907
2001-11-22,78.265
2001-11-23,78.181
2001-11-26,78.955
2001-11-27,79.039
2001-11-28,77.599
2001-11-29,77.956
2001-11-30,79.102
2001-12-03,77.781
2001-12-04,78.398
2001-12-05,80.173
2001-12-06,80.346
2001-12-07,80.474
2001-12-10,80.111
2001-12-11,80.292
2001-12-12,79.634
2001-12-13,78.403
2001-12-14,77.65
2001-12-17,78.609
2001-12-18,78.207
2001-12-19,76.59
2001-12-20,76.899
2001-12-21,76.153
2001-12-24,75.393
2001-12-25,75.393
2001-12-26,75.457
2001-12-27,76.503
2001-12-28,77.086
2001-12-31,77.837
2002-01-01,77.837
2002-01-02,79.731
2002-01-03,81.712
2002-01-04,82.259
2002-01-07,81.912
2002-01-08,82.064
2002-01-09,82.188
2002-01-10,81.657
2002-01-11,81.174
2002-01-14,79.667
2002-01-15,78.98
2002-01-16,76.534
2002-01-17,77.595
2002-01-18,77.522
2002-01-21,77.536
2002-01-22,77.13
2002-01-23,77.838
2002-01-24,77.542
2002-01-25,76.474
2002-01-28,76.277
2002-01-29,75.618
2002-01-30,74.969
2002-01-31,75.834
2002-02-01,75.824
2002-02-04,75.344
2002-02-05,74.183
2002-02-06,73.654
2002-02-07,73.72
2002-02-08,74.741
2002-02-11,76.027
2002-02-12,75.294
2002-02-13,74.369
2002-02-14,74.368
2002-02-15,74.037
2002-02-18,73.17
2002-02-19,72.431
2002-02-20,72.099
2002-02-21,72.78
2002-02-22,72.726
2002-02-25,73.496
2002-02-26,73.8
2002-02-27,74.152
2002-02-28,73.717
2002-03-01,74.565
2002-03-04,75.276
2002-03-05,74.624
2002-03-06,75.946
2002-03-07,76.8
2002-03-08,76.708
2002-03-11,76.43
2002-03-12,75.407
2002-03-13,75.213
2002-03-14,76.092
2002-03-15,76.649
2002-03-18,77.188
2002-03-19,77.536
2002-03-20,77.366
2002-03-21,76.714
2002-03-22,77.049
2002-03-25,76.483
2002-03-26,76.029
2002-03-27,75.915
2002-03-28,76.254
2002-03-29,76.254
2002-04-01,76.879
2002-04-02,76.723
2002-04-03,75.849
2002-04-04,75.908
2002-04-05,76.475
2002-04-08,75.198
2002-04-09,75.185
2002-04-10,75.553
2002-04-11,75.735
2002-04-12,75.885
2002-04-15,77.138
2002-04-16,78.85
2002-04-17,79.546
2002-04-18,79.364
2002-04-19,78.659
2002-04-22,77.958
2002-04-23,78.153
2002-04-24,78.715
2002-04-25,78.978
2002-04-26,79.546
2002-04-29,79.13
2002-04-30,79.374
2002-05-01,79.823
2002-05-02,79.705
2002-05-03,79.515
2002-05-06,79.411
2002-05-07,77.657
2002-05-08,78.879
2002-05-09,79.06
2002-05-10,78.709
2002-05-13,78.433
2002-05-14,78.505
2002-05-15,79.382
2002-05-16,79.224
2002-05-17,79.738
2002-05-20,79.5
2002-05-21,78.771
2002-05-22,78.63
2002-05-23,77.661
2002-05-24,77.874
2002-05-27,77.836
2002-05-28,78.543
2002-05-29,78.609
2002-05-30,78.301
2002-05-31,78.59
2002-06-03,78.429
2002-06-04,77.885
2002-06-05,77.518
2002-06-06,78.0
2002-06-07,76.811
2002-06-10,76.678
2002-06-11,75.527
2002-06-12,73.975
2002-06-13,74.104
2002-06-14,72.309
2002-06-17,73.328
2002-06-18,73.358
2002-06-19,72.784
2002-06-20,72.686
2002-06-21,73.964
2002-06-24,73.478
2002-06-25,72.369
2002-06-26,72.483
2002-06-27,73.346
2002-06-28,74.81
2002-07-01,74.425
2002-07-02,72.78
2002-07-03,70.238
2002-07-04,71.272
2002-07-05,73.131
2002-07-08,73.478
2002-07-09,73.417
2002-07-10,71.736
2002-07-11,69.986
2002-07-12,70.457
2002-07-15,69.819
2002-07-16,69.405
2002-07-17,70.089
2002-07-18,70.814
2002-07-19,69.718
2002-07-22,67.445
2002-07-23,64.52
2002-07-24,64.6
2002-07-25,65.319
2002-07-26,64.347
2002-07-29,65.138
2002-07-30,65.564
2002-07-31,64.005
2002-08-01,63.64
2002-08-02,62.882
2002-08-05,59.866
2002-08-06,58.661
2002-08-07,59.078
2002-08-08,59.794
2002-08-09,60.743
2002-08-12,60.776
2002-08-13,60.387
2002-08-14,60.591
2002-08-15,61.511
2002-08-16,62.257
2002-08-19,63.051
2002-08-20,62.827
2002-08-21,63.823
2002-08-22,63.905
2002-08-23,63.357
2002-08-26,63.464
2002-08-27,64.39
2002-08-28,63.375
2002-08-29,62.908
2002-08-30,62.21
2002-09-02,62.414
2002-09-03,61.393
2002-09-04,60.779
2002-09-05,59.63
2002-09-06,59.582
2002-09-09,58.638
2002-09-10,58.397
2002-09-11,58.482
2002-09-12,57.811
2002-09-13,56.716
2002-09-16,55.361
2002-09-17,55.098
2002-09-18,53.499
2002-09-19,53.452
2002-09-20,53.884
2002-09-23,52.72
2002-09-24,51.214
2002-09-25,51.69
2002-09-26,52.227
2002-09-27,52.298
2002-09-30,51.185
2002-10-01,50.554
2002-10-02,50.87
2002-10-03,50.328
2002-10-04,49.25
2002-10-07,48.483
2002-10-08,47.475
2002-10-09,46.974
2002-10-10,47.913
2002-10-11,50.045
2002-10-14,50.705
2002-10-15,53.73
2002-10-16,53.436
2002-10-17,54.564
2002-10-18,55.083
2002-10-21,55.845
2002-10-22,55.779
2002-10-23,54.524
2002-10-24,54.692
2002-10-25,54.555
2002-10-28,55.817
2002-10-29,55.466
2002-10-30,56.05
2002-10-31,57.006
2002-11-01,58.17
2002-11-04,59.197
2002-11-05,59.207
2002-11-06,59.111
2002-11-07,58.842
2002-11-08,58.223
2002-11-11,56.95
2002-11-12,57.48
2002-11-13,57.529
2002-11-14,57.458
2002-11-15,57.477
2002-11-18,57.843
2002-11-19,58.033
2002-11-20,57.287
2002-11-21,57.922
2002-11-22,58.076
2002-11-25,57.582
2002-11-26,57.297
2002-11-27,57.532
2002-11-28,57.829
2002-11-29,57.433
2002-12-02,57.049
2002-12-03,56.378
2002-12-04,56.155
2002-12-05,55.639
2002-12-06,55.64
2002-12-09,54.95
2002-12-10,55.375
2002-12-11,55.42
2002-12-12,55.081
2002-12-13,54.456
2002-12-16,54.228
2002-12-17,54.295
2002-12-18,53.581
2002-12-19,52.271
2002-12-20,52.98
2002-12-23,52.337
2002-12-24,52.554
2002-12-25,52.554
2002-12-26,52.686
2002-12-27,52.21
2002-12-30,52.761
2002-12-31,52.968
2003-01-01,52.968
2003-01-02,54.83
2003-01-03,56.016
2003-01-06,56.715
2003-01-07,55.735
2003-01-08,54.474
2003-01-09,54.898
2003-01-10,55.851
2003-01-13,56.417
2003-01-14,56.912
2003-01-15,56.528
2003-01-16,56.837
2003-01-17,56.583
2003-01-20,56.346
2003-01-21,56.36
2003-01-22,55.527
2003-01-23,55.818
2003-01-24,55.958
2003-01-27,54.994
2003-01-28,54.828
2003-01-29,55.065
2003-01-30,54.715
2003-01-31,55.079
2003-02-03,55.452
2003-02-04,55.321
2003-02-05,55.385
2003-02-06,54.905
2003-02-07,54.158
2003-02-10,53.866
2003-02-11,54.071
2003-02-12,53.344
2003-02-13,53.549
2003-02-14,53.968
2003-02-17,54.385
2003-02-18,54.219
2003-02-19,53.964
2003-02-20,54.127
2003-02-21,53.937
2003-02-24,53.32
2003-02-25,52.67
2003-02-26,52.301
2003-02-27,52.339
2003-02-28,52.809
2003-03-03,53.403
2003-03-04,53.404
2003-03-05,53.615
2003-03-06,53.201
2003-03-07,53.17
2003-03-10,51.812
2003-03-11,51.442
2003-03-12,50.538
2003-03-13,51.197
2003-03-14,51.092
2003-03-17,52.048
2003-03-18,52.529
2003-03-19,52.75
2003-03-20,53.02
2003-03-21,53.314
2003-03-24,52.658
2003-03-25,53.298
2003-03-26,53.62
2003-03-27,53.744
2003-03-28,53.703
2003-03-31,53.567
2003-04-01,54.377
2003-04-02,55.115
2003-04-03,54.538
2003-04-04,55.033
2003-04-07,56.881
2003-04-08,56.984
2003-04-09,57.614
2003-04-10,58.352
2003-04-11,58.46
2003-04-14,58.378
2003-04-15,58.97
2003-04-16,59.674
2003-04-17,60.028
2003-04-18,60.028
2003-04-21,59.769
2003-04-22,60.95
2003-04-23,62.419
2003-04-24,63.289
2003-04-25,63.734
2003-04-28,64.19
2003-04-29,64.282
2003-04-30,65.116
2003-05-01,65.715
2003-05-02,66.283
2003-05-05,67.435
2003-05-06,68.139
2003-05-07,67.55
2003-05-08,66.801
2003-05-09,67.794
2003-05-12,68.292
2003-05-13,67.981
2003-05-14,68.182
2003-05-15,68.225
2003-05-16,69.157
2003-05-19,68.475
2003-05-20,67.938
2003-05-21,66.97
2003-05-22,67.72
2003-05-23,68.338
2003-05-26,69.095
