Date,GERMANY SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.802
2001-01-03,99.202
2001-01-04,101.339
2001-01-05,101.797
2001-01-08,99.582
2001-01-09,98.129
2001-01-10,97.541
2001-01-11,100.821
2001-01-12,103.187
2001-01-15,104.104
2001-01-16,103.82
2001-01-17,106.36
2001-01-18,108.936
2001-01-19,107.881
2001-01-22,108.647
2001-01-23,108.935
2001-01-24,108.317
2001-01-25,107.665
2001-01-26,107.756
2001-01-29,108.919
2001-01-30,109.916
2001-01-31,110.554
2001-02-01,111.024
2001-02-02,109.635
2001-02-05,109.961
2001-02-06,109.762
2001-02-07,107.886
2001-02-08,105.925
2001-02-09,105.55
2001-02-12,105.783
2001-02-13,104.426
2001-02-14,102.734
2001-02-15,102.458
2001-02-16,102.091
2001-02-19,101.36
2001-02-20,99.756
2001-02-21,98.783
2001-02-22,97.269
2001-02-23,96.867
2001-02-26,98.945
2001-02-27,100.216
2001-02-28,99.892
2001-03-01,98.599
2001-03-02,100.236
2001-03-05,100.982
2001-03-06,103.246
2001-03-07,102.579
2001-03-08,103.324
2001-03-09,102.467
2001-03-12,100.441
2001-03-13,98.02
2001-03-14,94.115
2001-03-15,94.125
2001-03-16,92.221
2001-03-19,91.042
2001-03-20,92.684
2001-03-21,89.975
2001-03-22,84.382
2001-03-23,86.409
2001-03-26,88.602
2001-03-27,89.915
2001-03-28,88.273
2001-03-29,87.248
2001-03-30,87.86
2001-04-02,86.08
2001-04-03,83.093
2001-04-04,83.45
2001-04-05,85.077
2001-04-06,85.258
2001-04-09,85.221
2001-04-10,85.02
2001-04-11,84.74
2001-04-12,86.002
2001-04-13,86.002
2001-04-16,85.122
2001-04-17,84.191
2001-04-18,86.133
2001-04-19,88.001
2001-04-20,89.15
2001-04-23,88.345
2001-04-24,89.648
2001-04-25,90.33
2001-04-26,92.09
2001-04-27,90.905
2001-04-30,91.615
2001-05-01,92.101
2001-05-02,93.031
2001-05-03,93.096
2001-05-04,93.549
2001-05-07,93.968
2001-05-08,93.023
2001-05-09,92.23
2001-05-10,92.557
2001-05-11,91.93
2001-05-14,90.867
2001-05-15,91.717
2001-05-16,92.503
2001-05-17,93.423
2001-05-18,92.98
2001-05-21,93.786
2001-05-22,93.731
2001-05-23,92.226
2001-05-24,91.616
2001-05-25,91.783
2001-05-28,91.729
2001-05-29,90.445
2001-05-30,89.813
2001-05-31,88.964
2001-06-01,88.783
2001-06-04,89.423
2001-06-05,90.384
2001-06-06,90.086
2001-06-07,89.882
2001-06-08,89.797
2001-06-11,88.314
2001-06-12,87.409
2001-06-13,87.939
2001-06-14,88.176
2001-06-15,88.297
2001-06-18,87.237
2001-06-19,86.615
2001-06-20,84.911
2001-06-21,85.839
2001-06-22,85.802
2001-06-25,84.915
2001-06-26,83.008
2001-06-27,82.966
2001-06-28,81.838
2001-06-29,82.222
2001-07-02,81.686
2001-07-03,81.592
2001-07-04,81.033
2001-07-05,79.089
2001-07-06,78.224
2001-07-09,77.217
2001-07-10,77.49
2001-07-11,76.398
2001-07-12,76.101
2001-07-13,76.459
2001-07-16,76.519
2001-07-17,75.701
2001-07-18,76.326
2001-07-19,76.781
2001-07-20,76.085
2001-07-23,75.835
2001-07-24,76.309
2001-07-25,75.947
2001-07-26,75.929
2001-07-27,76.574
2001-07-30,77.224
2001-07-31,77.723
2001-08-01,78.644
2001-08-02,79.222
2001-08-03,78.72
2001-08-06,77.074
2001-08-07,76.772
2001-08-08,75.883
2001-08-09,76.313
2001-08-10,76.386
2001-08-13,76.879
2001-08-14,76.997
2001-08-15,77.584
2001-08-16,76.446
2001-08-17,76.151
2001-08-20,75.438
2001-08-21,75.537
2001-08-22,76.293
2001-08-23,75.518
2001-08-24,75.855
2001-08-27,76.326
2001-08-28,75.45
2001-08-29,75.485
2001-08-30,74.191
2001-08-31,74.116
2001-09-03,72.624
2001-09-04,71.535
2001-09-05,70.649
2001-09-06,69.63
2001-09-07,70.125
2001-09-10,68.225
2001-09-11,66.969
2001-09-12,67.7
2001-09-13,68.271
2001-09-14,67.138
2001-09-17,67.029
2001-09-18,66.449
2001-09-19,66.524
2001-09-20,63.172
2001-09-21,60.524
2001-09-24,62.859
2001-09-25,64.132
2001-09-26,65.099
2001-09-27,65.057
2001-09-28,65.657
2001-10-01,66.236
2001-10-02,66.797
2001-10-03,67.884
2001-10-04,69.764
2001-10-05,69.657
2001-10-08,69.213
2001-10-09,69.29
2001-10-10,69.037
2001-10-11,70.441
2001-10-12,70.47
2001-10-15,71.573
2001-10-16,73.604
2001-10-17,73.732
2001-10-18,74.046
2001-10-19,73.029
2001-10-22,73.535
2001-10-23,74.276
2001-10-24,74.289
2001-10-25,74.734
2001-10-26,75.352
2001-10-29,75.176
2001-10-30,73.045
2001-10-31,73.289
2001-11-01,74.34
2001-11-02,74.15
2001-11-05,74.536
2001-11-06,74.26
2001-11-07,75.262
2001-11-08,75.345
2001-11-09,75.374
2001-11-12,74.664
2001-11-13,75.294
2001-11-14,75.766
2001-11-15,76.243
2001-11-16,77.112
2001-11-19,78.892
2001-11-20,79.028
2001-11-21,78.433
2001-11-22,78.795
2001-11-23,78.709
2001-11-26,79.489
2001-11-27,79.573
2001-11-28,78.124
2001-11-29,78.483
2001-11-30,79.637
2001-12-03,78.306
2001-12-04,78.928
2001-12-05,80.715
2001-12-06,80.889
2001-12-07,81.019
2001-12-10,80.652
2001-12-11,80.835
2001-12-12,80.172
2001-12-13,78.933
2001-12-14,78.175
2001-12-17,79.141
2001-12-18,78.736
2001-12-19,77.108
2001-12-20,77.419
2001-12-21,76.668
2001-12-24,75.903
2001-12-25,75.903
2001-12-26,75.968
2001-12-27,77.02
2001-12-28,77.607
2001-12-31,78.364
2002-01-01,78.364
2002-01-02,80.27
2002-01-03,82.265
2002-01-04,82.815
2002-01-07,82.466
2002-01-08,82.618
2002-01-09,82.744
2002-01-10,82.209
2002-01-11,81.723
2002-01-14,80.206
2002-01-15,79.514
2002-01-16,77.052
2002-01-17,78.119
2002-01-18,78.046
2002-01-21,78.061
2002-01-22,77.651
2002-01-23,78.364
2002-01-24,78.067
2002-01-25,76.991
2002-01-28,76.793
2002-01-29,76.129
2002-01-30,75.476
2002-01-31,76.347
2002-02-01,76.336
2002-02-04,75.853
2002-02-05,74.684
2002-02-06,74.152
2002-02-07,74.218
2002-02-08,75.246
2002-02-11,76.541
2002-02-12,75.803
2002-02-13,74.872
2002-02-14,74.871
2002-02-15,74.537
2002-02-18,73.664
2002-02-19,72.92
2002-02-20,72.586
2002-02-21,73.272
2002-02-22,73.218
2002-02-25,73.993
2002-02-26,74.299
2002-02-27,74.653
2002-02-28,74.215
2002-03-01,75.069
2002-03-04,75.785
2002-03-05,75.128
2002-03-06,76.459
2002-03-07,77.32
2002-03-08,77.227
2002-03-11,76.947
2002-03-12,75.917
2002-03-13,75.722
2002-03-14,76.606
2002-03-15,77.167
2002-03-18,77.71
2002-03-19,78.06
2002-03-20,77.889
2002-03-21,77.233
2002-03-22,77.57
2002-03-25,77.0
2002-03-26,76.543
2002-03-27,76.428
2002-03-28,76.77
2002-03-29,76.77
2002-04-01,77.399
2002-04-02,77.242
2002-04-03,76.362
2002-04-04,76.422
2002-04-05,77.024
2002-04-08,75.738
2002-04-09,75.724
2002-04-10,76.095
2002-04-11,76.278
2002-04-12,76.429
2002-04-15,77.691
2002-04-16,79.42
2002-04-17,80.122
2002-04-18,79.938
2002-04-19,79.228
2002-04-22,78.522
2002-04-23,78.718
2002-04-24,79.292
2002-04-25,79.557
2002-04-26,80.13
2002-04-29,79.71
2002-04-30,79.957
2002-05-01,80.409
2002-05-02,80.29
2002-05-03,80.099
2002-05-06,79.994
2002-05-07,78.227
2002-05-08,79.462
2002-05-09,79.645
2002-05-10,79.291
2002-05-13,79.013
2002-05-14,79.085
2002-05-15,79.975
2002-05-16,79.831
2002-05-17,80.35
2002-05-20,80.109
2002-05-21,79.375
2002-05-22,79.233
2002-05-23,78.26
2002-05-24,78.475
2002-05-27,78.436
2002-05-28,79.149
2002-05-29,79.225
2002-05-30,78.914
2002-05-31,79.206
2002-06-03,79.053
2002-06-04,78.504
2002-06-05,78.134
2002-06-06,78.629
2002-06-07,77.447
2002-06-10,77.313
2002-06-11,76.162
2002-06-12,74.603
2002-06-13,74.733
2002-06-14,72.922
2002-06-17,73.95
2002-06-18,73.98
2002-06-19,73.402
2002-06-20,73.32
2002-06-21,74.609
2002-06-24,74.118
2002-06-25,73.0
2002-06-26,73.115
2002-06-27,74.011
2002-06-28,75.491
2002-07-01,75.103
2002-07-02,73.442
2002-07-03,70.877
2002-07-04,71.921
2002-07-05,73.805
2002-07-08,74.178
2002-07-09,74.117
2002-07-10,72.419
2002-07-11,70.653
2002-07-12,71.129
2002-07-15,70.485
2002-07-16,70.066
2002-07-17,70.757
2002-07-18,71.495
2002-07-19,70.388
2002-07-22,68.094
2002-07-23,65.142
2002-07-24,65.223
2002-07-25,65.949
2002-07-26,64.967
2002-07-29,65.766
2002-07-30,66.197
2002-07-31,64.622
2002-08-01,64.253
2002-08-02,63.489
2002-08-05,60.443
2002-08-06,59.227
2002-08-07,59.648
2002-08-08,60.371
2002-08-09,61.329
2002-08-12,61.363
2002-08-13,60.969
2002-08-14,61.176
2002-08-15,62.105
2002-08-16,62.858
2002-08-19,63.659
2002-08-20,63.433
2002-08-21,64.439
2002-08-22,64.521
2002-08-23,63.968
2002-08-26,64.076
2002-08-27,65.011
2002-08-28,63.987
2002-08-29,63.515
2002-08-30,62.811
2002-09-02,63.065
2002-09-03,62.034
2002-09-04,61.413
2002-09-05,60.252
2002-09-06,60.204
2002-09-09,59.25
2002-09-10,59.006
2002-09-11,59.092
2002-09-12,58.414
2002-09-13,57.308
2002-09-16,55.938
2002-09-17,55.673
2002-09-18,54.058
2002-09-19,54.017
2002-09-20,54.453
2002-09-23,53.276
2002-09-24,51.755
2002-09-25,52.236
2002-09-26,52.778
2002-09-27,52.85
2002-09-30,51.725
2002-10-01,51.088
2002-10-02,51.407
2002-10-03,50.859
2002-10-04,49.77
2002-10-07,48.995
2002-10-08,47.976
2002-10-09,47.469
2002-10-10,48.419
2002-10-11,50.573
2002-10-14,51.24
2002-10-15,54.297
2002-10-16,54.001
2002-10-17,55.14
2002-10-18,55.664
2002-10-21,56.435
2002-10-22,56.368
2002-10-23,55.1
2002-10-24,55.27
2002-10-25,55.131
2002-10-28,56.406
2002-10-29,56.052
2002-10-30,56.641
2002-10-31,57.607
2002-11-01,58.784
2002-11-04,59.822
2002-11-05,59.832
2002-11-06,59.735
2002-11-07,59.463
2002-11-08,58.837
2002-11-11,57.551
2002-11-12,58.087
2002-11-13,58.137
2002-11-14,58.064
2002-11-15,58.084
2002-11-18,58.454
2002-11-19,58.646
2002-11-20,57.892
2002-11-21,58.534
2002-11-22,58.689
2002-11-25,58.19
2002-11-26,57.902
2002-11-27,58.139
2002-11-28,58.44
2002-11-29,58.039
2002-12-02,57.652
2002-12-03,56.973
2002-12-04,56.748
2002-12-05,56.226
2002-12-06,56.228
2002-12-09,55.53
2002-12-10,55.96
2002-12-11,56.005
2002-12-12,55.662
2002-12-13,55.031
2002-12-16,54.801
2002-12-17,54.868
2002-12-18,54.146
2002-12-19,52.823
2002-12-20,53.539
2002-12-23,52.89
2002-12-24,53.108
2002-12-25,53.108
2002-12-26,53.242
2002-12-27,52.761
2002-12-30,53.318
2002-12-31,53.527
2003-01-01,53.527
2003-01-02,55.409
2003-01-03,56.608
2003-01-06,57.314
2003-01-07,56.324
2003-01-08,55.049
2003-01-09,55.478
2003-01-10,56.441
2003-01-13,57.012
2003-01-14,57.513
2003-01-15,57.125
2003-01-16,57.437
2003-01-17,57.18
2003-01-20,56.941
2003-01-21,56.955
2003-01-22,56.113
2003-01-23,56.407
2003-01-24,56.548
2003-01-27,55.575
2003-01-28,55.407
2003-01-29,55.647
2003-01-30,55.292
2003-01-31,55.66
2003-02-03,56.038
2003-02-04,55.905
2003-02-05,55.97
2003-02-06,55.484
2003-02-07,54.73
2003-02-10,54.435
2003-02-11,54.642
2003-02-12,53.907
2003-02-13,54.115
2003-02-14,54.537
2003-02-17,54.959
2003-02-18,54.791
2003-02-19,54.534
2003-02-20,54.699
2003-02-21,54.506
2003-02-24,53.883
2003-02-25,53.226
2003-02-26,52.853
2003-02-27,52.892
2003-02-28,53.367
2003-03-03,53.967
2003-03-04,53.968
2003-03-05,54.181
2003-03-06,53.763
2003-03-07,53.731
2003-03-10,52.359
2003-03-11,51.985
2003-03-12,51.072
2003-03-13,51.737
2003-03-14,51.632
2003-03-17,52.598
2003-03-18,53.084
2003-03-19,53.307
2003-03-20,53.58
2003-03-21,53.877
2003-03-24,53.214
2003-03-25,53.861
2003-03-26,54.186
2003-03-27,54.326
2003-03-28,54.286
2003-03-31,54.147
2003-04-01,54.966
2003-04-02,55.727
2003-04-03,55.144
2003-04-04,55.645
2003-04-07,57.513
2003-04-08,57.618
2003-04-09,58.254
2003-04-10,59.001
2003-04-11,59.11
2003-04-14,59.027
2003-04-15,59.625
2003-04-16,60.338
2003-04-17,60.701
2003-04-18,60.701
2003-04-21,60.439
2003-04-22,61.633
2003-04-23,63.118
2003-04-24,63.998
2003-04-25,64.448
2003-04-28,64.909
2003-04-29,65.003
2003-04-30,65.846
2003-05-01,66.451
2003-05-02,67.026
2003-05-05,68.191
2003-05-06,68.902
2003-05-07,68.309
2003-05-08,67.591
2003-05-09,68.599
2003-05-12,69.103
2003-05-13,68.789
2003-05-14,69.001
2003-05-15,69.045
2003-05-16,69.988
2003-05-19,69.298
2003-05-20,68.755
2003-05-21,67.775
2003-05-22,68.534
2003-05-23,69.16
2003-05-26,69.934
