Date,SINGAPORE SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,353.552
2001-01-02,344.846
2001-01-03,339.516
2001-01-04,353.04
2001-01-05,363.121
2001-01-08,356.019
2001-01-09,362.762
2001-01-10,360.525
2001-01-11,349.115
2001-01-12,353.037
2001-01-15,353.612
2001-01-16,352.19
2001-01-17,349.869
2001-01-18,354.823
2001-01-19,369.726
2001-01-22,367.432
2001-01-23,365.47
2001-01-24,365.539
2001-01-25,365.863
2001-01-26,360.157
2001-01-29,366.734
2001-01-30,369.101
2001-01-31,378.514
2001-02-01,380.801
2001-02-02,384.693
2001-02-05,379.163
2001-02-06,376.501
2001-02-07,369.976
2001-02-08,377.488
2001-02-09,373.441
2001-02-12,375.998
2001-02-13,378.664
2001-02-14,373.452
2001-02-15,378.231
2001-02-16,379.371
2001-02-19,373.868
2001-02-20,381.209
2001-02-21,376.441
2001-02-22,371.8
2001-02-23,372.063
2001-02-26,370.991
2001-02-27,365.723
2001-02-28,366.306
2001-03-01,355.556
2001-03-02,352.241
2001-03-05,350.672
2001-03-06,350.946
2001-03-07,355.362
2001-03-08,355.043
2001-03-09,354.122
2001-03-12,345.296
2001-03-13,341.688
2001-03-14,337.536
2001-03-15,340.999
2001-03-16,338.741
2001-03-19,334.836
2001-03-20,334.074
2001-03-21,330.972
2001-03-22,322.036
2001-03-23,331.277
2001-03-26,329.368
2001-03-27,322.883
2001-03-28,315.95
2001-03-29,308.026
2001-03-30,313.519
2001-04-02,303.791
2001-04-03,302.383
2001-04-04,297.453
2001-04-05,307.771
2001-04-06,304.625
2001-04-09,296.003
2001-04-10,301.301
2001-04-11,305.365
2001-04-12,304.521
2001-04-13,304.497
2001-04-16,300.788
2001-04-17,292.087
2001-04-18,304.911
2001-04-19,313.502
2001-04-20,316.221
2001-04-23,319.455
2001-04-24,319.574
2001-04-25,317.893
2001-04-26,319.585
2001-04-27,321.576
2001-04-30,328.671
2001-05-01,330.064
2001-05-02,339.664
2001-05-03,334.665
2001-05-04,333.937
2001-05-07,333.545
2001-05-08,334.381
2001-05-09,331.291
2001-05-10,336.476
2001-05-11,335.868
2001-05-14,329.795
2001-05-15,332.009
2001-05-16,327.335
2001-05-17,335.024
2001-05-18,332.509
2001-05-21,333.317
2001-05-22,341.026
2001-05-23,345.165
2001-05-24,347.848
2001-05-25,347.719
2001-05-28,343.118
2001-05-29,340.457
2001-05-30,333.473
2001-05-31,335.243
2001-06-01,330.607
2001-06-04,333.459
