Date,SINGAPORE SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,509.646
1994-06-30,492.963
1994-07-29,501.299
1994-08-31,524.918
1994-09-30,540.819
1994-10-31,561.359
1994-11-30,508.707
1994-12-30,498.013
1995-01-31,462.142
1995-02-28,466.08
1995-03-31,466.092
1995-04-28,463.271
1995-05-31,493.977
1995-06-30,501.632
1995-07-31,531.715
1995-08-31,536.189
1995-09-29,540.91
1995-10-31,525.953
1995-11-30,536.885
1995-12-29,583.665
1996-01-31,599.064
1996-02-29,600.686
1996-03-29,588.734
1996-04-30,591.807
1996-05-31,575.811
1996-06-28,555.125
1996-07-31,491.32
1996-08-30,503.579
1996-09-30,497.355
1996-10-31,485.512
1996-11-29,518.33
1996-12-31,530.92
1997-01-31,559.962
1997-02-28,573.144
1997-03-31,522.51
1997-04-30,530.771
1997-05-30,571.835
1997-06-30,553.056
1997-07-31,580.812
1997-08-29,492.083
1997-09-30,516.803
1997-10-31,404.201
1997-11-28,400.685
1997-12-31,326.942
1998-01-30,281.194
1998-02-27,366.628
1998-03-31,383.78
1998-04-30,365.078
1998-05-29,297.449
1998-06-30,259.414
1998-07-31,245.384
1998-08-31,219.784
1998-09-30,247.595
1998-10-30,323.109
1998-11-30,354.277
1998-12-31,338.564
1999-01-29,347.457
1999-02-26,327.903
1999-03-31,337.546
1999-04-30,423.393
1999-05-31,467.869
1999-06-30,546.702
1999-07-30,527.071
1999-08-31,512.684
1999-09-30,480.231
1999-10-29,491.607
1999-11-30,527.077
1999-12-31,597.616
2000-01-31,566.006
2000-02-29,558.503
2000-03-31,570.773
2000-04-28,518.203
2000-05-31,425.541
2000-06-30,468.803
2000-07-31,454.282
2000-08-31,473.631
2000-09-29,417.585
2000-10-31,389.929
2000-11-30,369.726
2000-12-29,353.783
2001-01-31,378.514
2001-02-28,366.306
2001-03-30,313.519
2001-04-30,328.671
2001-05-31,335.243
2001-06-29,340.542
2001-07-31,330.226
2001-08-31,323.867
2001-09-28,278.494
2001-10-31,285.566
2001-11-30,305.669
2001-12-31,328.27
2002-01-31,364.206
2002-02-28,358.166
2002-03-29,372.115
2002-04-30,362.85
2002-05-31,350.738
2002-06-28,333.575
2002-07-31,310.344
2002-08-30,303.311
2002-09-30,264.081
2002-10-31,286.992
2002-11-29,293.536
2002-12-31,274.984
2003-01-31,273.315
2003-02-28,279.363
2003-03-31,280.883
2003-04-30,290.622
2003-05-30,314.518
2003-06-30,330.055
2003-07-31,351.115
2003-08-29,361.973
2003-09-30,374.108
2003-10-31,387.707
2003-11-28,388.967
2003-12-31,403.646
2004-01-30,430.819
2004-02-27,432.811
2004-03-31,431.836
2004-04-30,418.509
2004-05-31,413.285
2004-06-30,413.865
2004-07-30,412.568
2004-08-31,417.18
2004-09-30,445.14
2004-10-29,446.452
2004-11-30,462.053
2004-12-31,480.297
2005-01-31,485.939
2005-02-28,491.453
2005-03-31,480.428
2005-04-29,494.692
2005-05-31,501.116
2005-06-30,517.352
2005-07-29,559.327
2005-08-31,540.09
2005-09-30,556.151
2005-10-31,529.113
2005-11-30,542.966
2005-12-30,568.207
2006-01-31,614.418
2006-02-28,646.626
2006-03-31,690.005
2006-04-28,715.733
2006-05-31,642.596
