Date,SINGAPORE SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,352.958
2001-01-02,344.267
2001-01-03,338.946
2001-01-04,352.449
2001-01-05,362.518
2001-01-08,355.427
2001-01-09,362.159
2001-01-10,359.926
2001-01-11,348.536
2001-01-12,352.451
2001-01-15,353.025
2001-01-16,351.605
2001-01-17,349.288
2001-01-18,354.234
2001-01-19,369.112
2001-01-22,366.821
2001-01-23,364.863
2001-01-24,364.932
2001-01-25,365.255
2001-01-26,359.558
2001-01-29,366.125
2001-01-30,368.488
2001-01-31,377.886
2001-02-01,380.169
2001-02-02,384.054
2001-02-05,378.533
2001-02-06,375.876
2001-02-07,369.362
2001-02-08,376.862
2001-02-09,372.821
2001-02-12,375.374
2001-02-13,378.036
2001-02-14,372.833
2001-02-15,377.604
2001-02-16,378.742
2001-02-19,373.249
2001-02-20,380.577
2001-02-21,375.817
2001-02-22,371.183
2001-02-23,371.446
2001-02-26,370.387
2001-02-27,365.128
2001-02-28,365.727
2001-03-01,354.994
2001-03-02,351.684
2001-03-05,350.118
2001-03-06,350.391
2001-03-07,354.8
2001-03-08,354.481
2001-03-09,353.562
2001-03-12,344.75
2001-03-13,341.151
2001-03-14,337.006
2001-03-15,340.464
2001-03-16,338.208
2001-03-19,334.31
2001-03-20,333.549
2001-03-21,330.452
2001-03-22,321.531
2001-03-23,330.757
2001-03-26,328.851
2001-03-27,322.376
2001-03-28,315.454
2001-03-29,307.542
2001-03-30,313.027
2001-04-02,303.314
2001-04-03,301.908
2001-04-04,296.986
2001-04-05,307.287
2001-04-06,304.146
2001-04-09,295.538
2001-04-10,300.828
2001-04-11,304.886
2001-04-12,304.042
2001-04-13,304.019
2001-04-16,300.316
2001-04-17,291.628
2001-04-18,304.432
2001-04-19,313.01
2001-04-20,315.724
2001-04-23,318.953
2001-04-24,319.072
2001-04-25,317.394
2001-04-26,319.083
2001-04-27,321.071
2001-04-30,328.154
2001-05-01,329.545
2001-05-02,339.13
2001-05-03,334.139
2001-05-04,333.413
2001-05-07,333.021
2001-05-08,333.858
2001-05-09,330.774
2001-05-10,335.95
2001-05-11,335.344
2001-05-14,329.28
2001-05-15,331.49
2001-05-16,326.83
2001-05-17,334.506
2001-05-18,331.995
2001-05-21,332.808
2001-05-22,340.507
2001-05-23,344.639
2001-05-24,347.322
2001-05-25,347.195
2001-05-28,342.603
2001-05-29,339.946
2001-05-30,332.973
2001-05-31,334.744
