Date,FINLAND SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,261.296
1994-06-30,242.835
1994-07-29,266.05
1994-08-31,286.41
1994-09-30,285.899
1994-10-31,300.08
1994-11-30,267.665
1994-12-30,265.765
1995-01-31,262.965
1995-02-28,254.903
1995-03-31,244.942
1995-04-28,281.973
1995-05-31,265.521
1995-06-30,272.056
1995-07-31,289.559
1995-08-31,272.666
1995-09-29,291.224
1995-10-31,263.508
1995-11-30,263.318
1995-12-29,253.262
1996-01-31,248.476
1996-02-29,263.056
1996-03-29,254.464
1996-04-30,259.416
1996-05-31,286.835
1996-06-28,295.703
1996-07-31,303.699
1996-08-30,326.847
1996-09-30,320.279
1996-10-31,321.795
1996-11-29,327.724
1996-12-31,342.054
1997-01-31,359.993
1997-02-28,377.953
1997-03-31,379.356
1997-04-30,362.255
1997-05-30,377.463
1997-06-30,379.684
1997-07-31,398.51
1997-08-29,373.495
1997-09-30,414.066
1997-10-31,402.768
1997-11-28,396.686
1997-12-31,386.384
1998-01-30,427.646
1998-02-27,471.9
1998-03-31,479.162
1998-04-30,540.377
1998-05-29,557.183
1998-06-30,549.094
1998-07-31,561.574
1998-08-31,428.165
1998-09-30,400.709
1998-10-30,410.853
1998-11-30,436.35
1998-12-31,461.86
1999-01-29,442.078
1999-02-26,401.574
1999-03-31,391.2
1999-04-30,387.168
1999-05-31,397.264
1999-06-30,400.323
1999-07-30,402.769
1999-08-31,380.178
1999-09-30,356.837
1999-10-29,369.314
1999-11-30,416.986
1999-12-31,534.486
2000-01-31,532.509
2000-02-29,605.006
2000-03-31,569.306
2000-04-28,505.602
2000-05-31,450.414
2000-06-30,492.981
2000-07-31,469.454
2000-08-31,447.524
2000-09-29,412.865
2000-10-31,345.675
2000-11-30,304.948
2000-12-29,346.362
2001-01-31,306.349
2001-02-28,234.88
2001-03-30,214.044
2001-04-30,253.358
2001-05-31,249.703
2001-06-29,222.119
2001-07-31,226.189
2001-08-31,199.808
2001-09-28,188.371
2001-10-31,206.584
2001-11-30,221.968
2001-12-31,220.555
2002-01-31,213.102
2002-02-28,220.526
2002-03-29,230.587
2002-04-30,228.342
2002-05-31,230.943
2002-06-28,228.409
2002-07-31,200.051
2002-08-30,201.869
2002-09-30,179.714
2002-10-31,197.05
2002-11-29,217.754
2002-12-31,234.638
2003-01-31,234.782
2003-02-28,229.229
2003-03-31,225.488
2003-04-30,252.512
2003-05-30,264.615
2003-06-30,272.957
2003-07-31,285.229
2003-08-29,293.921
2003-09-30,310.849
2003-10-31,352.207
2003-11-28,377.064
2003-12-31,387.921
2004-01-30,403.436
2004-02-27,428.45
2004-03-31,422.091
2004-04-30,401.684
2004-05-31,396.203
2004-06-30,412.617
2004-07-30,397.01
2004-08-31,389.917
2004-09-30,414.778
2004-10-29,430.511
2004-11-30,493.905
2004-12-31,502.161
2005-01-31,487.577
2005-02-28,553.814
2005-03-31,525.948
2005-04-29,493.087
2005-05-31,521.665
2005-06-30,541.437
2005-07-29,577.949
2005-08-31,595.138
2005-09-30,626.744
2005-10-31,568.613
2005-11-30,560.682
2005-12-30,586.619
2006-01-31,645.251
2006-02-28,655.476
2006-03-31,709.08
2006-04-28,723.118
2006-05-31,675.751
2006-06-30,666.187
2006-07-31,643.218
2006-08-31,664.436
2006-09-29,666.025
2006-10-31,701.771
2006-11-30,746.625
2006-12-29,796.938
2007-01-31,820.012
2007-02-28,846.069
2007-03-30,891.678
2007-04-30,971.178
2007-05-31,1000.0
2007-06-29,991.251
2007-07-31,999.46
2007-08-31,958.433
2007-09-28,1027.618
2007-10-31,1099.842
2007-11-30,994.107
2007-12-31,947.907
2008-01-31,850.6
2008-02-29,964.031
2008-03-31,1010.549
2008-04-30,976.313
2008-05-30,1030.068
2008-06-30,923.827
2008-07-31,815.452
2008-08-29,752.43
2008-09-30,550.291
2008-10-31,376.425
2008-11-28,339.312
2008-12-31,356.271
2009-01-30,337.844
2009-02-27,357.416
2009-03-31,367.486
2009-04-30,472.559
2009-05-29,531.033
2009-06-30,535.014
2009-07-31,588.534
2009-08-31,627.01
2009-09-30,662.472
2009-10-30,648.784
2009-11-30,702.008
2009-12-31,708.056
2010-01-29,683.987
2010-02-26,681.96
2010-03-31,728.136
2010-04-30,757.602
2010-05-31,666.407
2010-06-30,675.334
2010-07-30,767.392
2010-08-31,749.97
2010-09-30,892.243
2010-10-29,911.786
2010-11-30,870.616
2010-12-31,972.268
2011-01-31,989.717
2011-02-28,993.75
2011-03-31,1053.583
2011-04-29,1130.336
2011-05-31,1044.228
2011-06-30,1003.521
2011-07-29,875.526
