Date,FINLAND SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,237.625
1994-06-30,220.837
1994-07-29,241.948
1994-08-31,260.486
1994-09-30,260.021
1994-10-31,272.919
1994-11-30,243.438
1994-12-30,241.71
1995-01-31,239.163
1995-02-28,231.831
1995-03-31,222.903
1995-04-28,257.16
1995-05-31,242.208
1995-06-30,248.17
1995-07-31,264.136
1995-08-31,248.726
1995-09-29,265.655
1995-10-31,240.372
1995-11-30,240.198
1995-12-29,231.026
1996-01-31,226.659
1996-02-29,239.96
1996-03-29,232.384
1996-04-30,238.048
1996-05-31,263.208
1996-06-28,271.346
1996-07-31,278.683
1996-08-30,299.925
1996-09-30,293.898
1996-10-31,295.289
1996-11-29,300.729
1996-12-31,313.879
1997-01-31,330.341
1997-02-28,346.821
1997-03-31,348.485
1997-04-30,333.719
1997-05-30,347.729
1997-06-30,349.775
1997-07-31,367.118
1997-08-29,344.073
1997-09-30,381.448
1997-10-31,371.04
1997-11-28,365.437
1997-12-31,355.947
1998-01-30,393.959
1998-02-27,434.726
1998-03-31,441.903
1998-04-30,499.785
1998-05-29,515.354
1998-06-30,507.872
1998-07-31,519.415
1998-08-31,396.021
1998-09-30,370.627
1998-10-30,380.009
1998-11-30,403.592
1998-12-31,427.187
1999-01-29,408.89
1999-02-26,371.427
1999-03-31,362.255
1999-04-30,359.279
1999-05-31,368.648
1999-06-30,371.487
1999-07-30,373.757
1999-08-31,352.792
1999-09-30,331.133
1999-10-29,342.711
1999-11-30,386.949
1999-12-31,495.985
2000-01-31,494.15
2000-02-29,561.426
2000-03-31,528.555
2000-04-28,474.794
2000-05-31,422.969
2000-06-30,462.943
2000-07-31,440.849
2000-08-31,420.255
2000-09-29,387.708
2000-10-31,324.612
2000-11-30,286.367
2000-12-29,325.257
2001-01-31,287.682
2001-02-28,220.664
2001-03-30,201.533
2001-04-30,238.817
2001-05-31,235.379
2001-06-29,209.378
2001-07-31,213.214
2001-08-31,188.346
2001-09-28,177.565
2001-10-31,194.733
2001-11-30,209.235
2001-12-31,207.905
2002-01-31,200.879
2002-02-28,207.878
2002-03-29,218.071
2002-04-30,217.104
2002-05-31,219.577
2002-06-28,217.167
2002-07-31,190.205
2002-08-30,191.934
2002-09-30,170.869
2002-10-31,187.352
2002-11-29,207.036
2002-12-31,223.09
2003-01-31,223.227
2003-02-28,217.947
2003-03-31,217.736
2003-04-30,244.125
2003-05-30,255.827
2003-06-30,263.891
2003-07-31,275.755
2003-08-29,284.158
2003-09-30,300.524
2003-10-31,340.509
2003-11-28,364.553
2003-12-31,375.061
2004-01-30,390.061
2004-02-27,414.247
2004-03-31,410.318
2004-04-30,390.896
2004-05-31,385.563
2004-06-30,401.536
2004-07-30,386.347
2004-08-31,379.445
2004-09-30,403.638
2004-10-29,418.966
2004-11-30,481.471
2004-12-31,489.717
2005-01-31,475.494
2005-02-28,540.089
2005-03-31,515.374
2005-04-29,483.908
2005-05-31,512.991
2005-06-30,532.435
2005-07-29,568.34
2005-08-31,585.243
2005-09-30,616.323
2005-10-31,559.159
2005-11-30,551.36
2005-12-30,577.397
2006-01-31,635.108
2006-02-28,645.813
2006-03-31,703.572
2006-04-28,717.803
2006-05-31,670.784
2006-06-30,661.29
2006-07-31,638.49
2006-08-31,659.552
2006-09-29,661.13
2006-10-31,696.613
2006-11-30,741.137
2006-12-29,791.08
2007-01-31,813.984
2007-02-28,841.018
2007-03-30,889.707
2007-04-30,971.178
2007-05-31,1000.0
2007-06-29,991.251
2007-07-31,999.46
2007-08-31,958.433
2007-09-28,1027.618
2007-10-31,1101.981
2007-11-30,996.041
2007-12-31,949.751
2008-01-31,852.255
2008-02-29,966.894
2008-03-31,1021.133
2008-04-30,991.741
2008-05-30,1046.345
2008-06-30,938.426
2008-07-31,828.337
2008-08-29,764.32
2008-09-30,558.987
2008-10-31,382.373
2008-11-28,344.674
2008-12-31,361.901
2009-01-30,343.183
2009-02-27,364.82
2009-03-31,377.65
2009-04-30,486.677
2009-05-29,546.898
2009-06-30,550.998
2009-07-31,606.117
2009-08-31,645.743
2009-09-30,682.263
2009-10-30,668.167
2009-11-30,722.981
2009-12-31,729.209
2010-01-29,704.421
2010-02-26,702.334
2010-03-31,755.553
2010-04-30,787.228
2010-05-31,692.468
2010-06-30,701.743
2010-07-30,797.401
2010-08-31,779.298
2010-09-30,927.134
2010-10-29,948.061
2010-11-30,905.254
2010-12-31,1010.95
2011-01-31,1029.093
2011-02-28,1033.286
2011-03-31,1101.972
2011-04-29,1187.08
2011-05-31,1096.649
2011-06-30,1053.898
2011-07-29,919.478
2011-08-31,796.757
2011-09-30,657.203
2011-10-31,772.382
2011-11-30,760.875
2011-12-30,703.112
2012-01-31,800.776
2012-02-29,882.164
2012-03-30,905.919
2012-04-30,923.794
2012-05-31,732.977
2012-06-29,766.953
2012-07-31,758.424
2012-08-31,776.75
2012-09-28,823.583
2012-10-31,868.456
2012-11-30,895.825
2012-12-31,901.669
2013-01-31,1000.752
2013-02-28,1003.853
2013-03-29,975.006
2013-04-30,1026.049
2013-05-31,985.236
2013-06-28,926.209
2013-07-31,979.575
2013-08-30,1021.98
2013-09-30,1071.438
2013-10-31,1035.798
