Date,FINLAND SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,346.362
2001-01-02,341.97
2001-01-03,320.904
2001-01-04,329.678
2001-01-05,332.041
2001-01-08,325.633
2001-01-09,309.057
2001-01-10,302.733
2001-01-11,311.755
2001-01-12,326.753
2001-01-15,327.838
2001-01-16,318.649
2001-01-17,325.645
2001-01-18,332.085
2001-01-19,332.535
2001-01-22,328.284
2001-01-23,325.179
2001-01-24,319.188
2001-01-25,312.835
2001-01-26,294.307
2001-01-29,287.388
2001-01-30,296.383
2001-01-31,306.349
2001-02-01,295.148
2001-02-02,283.576
2001-02-05,289.673
2001-02-06,287.549
2001-02-07,267.181
2001-02-08,268.0
2001-02-09,261.578
2001-02-12,259.463
2001-02-13,260.329
2001-02-14,254.71
2001-02-15,262.877
2001-02-16,260.728
2001-02-19,258.287
2001-02-20,257.962
2001-02-21,250.019
2001-02-22,240.754
2001-02-23,235.265
2001-02-26,238.286
2001-02-27,243.685
2001-02-28,234.88
2001-03-01,231.747
2001-03-02,233.087
2001-03-05,235.026
2001-03-06,250.515
2001-03-07,250.13
2001-03-08,254.021
2001-03-09,251.43
2001-03-12,243.905
2001-03-13,236.939
2001-03-14,235.681
2001-03-15,237.773
2001-03-16,224.737
2001-03-19,222.391
2001-03-20,224.905
2001-03-21,216.505
2001-03-22,210.332
2001-03-23,216.394
2001-03-26,221.765
2001-03-27,224.503
2001-03-28,222.023
2001-03-29,212.768
2001-03-30,214.044
2001-04-02,207.603
2001-04-03,207.355
2001-04-04,207.706
2001-04-05,205.262
2001-04-06,205.922
2001-04-09,208.46
2001-04-10,208.436
2001-04-11,216.53
2001-04-12,218.684
2001-04-13,218.684
2001-04-16,216.445
2001-04-17,212.436
2001-04-18,218.711
2001-04-19,225.27
2001-04-20,226.089
2001-04-23,227.499
2001-04-24,230.659
2001-04-25,234.697
2001-04-26,240.275
2001-04-27,245.71
2001-04-30,253.358
2001-05-01,254.702
2001-05-02,254.442
2001-05-03,252.239
2001-05-04,251.44
2001-05-07,255.001
2001-05-08,253.605
2001-05-09,249.668
2001-05-10,258.744
2001-05-11,259.25
2001-05-14,255.776
2001-05-15,256.565
2001-05-16,258.482
2001-05-17,261.928
2001-05-18,262.351
2001-05-21,263.165
2001-05-22,267.683
2001-05-23,265.896
2001-05-24,264.892
2001-05-25,264.32
2001-05-28,263.542
2001-05-29,260.526
2001-05-30,254.42
2001-05-31,249.703
2001-06-01,247.609
2001-06-04,248.507
2001-06-05,253.472
2001-06-06,252.943
2001-06-07,252.314
2001-06-08,251.711
2001-06-11,245.313
2001-06-12,236.2
2001-06-13,238.999
2001-06-14,237.329
2001-06-15,233.578
2001-06-18,232.842
2001-06-19,233.447
2001-06-20,226.574
2001-06-21,227.017
2001-06-22,227.243
2001-06-25,229.005
2001-06-26,221.396
2001-06-27,221.383
2001-06-28,219.574
2001-06-29,222.119
2001-07-02,226.211
2001-07-03,225.837
2001-07-04,221.319
2001-07-05,218.8
2001-07-06,214.385
2001-07-09,213.158
2001-07-10,217.018
2001-07-11,211.658
2001-07-12,213.746
2001-07-13,215.844
2001-07-16,218.33
2001-07-17,213.602
2001-07-18,216.708
2001-07-19,218.082
2001-07-20,218.797
2001-07-23,214.074
2001-07-24,214.158
2001-07-25,212.086
2001-07-26,213.752
2001-07-27,215.953
2001-07-30,219.147
2001-07-31,226.189
2001-08-01,222.325
2001-08-02,225.625
2001-08-03,225.919
2001-08-06,222.553
2001-08-07,221.827
2001-08-08,219.79
2001-08-09,215.632
2001-08-10,218.665
2001-08-13,221.707
2001-08-14,220.463
2001-08-15,223.036
2001-08-16,217.433
2001-08-17,215.524
2001-08-20,211.92
