Date,NEW ZEALAND SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,102.637
1994-06-30,94.095
1994-07-29,93.526
1994-08-31,94.187
1994-09-30,88.675
1994-10-31,90.071
1994-11-30,94.329
1994-12-30,95.791
1995-01-31,92.57
1995-02-28,92.766
1995-03-31,95.767
1995-04-28,105.813
1995-05-31,109.43
1995-06-30,108.27
1995-07-31,113.59
1995-08-31,110.108
1995-09-29,112.189
1995-10-31,116.766
1995-11-30,111.36
1995-12-29,117.024
1996-01-31,121.605
1996-02-29,123.472
1996-03-29,134.831
1996-04-30,140.935
1996-05-31,131.863
1996-06-28,135.551
1996-07-31,138.593
1996-08-30,145.677
1996-09-30,150.293
1996-10-31,163.383
1996-11-29,168.312
1996-12-31,167.355
1997-01-31,159.868
1997-02-28,161.24
1997-03-31,162.37
1997-04-30,165.77
1997-05-30,169.83
1997-06-30,173.27
1997-07-31,174.763
1997-08-29,169.116
1997-09-30,178.395
1997-10-31,159.104
1997-11-28,152.153
1997-12-31,147.367
1998-01-30,144.903
1998-02-27,147.808
1998-03-31,139.905
1998-04-30,137.284
1998-05-29,128.432
1998-06-30,114.665
1998-07-31,120.688
1998-08-31,109.435
1998-09-30,107.751
1998-10-30,128.788
1998-11-30,135.678
1998-12-31,144.354
1999-01-29,155.575
1999-02-26,148.528
1999-03-31,153.689
1999-04-30,172.087
1999-05-31,150.67
1999-06-30,157.259
1999-07-30,159.866
1999-08-31,154.361
1999-09-30,152.008
1999-10-29,154.659
1999-11-30,156.228
1999-12-31,169.978
2000-01-31,151.803
2000-02-29,143.66
2000-03-31,152.127
2000-04-28,143.027
2000-05-31,140.263
2000-06-30,157.014
2000-07-31,157.984
2000-08-31,157.437
2000-09-29,146.645
2000-10-31,141.382
2000-11-30,148.513
2000-12-29,165.112
2001-01-31,171.508
2001-02-28,166.383
2001-03-30,162.828
2001-04-30,165.036
2001-05-31,165.488
2001-06-29,169.684
2001-07-31,171.169
2001-08-31,187.94
2001-09-28,161.886
2001-10-31,180.456
2001-11-30,188.862
2001-12-31,187.988
2002-01-31,191.251
2002-02-28,197.609
2002-03-29,214.121
2002-04-30,215.298
2002-05-31,243.146
2002-06-28,241.983
2002-07-31,223.898
2002-08-30,236.536
2002-09-30,235.073
2002-10-31,249.2
2002-11-29,248.947
2002-12-31,270.691
2003-01-31,286.481
2003-02-28,282.583
2003-03-31,275.824
2003-04-30,297.343
2003-05-30,314.746
2003-06-30,349.887
2003-07-31,334.273
2003-08-29,345.298
2003-09-30,367.816
2003-10-31,391.589
2003-11-28,409.505
2003-12-31,435.628
2004-01-30,442.135
2004-02-27,431.361
2004-03-31,443.313
2004-04-30,434.393
2004-05-31,436.933
2004-06-30,453.362
2004-07-30,464.995
2004-08-31,475.943
2004-09-30,504.307
2004-10-29,508.278
2004-11-30,567.856
2004-12-31,602.753
2005-01-31,589.451
2005-02-28,633.978
2005-03-31,593.409
2005-04-29,592.423
2005-05-31,578.503
2005-06-30,624.606
2005-07-29,631.523
2005-08-31,634.699
2005-09-30,669.221
2005-10-31,630.0
2005-11-30,632.878
2005-12-30,627.06
2006-01-31,624.796
2006-02-28,624.767
2006-03-31,641.465
2006-04-28,679.85
2006-05-31,683.355
2006-06-30,662.131
2006-07-31,666.145
2006-08-31,673.133
2006-09-29,687.635
2006-10-31,746.336
2006-11-30,799.152
2006-12-29,869.202
2007-01-31,874.931
2007-02-28,861.632
2007-03-30,901.811
2007-04-30,973.094
2007-05-31,1000.0
2007-06-29,1044.893
2007-07-31,1044.307
2007-08-31,910.183
2007-09-28,1044.977
2007-10-31,1030.158
2007-11-30,995.085
2007-12-31,989.783
2008-01-31,907.186
2008-02-29,888.455
2008-03-31,838.778
2008-04-30,880.571
2008-05-30,844.738
2008-06-30,704.893
2008-07-31,725.618
2008-08-29,742.214
2008-09-30,660.183
2008-10-31,537.208
2008-11-28,480.776
2008-12-31,517.171
2009-01-30,455.752
2009-02-27,415.178
2009-03-31,484.646
2009-04-30,487.218
2009-05-29,556.1
2009-06-30,564.105
2009-07-31,627.633
2009-08-31,666.858
2009-09-30,721.918
2009-10-30,747.033
2009-11-30,713.353
2009-12-31,754.751
2010-01-29,711.471
2010-02-26,703.111
2010-03-31,745.05
2010-04-30,777.685
2010-05-31,678.588
2010-06-30,667.382
2010-07-30,709.396
2010-08-31,676.677
2010-09-30,745.42
2010-10-29,808.87
2010-11-30,765.649
2010-12-31,825.626
2011-01-31,815.385
2011-02-28,806.666
2011-03-31,850.202
2011-04-29,912.67
2011-05-31,929.349
2011-06-30,911.869
2011-07-29,938.151
2011-08-31,871.229
2011-09-30,797.848
2011-10-31,805.314
2011-11-30,737.508
2011-12-30,757.89
2012-01-31,785.224
2012-02-29,806.959
2012-03-30,818.136
2012-04-30,818.23
2012-05-31,742.787
2012-06-29,772.508
2012-07-31,808.882
2012-08-31,824.306
2012-09-28,901.803
2012-10-31,921.816
2012-11-30,924.127
2012-12-31,916.357
2013-01-31,961.05
2013-02-28,974.642
2013-03-29,1018.806
2013-04-30,1079.939
2013-05-31,988.75
2013-06-28,962.393
2013-07-31,1009.391
2013-08-30,959.662
2013-09-30,1105.176
2013-10-31,1141.196
2013-11-29,1107.704
2013-12-31,1086.84
2014-01-31,1127.741
2014-02-28,1181.348
2014-03-31,1273.074
2014-04-30,1243.979
2014-05-30,1207.286
2014-06-30,1226.473
2014-07-31,1177.612
2014-08-29,1174.677
2014-09-30,1083.988
2014-10-31,1089.688
2014-11-28,1105.624
2014-12-31,1156.479
2015-01-30,1086.355
2015-02-27,1174.522
2015-03-31,1158.39
2015-04-30,1181.025
2015-05-29,1131.719
2015-06-30,1045.646
2015-07-31,1073.269
2015-08-31,962.539
2015-09-30,964.376
2015-10-30,1093.481
2015-11-30,1080.553
2015-12-31,1192.577
2016-01-29,1094.282
2016-02-29,1143.03
2016-03-31,1302.159
2016-04-29,1300.917
2016-05-31,1324.495
2016-06-30,1378.569
2016-07-29,1507.792
2016-08-31,1494.606
2016-09-30,1484.531
2016-10-31,1356.143
2016-11-30,1328.276
2016-12-30,1304.146
2017-01-31,1421.518
2017-02-28,1441.041
2017-03-31,1395.764
2017-04-28,1417.523
2017-05-31,1469.345
2017-06-30,1557.452
2017-07-31,1609.907
2017-08-31,1590.539
2017-09-29,1653.025
2017-10-31,1646.379
2017-11-30,1672.335
2017-12-29,1778.527
2018-01-31,1892.949
2018-02-28,1955.0
2018-03-30,1914.683
2018-04-30,1869.193
2018-05-31,1886.179
2018-06-29,1921.953
2018-07-31,1890.013
2018-08-31,2013.023
2018-09-28,1937.446
2018-10-31,1756.215
2018-11-30,1832.22
2018-12-31,1799.213
2019-01-31,1922.771
2019-02-28,2046.121
2019-03-29,2135.02
2019-04-30,2163.443
2019-05-31,2066.101
2019-06-28,2133.945
2019-07-31,2301.74
2019-08-30,2079.326
2019-09-30,2055.885
2019-10-31,2126.781
2019-11-29,2381.223
2019-12-31,2524.833
2020-01-31,2477.693
2020-02-28,2400.152
2020-03-31,2211.084
2020-04-30,2410.334
2020-05-29,2500.404
2020-06-30,2693.402
2020-07-31,2851.413
2020-08-31,2855.532
2020-09-30,2615.682
2020-10-30,2647.868
2020-11-30,2811.517
2020-12-31,2802.918
2021-01-29,2698.198
2021-02-26,2478.09
2021-03-31,2345.716
2021-04-30,2321.926
2021-05-31,2233.633
2021-06-30,2234.971
2021-07-30,2206.828
2021-08-31,2324.719
2021-09-30,2345.93
2021-10-29,2439.12
2021-11-30,2184.755
2021-12-31,2213.466
2022-01-31,1916.223
2022-02-28,1996.37
2022-03-31,2001.714
2022-04-29,1780.73
2022-05-31,1716.165
2022-06-30,1568.052
2022-07-29,1661.676
2022-08-31,1644.55
2022-09-30,1443.805
2022-10-31,1530.637
2022-11-30,1732.802
2022-12-30,1750.798
2023-01-31,1908.026
2023-02-28,1826.723
2023-03-31,1846.282
2023-04-28,1838.335
2023-05-31,1700.658
2023-06-30,1756.769
2023-07-31,1807.073
2023-08-31,1642.403
2023-09-29,1597.469
2023-10-31,1478.055
2023-11-30,1671.084
2023-12-29,1761.78
2024-01-31,1740.296
2024-02-29,1753.132
2024-03-29,1784.209
2024-04-30,1831.602
2024-05-31,1956.524
2024-06-28,1954.818
2024-07-31,1977.634
2024-08-30,2170.938
2024-09-30,2228.558
