Date,FINLAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,1263.103
2001-01-02,1229.188
2001-01-03,1127.267
2001-01-04,1249.316
2001-01-05,1263.942
2001-01-08,1220.655
2001-01-09,1112.073
2001-01-10,1099.381
2001-01-11,1175.598
2001-01-12,1203.042
2001-01-15,1193.951
2001-01-16,1129.039
2001-01-17,1169.927
2001-01-18,1183.367
2001-01-19,1165.117
2001-01-22,1138.298
2001-01-23,1121.912
2001-01-24,1114.681
2001-01-25,1081.578
2001-01-26,1070.845
2001-01-29,1053.107
2001-01-30,1002.38
2001-01-31,1028.451
2001-02-01,991.706
2001-02-02,969.228
2001-02-05,953.193
2001-02-06,978.936
2001-02-07,921.668
2001-02-08,894.022
2001-02-09,820.302
2001-02-12,855.084
2001-02-13,840.15
2001-02-14,776.42
2001-02-15,837.051
2001-02-16,786.533
2001-02-19,768.775
2001-02-20,760.237
2001-02-21,726.738
2001-02-22,671.13
2001-02-23,626.958
2001-02-26,647.271
2001-02-27,667.989
2001-02-28,659.594
2001-03-01,655.637
2001-03-02,706.656
2001-03-05,737.718
2001-03-06,776.331
2001-03-07,754.381
2001-03-08,718.484
2001-03-09,700.966
2001-03-12,639.147
2001-03-13,656.969
2001-03-14,652.135
2001-03-15,723.075
2001-03-16,701.036
2001-03-19,725.978
2001-03-20,765.287
2001-03-21,724.496
2001-03-22,679.41
2001-03-23,743.771
2001-03-26,781.393
2001-03-27,750.295
2001-03-28,728.424
2001-03-29,682.707
2001-03-30,681.58
2001-04-02,676.095
2001-04-03,635.672
2001-04-04,645.585
2001-04-05,686.506
2001-04-06,680.84
2001-04-09,685.799
2001-04-10,722.451
2001-04-11,755.311
2001-04-12,762.825
2001-04-13,762.825
2001-04-16,755.012
2001-04-17,720.744
2001-04-18,806.55
2001-04-19,841.132
2001-04-20,875.148
2001-04-23,857.9
2001-04-24,848.78
2001-04-25,839.279
2001-04-26,856.123
2001-04-27,895.857
2001-04-30,933.06
2001-05-01,938.007
2001-05-02,943.822
2001-05-03,917.032
2001-05-04,926.908
2001-05-07,930.395
2001-05-08,911.263
2001-05-09,891.995
2001-05-10,930.255
2001-05-11,896.752
2001-05-14,864.948
2001-05-15,872.809
2001-05-16,872.71
2001-05-17,921.473
2001-05-18,943.504
2001-05-21,950.589
2001-05-22,956.897
2001-05-23,924.912
2001-05-24,921.42
2001-05-25,893.46
2001-05-28,891.898
2001-05-29,871.258
2001-05-30,833.846
2001-05-31,818.983
2001-06-01,817.167
2001-06-04,823.075
2001-06-05,855.036
2001-06-06,858.046
2001-06-07,858.121
