Date,FINLAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,102.367
1994-06-30,101.057
1994-07-29,113.005
1994-08-31,124.821
1994-09-30,127.781
1994-10-31,143.755
1994-11-30,128.657
1994-12-30,134.576
1995-01-31,132.262
1995-02-28,129.001
1995-03-31,128.708
1995-04-28,146.188
1995-05-31,149.985
1995-06-30,171.313
1995-07-31,189.38
1995-08-31,185.498
1995-09-29,192.923
1995-10-31,165.573
1995-11-30,160.682
1995-12-29,133.298
1996-01-31,130.418
1996-02-29,128.492
1996-03-29,126.946
1996-04-30,130.591
1996-05-31,147.384
1996-06-28,135.304
1996-07-31,133.855
1996-08-30,152.603
1996-09-30,155.739
1996-10-31,162.794
1996-11-29,182.77
1996-12-31,189.981
1997-01-31,210.375
1997-02-28,203.968
1997-03-31,202.994
1997-04-30,202.813
1997-05-30,212.419
1997-06-30,229.355
1997-07-31,255.191
1997-08-29,233.432
1997-09-30,275.912
1997-10-31,256.51
1997-11-28,242.497
1997-12-31,223.159
1998-01-30,246.326
1998-02-27,296.472
1998-03-31,311.781
1998-04-30,375.274
1998-05-29,374.286
1998-06-30,401.21
1998-07-31,455.938
1998-08-31,364.337
1998-09-30,384.778
1998-10-30,428.391
1998-11-30,460.585
1998-12-31,554.707
1999-01-29,622.775
1999-02-26,581.556
1999-03-31,653.562
1999-04-30,648.525
1999-05-31,617.435
1999-06-30,724.213
1999-07-30,730.43
1999-08-31,702.067
1999-09-30,751.53
1999-10-29,912.942
1999-11-30,1135.94
1999-12-31,1506.501
2000-01-31,1514.75
2000-02-29,1673.964
2000-03-31,1711.679
2000-04-28,1763.011
2000-05-31,1588.319
2000-06-30,1568.047
2000-07-31,1362.915
2000-08-31,1324.645
2000-09-29,1201.085
2000-10-31,1189.45
2000-11-30,1190.925
2000-12-29,1263.103
2001-01-31,1028.451
2001-02-28,659.594
2001-03-30,681.58
2001-04-30,933.06
2001-05-31,818.983
2001-06-29,652.882
2001-07-31,632.017
2001-08-31,460.351
2001-09-28,468.639
2001-10-31,597.668
2001-11-30,665.532
2001-12-31,721.557
2002-01-31,651.29
2002-02-28,612.097
2002-03-29,618.728
2002-04-30,496.614
2002-05-31,448.128
2002-06-28,456.546
2002-07-31,389.901
2002-08-30,414.827
2002-09-30,407.795
2002-10-31,513.348
2002-11-29,582.5
2002-12-31,490.804
2003-01-31,438.536
2003-02-28,418.461
2003-03-31,436.079
2003-04-30,529.822
2003-05-30,562.827
2003-06-30,519.606
2003-07-31,488.328
2003-08-29,520.189
2003-09-30,494.012
2003-10-31,546.364
2003-11-28,580.083
2003-12-31,561.601
2004-01-30,659.124
2004-02-27,699.744
2004-03-31,666.297
2004-04-30,478.023
2004-05-31,473.652
2004-06-30,490.363
2004-07-30,405.932
2004-08-31,410.23
2004-09-30,472.353
2004-10-29,520.077
2004-11-30,559.226
2004-12-31,546.765
2005-01-31,530.327
2005-02-28,570.234
2005-03-31,543.41
2005-04-29,557.439
2005-05-31,590.159
2005-06-30,591.348
2005-07-29,574.874
2005-08-31,565.942
2005-09-30,607.089
2005-10-31,589.99
2005-11-30,601.837
2005-12-30,638.928
2006-01-31,654.395
2006-02-28,669.199
2006-03-31,741.651
2006-04-28,796.568
2006-05-31,749.627
2006-06-30,717.868
2006-07-31,696.345
2006-08-31,732.135
2006-09-29,701.995
2006-10-31,710.206
2006-11-30,728.203
2006-12-29,747.732
2007-01-31,791.664
2007-02-28,796.872
2007-03-30,839.248
2007-04-30,927.624
2007-05-31,1000.0
2007-06-29,1018.912
2007-07-31,1045.805
2007-08-31,1151.491
2007-09-28,1309.17
2007-10-31,1372.075
2007-11-30,1363.256
2007-12-31,1319.743
2008-01-31,1217.014
2008-02-29,1264.084
2008-03-31,1149.739
2008-04-30,1115.713
2008-05-30,1102.198
2008-06-30,964.667
2008-07-31,1013.777
2008-08-29,928.958
2008-09-30,678.097
2008-10-31,549.322
2008-11-28,494.847
2008-12-31,537.952
2009-01-30,445.2
2009-02-27,366.872
2009-03-31,434.589
2009-04-30,541.461
2009-05-29,588.174
2009-06-30,569.687
2009-07-31,549.914
2009-08-31,586.284
2009-09-30,618.491
2009-10-30,559.992
2009-11-30,582.677
2009-12-31,591.288
2010-01-29,576.939
2010-02-26,575.118
2010-03-31,618.764
2010-04-30,628.92
2010-05-31,549.032
2010-06-30,556.386
2010-07-30,632.229
2010-08-31,617.876
2010-09-30,735.09
2010-10-29,751.191
2010-11-30,717.273
2010-12-31,793.709
2011-01-31,809.152
2011-02-28,816.192
2011-03-31,864.084
2011-04-29,931.125
2011-05-31,876.073
2011-06-30,847.842
2011-07-29,748.228
2011-08-31,672.189
2011-09-30,551.976
2011-10-31,646.765
2011-11-30,640.601
2011-12-30,593.702
2012-01-31,645.073
2012-02-29,715.146
2012-03-30,709.535
2012-04-30,719.154
2012-05-31,597.594
2012-06-29,631.261
2012-07-31,614.678
2012-08-31,633.687
2012-09-28,674.309
2012-10-31,703.077
2012-11-30,719.572
2012-12-31,717.1
2013-01-31,799.067
2013-02-28,801.352
2013-03-29,776.26
2013-04-30,836.338
2013-05-31,816.68
2013-06-28,754.794
2013-07-31,764.076
2013-08-30,811.896
2013-09-30,864.211
2013-10-31,842.472
2013-11-29,875.716
2013-12-31,873.918
2014-01-31,804.932
2014-02-28,878.297
2014-03-31,852.849
2014-04-30,864.486
2014-05-30,878.16
2014-06-30,854.967
2014-07-31,868.475
2014-08-29,889.68
2014-09-30,864.466
2014-10-31,863.432
2014-11-28,880.309
2014-12-31,852.318
2015-01-30,847.942
2015-02-27,883.652
2015-03-31,847.89
2015-04-30,804.545
2015-05-29,829.204
2015-06-30,793.588
2015-07-31,825.365
2015-08-31,746.179
2015-09-30,754.997
2015-10-30,837.055
2015-11-30,827.673
2015-12-31,826.002
2016-01-29,814.958
2016-02-29,744.279
2016-03-31,764.817
2016-04-29,752.558
2016-05-31,749.55
2016-06-30,731.745
2016-07-29,791.813
2016-08-31,782.142
2016-09-30,802.117
2016-10-31,736.259
2016-11-30,710.989
2016-12-30,734.257
2017-01-31,752.832
2017-02-28,757.691
2017-03-31,777.807
2017-04-28,825.347
2017-05-31,852.932
2017-06-30,859.008
2017-07-31,859.39
2017-08-31,894.599
2017-09-29,899.14
2017-10-31,877.909
2017-11-30,853.279
2017-12-29,837.062
2018-01-31,878.465
2018-02-28,916.229
2018-03-30,880.211
2018-04-30,908.367
2018-05-31,897.772
2018-06-29,879.061
2018-07-31,911.32
2018-08-31,924.615
2018-09-28,913.281
2018-10-31,799.093
2018-11-30,759.233
2018-12-31,746.168
2019-01-31,808.796
2019-02-28,836.398
2019-03-29,855.577
2019-04-30,869.939
2019-05-31,825.21
2019-06-28,880.161
2019-07-31,837.059
2019-08-30,819.565
2019-09-30,829.77
2019-10-31,898.721
2019-11-29,878.119
2019-12-31,915.202
2020-01-31,940.555
2020-02-28,883.498
2020-03-31,777.18
2020-04-30,856.216
2020-05-29,951.353
2020-06-30,970.789
2020-07-31,1075.261
2020-08-31,1149.18
2020-09-30,1079.353
2020-10-30,1000.871
2020-11-30,1172.553
2020-12-31,1201.168
2021-01-29,1259.968
2021-02-26,1193.377
2021-03-31,1159.721
2021-04-30,1261.169
2021-05-31,1334.555
2021-06-30,1326.365
2021-07-30,1384.825
2021-08-31,1386.754
2021-09-30,1233.607
2021-10-29,1251.77
2021-11-30,1178.226
2021-12-31,1256.116
2022-01-31,1154.995
2022-02-28,1061.227
2022-03-31,1084.444
2022-04-29,1013.827
2022-05-31,1029.475
2022-06-30,938.524
2022-07-29,1007.004
2022-08-31,946.168
2022-09-30,832.71
2022-10-31,865.11
2022-11-30,978.677
2022-12-30,962.96
2023-01-31,1023.595
2023-02-28,1015.798
2023-03-31,1040.2
2023-04-28,1068.234
2023-05-31,936.048
2023-06-30,957.775
2023-07-31,939.514
2023-08-31,905.243
2023-09-29,845.792
2023-10-31,818.975
2023-11-30,901.087
2023-12-29,968.123
2024-01-31,971.195
2024-02-29,951.668
2024-03-29,965.818
2024-04-30,966.927
2024-05-31,1019.506
2024-06-28,938.715
2024-07-31,939.513
2024-08-30,982.054
2024-09-30,994.095
2024-10-31,875.865
2024-11-29,827.06
2024-12-31,808.673
2025-01-31,859.452
2025-02-28,902.898
2025-03-31,867.671
2025-04-30,913.522
2025-05-30,983.956
2025-06-30,1069.426
2025-07-31,1118.872
2025-08-29,1141.016
