Date,FINLAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,96.94
1994-06-30,95.7
1994-07-29,107.015
1994-08-31,118.208
1994-09-30,121.012
1994-10-31,136.14
1994-11-30,121.842
1994-12-30,127.448
1995-01-31,125.256
1995-02-28,122.167
1995-03-31,122.15
1995-04-28,138.867
1995-05-31,142.486
1995-06-30,162.748
1995-07-31,179.911
1995-08-31,176.223
1995-09-29,183.277
1995-10-31,157.294
1995-11-30,152.648
1995-12-29,126.633
1996-01-31,123.898
1996-02-29,122.067
1996-03-29,120.664
1996-04-30,124.469
1996-05-31,140.475
1996-06-28,128.961
1996-07-31,127.581
1996-08-30,145.449
1996-09-30,148.439
1996-10-31,155.163
1996-11-29,174.202
1996-12-31,181.075
1997-01-31,200.513
1997-02-28,194.406
1997-03-31,193.591
1997-04-30,193.624
1997-05-30,202.794
1997-06-30,218.962
1997-07-31,243.628
1997-08-29,222.855
1997-09-30,263.41
1997-10-31,244.887
1997-11-28,231.509
1997-12-31,213.047
1998-01-30,235.164
1998-02-27,283.038
1998-03-31,297.777
1998-04-30,358.786
1998-05-29,357.847
1998-06-30,383.588
1998-07-31,435.913
1998-08-31,348.335
1998-09-30,367.879
1998-10-30,409.575
1998-11-30,440.356
1998-12-31,530.344
1999-01-29,595.422
1999-02-26,556.013
1999-03-31,625.909
1999-04-30,621.317
1999-05-31,591.531
1999-06-30,693.83
1999-07-30,699.786
1999-08-31,672.612
1999-09-30,720.001
1999-10-29,874.64
1999-11-30,1088.283
1999-12-31,1443.297
2000-01-31,1451.201
2000-02-29,1603.735
2000-03-31,1641.343
2000-04-28,1692.034
2000-05-31,1524.375
2000-06-30,1504.919
2000-07-31,1308.046
2000-08-31,1271.316
2000-09-29,1152.73
2000-10-31,1141.564
2000-11-30,1142.979
2000-12-29,1212.251
2001-01-31,987.047
2001-02-28,633.06
2001-03-30,656.076
2001-04-30,898.206
2001-05-31,788.392
2001-06-29,628.495
2001-07-31,608.41
2001-08-31,443.155
2001-09-28,451.134
2001-10-31,575.344
2001-11-30,640.673
2001-12-31,694.606
2002-01-31,626.963
2002-02-28,589.234
2002-03-29,597.451
2002-04-30,479.93
2002-05-31,433.073
2002-06-28,441.208
2002-07-31,376.802
2002-08-30,400.891
2002-09-30,394.095
2002-10-31,496.102
2002-11-29,562.931
2002-12-31,474.315
2003-01-31,423.803
2003-02-28,404.402
2003-03-31,424.281
2003-04-30,515.542
2003-05-30,547.657
2003-06-30,505.601
2003-07-31,475.166
2003-08-29,506.168
2003-09-30,480.697
2003-10-31,531.638
2003-11-28,564.45
2003-12-31,546.468
2004-01-30,641.363
2004-02-27,680.889
2004-03-31,651.777
2004-04-30,467.672
2004-05-31,463.396
2004-06-30,479.744
2004-07-30,397.141
2004-08-31,401.347
2004-09-30,462.125
2004-10-29,508.819
2004-11-30,547.309
2004-12-31,535.146
2005-01-31,519.058
2005-02-28,558.117
2005-03-31,532.279
2005-04-29,549.746
2005-05-31,582.184
2005-06-30,583.357
2005-07-29,567.106
2005-08-31,558.295
2005-09-30,598.886
2005-10-31,582.017
2005-11-30,593.704
2005-12-30,630.423
2006-01-31,645.685
2006-02-28,660.503
2006-03-31,736.662
2006-04-28,791.318
2006-05-31,744.686
2006-06-30,713.136
2006-07-31,691.756
2006-08-31,727.309
2006-09-29,697.368
2006-10-31,705.525
2006-11-30,723.403
2006-12-29,742.803
2007-01-31,786.446
2007-02-28,791.894
2007-03-30,834.762
2007-04-30,923.157
2007-05-31,1000.0
2007-06-29,1018.912
2007-07-31,1045.805
2007-08-31,1151.491
2007-09-28,1309.17
2007-10-31,1372.541
2007-11-30,1363.72
2007-12-31,1320.191
2008-01-31,1217.428
2008-02-29,1264.781
2008-03-31,1152.434
2008-04-30,1120.254
2008-05-30,1112.745
2008-06-30,973.898
2008-07-31,1023.478
2008-08-29,937.848
2008-09-30,684.586
2008-10-31,554.579
2008-11-28,499.583
2008-12-31,543.1
2009-01-30,449.46
2009-02-27,370.632
2009-03-31,439.439
2009-04-30,553.239
2009-05-29,600.967
2009-06-30,582.078
2009-07-31,561.875
2009-08-31,599.036
2009-09-30,631.944
2009-10-30,572.172
2009-11-30,595.35
2009-12-31,604.149
2010-01-29,589.487
2010-02-26,587.627
2010-03-31,635.529
2010-04-30,649.447
2010-05-31,566.952
2010-06-30,574.546
2010-07-30,652.865
2010-08-31,638.043
2010-09-30,759.083
2010-10-29,776.216
2010-11-30,741.168
2010-12-31,820.15
2011-01-31,836.109
2011-02-28,843.382
2011-03-31,897.622
2011-04-29,971.713
2011-05-31,914.262
2011-06-30,884.8
2011-07-29,780.844
2011-08-31,701.49
2011-09-30,576.037
2011-10-31,674.958
2011-11-30,668.525
2011-12-30,619.582
2012-01-31,673.193
2012-02-29,746.32
2012-03-30,744.962
2012-04-30,759.493
2012-05-31,631.114
2012-06-29,666.67
2012-07-31,649.157
2012-08-31,669.232
2012-09-28,712.132
2012-10-31,744.323
2012-11-30,761.786
2012-12-31,759.169
2013-01-31,845.944
2013-02-28,851.219
2013-03-29,826.975
2013-04-30,893.464
2013-05-31,872.463
2013-06-28,806.35
2013-07-31,816.267
2013-08-30,867.352
2013-09-30,923.241
