Date,KOKUSAI INDEX (WORLD ex JP) IMI IMI (Large+Mid+Small Cap)
1994-05-31,236.354
1994-06-30,230.721
1994-07-29,239.6
1994-08-31,248.758
1994-09-30,242.799
1994-10-31,248.453
1994-11-30,238.325
1994-12-30,240.696
1995-01-31,241.283
1995-02-28,249.376
1995-03-31,257.303
1995-04-28,264.217
1995-05-31,272.348
1995-06-30,277.908
1995-07-31,290.143
1995-08-31,287.416
1995-09-29,297.153
1995-10-31,294.736
1995-11-30,302.372
1995-12-29,308.994
1996-01-31,316.232
1996-02-29,321.918
1996-03-29,325.46
1996-04-30,331.724
1996-05-31,338.828
1996-06-28,338.382
1996-07-31,325.184
1996-08-30,335.731
1996-09-30,348.626
1996-10-31,355.824
1996-11-29,377.164
1996-12-31,377.387
1997-01-31,389.225
1997-02-28,390.969
1997-03-31,383.253
1997-04-30,392.057
1997-05-30,416.521
1997-06-30,434.367
1997-07-31,460.507
1997-08-29,439.987
1997-09-30,469.383
1997-10-31,448.024
1997-11-28,457.822
1997-12-31,468.103
1998-01-30,474.311
1998-02-27,511.097
1998-03-31,540.256
1998-04-30,546.939
1998-05-29,542.291
1998-06-30,552.709
1998-07-31,548.216
1998-08-31,469.274
1998-09-30,481.3
1998-10-30,518.44
1998-11-30,547.79
1998-12-31,576.382
1999-01-29,589.601
1999-02-26,571.036
1999-03-31,587.968
1999-04-30,615.204
1999-05-31,597.696
1999-06-30,621.435
1999-07-30,612.459
1999-08-31,610.989
1999-09-30,600.894
1999-10-29,629.047
1999-11-30,650.21
1999-12-31,706.939
2000-01-31,672.272
2000-02-29,697.066
2000-03-31,724.61
2000-04-28,685.886
2000-05-31,666.898
2000-06-30,695.509
2000-07-31,683.476
2000-08-31,714.219
2000-09-29,678.112
2000-10-31,662.519
2000-11-30,609.961
2000-12-29,633.139
2001-01-31,649.738
2001-02-28,590.443
2001-03-30,546.126
2001-04-30,588.051
2001-05-31,582.38
2001-06-29,568.503
2001-07-31,561.312
2001-08-31,535.391
2001-09-28,482.49
2001-10-31,497.055
2001-11-30,530.02
2001-12-31,540.348
2002-01-31,526.571
2002-02-28,518.694
2002-03-29,543.606
2002-04-30,525.945
2002-05-31,523.451
2002-06-28,491.345
2002-07-31,448.292
2002-08-30,450.189
2002-09-30,400.781
2002-10-31,432.943
2002-11-29,456.809
2002-12-31,435.174
2003-01-31,422.513
2003-02-28,414.139
2003-03-31,415.068
2003-04-30,454.558
2003-05-30,483.557
2003-06-30,490.078
2003-07-31,500.201
2003-08-29,509.105
2003-09-30,509.681
2003-10-31,541.687
2003-11-28,553.517
2003-12-31,585.131
2004-01-30,596.54
2004-02-27,608.687
2004-03-31,598.274
2004-04-30,585.705
2004-05-31,594.259
2004-06-30,605.363
2004-07-30,586.266
2004-08-31,588.28
2004-09-30,603.842
2004-10-29,618.516
2004-11-30,652.895
2004-12-31,677.424
2005-01-31,662.496
2005-02-28,684.205
2005-03-31,670.673
2005-04-29,654.669
2005-05-31,670.645
2005-06-30,679.339
2005-07-29,706.512
2005-08-31,707.385
2005-09-30,719.338
2005-10-31,700.204
2005-11-30,723.256
2005-12-30,733.746
2006-01-31,769.407
2006-02-28,769.455
2006-03-31,788.16
2006-04-28,811.317
2006-05-31,785.879
2006-06-30,786.519
2006-07-31,790.651
2006-08-31,812.134
2006-09-29,823.967
2006-10-31,857.211
2006-11-30,881.75
2006-12-29,899.024
2007-01-31,910.999
2007-02-28,902.933
2007-03-30,923.599
2007-04-30,970.089
2007-05-31,1000.0
2007-06-29,991.057
2007-07-31,965.55
2007-08-31,966.354
2007-09-28,1012.73
2007-10-31,1048.754
2007-11-30,1000.642
2007-12-31,990.148
2008-01-31,911.021
2008-02-29,905.885
2008-03-31,899.176
2008-04-30,944.064
