Date,KOKUSAI INDEX (WORLD ex JP) IMI IMI (Large+Mid+Small Cap)
2001-01-01,614.311
2001-01-02,600.455
2001-01-03,616.416
2001-01-04,615.912
2001-01-05,605.75
2001-01-08,602.87
2001-01-09,601.136
2001-01-10,605.252
2001-01-11,614.512
2001-01-12,614.509
2001-01-15,613.742
2001-01-16,613.386
2001-01-17,617.364
2001-01-18,624.366
2001-01-19,621.233
2001-01-22,621.302
2001-01-23,627.656
2001-01-24,627.166
2001-01-25,624.25
2001-01-26,623.692
2001-01-29,627.097
2001-01-30,631.048
2001-01-31,630.502
2001-02-01,632.546
2001-02-02,622.461
2001-02-05,623.862
2001-02-06,623.289
2001-02-07,617.682
2001-02-08,612.359
2001-02-09,605.715
2001-02-12,612.192
2001-02-13,607.144
2001-02-14,604.045
2001-02-15,606.424
2001-02-16,597.414
2001-02-19,597.711
2001-02-20,587.125
2001-02-21,579.254
2001-02-22,575.923
2001-02-23,571.818
2001-02-26,580.35
2001-02-27,578.426
2001-02-28,573.089
2001-03-01,573.006
2001-03-02,572.409
2001-03-05,574.978
2001-03-06,582.018
2001-03-07,583.623
2001-03-08,583.158
2001-03-09,572.226
2001-03-12,552.255
2001-03-13,552.212
2001-03-14,539.597
2001-03-15,542.263
2001-03-16,529.335
2001-03-19,534.366
2001-03-20,529.885
2001-03-21,519.209
2001-03-22,507.912
2001-03-23,519.723
2001-03-26,529.347
2001-03-27,540.615
2001-03-28,528.214
2001-03-29,525.293
2001-03-30,530.221
2001-04-02,524.431
2001-04-03,508.364
2001-04-04,510.681
2001-04-05,527.633
2001-04-06,521.737
2001-04-09,526.779
2001-04-10,537.728
2001-04-11,537.311
2001-04-12,544.354
2001-04-13,544.352
2001-04-16,541.212
2001-04-17,543.297
2001-04-18,559.545
2001-04-19,568.258
2001-04-20,566.549
2001-04-23,558.146
2001-04-24,554.297
2001-04-25,560.351
2001-04-26,564.274
2001-04-27,569.994
2001-04-30,571.142
2001-05-01,576.318
2001-05-02,577.255
2001-05-03,568.875
2001-05-04,574.976
2001-05-07,574.366
2001-05-08,572.969
2001-05-09,570.216
2001-05-10,572.984
2001-05-11,568.098
2001-05-14,565.099
2001-05-15,568.231
2001-05-16,579.233
2001-05-17,583.071
2001-05-18,584.419
2001-05-21,591.916
2001-05-22,590.993
2001-05-23,582.195
2001-05-24,582.993
2001-05-25,578.271
2001-05-28,579.03
2001-05-29,573.029
2001-05-30,564.965
2001-05-31,565.978
2001-06-01,567.503
2001-06-04,570.265
2001-06-05,577.232
2001-06-06,572.486
2001-06-07,575.039
2001-06-08,571.049
2001-06-11,564.717
2001-06-12,562.814
2001-06-13,561.046
2001-06-14,553.488
2001-06-15,550.886
2001-06-18,546.916
2001-06-19,547.194
2001-06-20,548.626
2001-06-21,552.574
2001-06-22,550.011
2001-06-25,549.183
2001-06-26,546.576
2001-06-27,545.556
2001-06-28,549.737
2001-06-29,552.672
2001-07-02,556.792
2001-07-03,554.542
2001-07-04,553.199
2001-07-05,545.891
2001-07-06,535.985
2001-07-09,538.413
2001-07-10,533.882
2001-07-11,531.861
2001-07-12,540.29
2001-07-13,542.88
2001-07-16,538.62
2001-07-17,540.093
2001-07-18,539.543
2001-07-19,543.265
2001-07-20,541.604
2001-07-23,536.157
2001-07-24,529.498
2001-07-25,532.832
2001-07-26,537.23
2001-07-27,540.544
2001-07-30,542.195
2001-07-31,545.785
2001-08-01,549.345
2001-08-02,551.356
2001-08-03,548.913
2001-08-06,544.116
2001-08-07,544.181
2001-08-08,536.298
2001-08-09,535.186
2001-08-10,536.683
2001-08-13,538.545
2001-08-14,539.368
2001-08-15,538.796
2001-08-16,537.924
2001-08-17,530.929
2001-08-20,532.088
2001-08-21,529.929
2001-08-22,533.414
2001-08-23,531.423
2001-08-24,540.014
2001-08-27,538.43
2001-08-28,531.743
2001-08-29,528.395
2001-08-30,519.783
2001-08-31,520.747
2001-09-03,518.548
2001-09-04,517.551
2001-09-05,513.753
2001-09-06,503.727
2001-09-07,496.151
2001-09-10,494.675
2001-09-11,486.384
2001-09-12,486.788
2001-09-13,488.634
2001-09-14,482.818
2001-09-17,468.905
2001-09-18,465.057
2001-09-19,458.593
2001-09-20,443.32
2001-09-21,432.252
2001-09-24,449.499
2001-09-25,455.039
2001-09-26,454.805
2001-09-27,459.494
2001-09-28,469.398
2001-10-01,466.092
2001-10-02,470.567
2001-10-03,478.508
2001-10-04,482.42
2001-10-05,482.872
2001-10-08,480.198
2001-10-09,478.656
2001-10-10,487.803
2001-10-11,494.252
2001-10-12,492.453
2001-10-15,489.716
2001-10-16,493.964
2001-10-17,490.874
2001-10-18,485.229
2001-10-19,483.509
2001-10-22,489.068
2001-10-23,490.893
2001-10-24,492.207
2001-10-25,494.565
2001-10-26,498.671
2001-10-29,490.521
2001-10-30,482.102
2001-10-31,483.646
2001-11-01,491.78
2001-11-02,492.546
2001-11-05,499.257
2001-11-06,503.966
2001-11-07,505.126
2001-11-08,507.272
2001-11-09,506.353
2001-11-12,503.266
2001-11-13,511.856
2001-11-14,513.857
2001-11-15,514.198
2001-11-16,515.397
2001-11-19,520.259
2001-11-20,516.153
2001-11-21,513.029
2001-11-22,514.828
2001-11-23,517.542
2001-11-26,520.626
2001-11-27,517.74
2001-11-28,510.671
2001-11-29,514.226
2001-11-30,515.857
2001-12-03,511.392
2001-12-04,518.353
2001-12-05,530.375
2001-12-06,531.228
2001-12-07,527.571
2001-12-10,519.687
2001-12-11,519.078
2001-12-12,519.018
2001-12-13,511.543
2001-12-14,511.964
2001-12-17,519.217
2001-12-18,521.41
2001-12-19,520.909
2001-12-20,516.617
2001-12-21,519.096
2001-12-24,518.178
2001-12-25,518.178
2001-12-26,520.203
2001-12-27,526.164
2001-12-28,527.971
