Date,KOKUSAI INDEX (WORLD ex JP) IMI IMI (Large+Mid+Small Cap)
2001-01-01,633.142
2001-01-02,618.857
2001-01-03,635.296
2001-01-04,634.776
2001-01-05,624.302
2001-01-08,621.322
2001-01-09,619.532
2001-01-10,623.768
2001-01-11,633.306
2001-01-12,633.303
2001-01-15,632.512
2001-01-16,632.139
2001-01-17,636.233
2001-01-18,643.446
2001-01-19,640.217
2001-01-22,640.288
2001-01-23,646.835
2001-01-24,646.329
2001-01-25,643.323
2001-01-26,642.748
2001-01-29,646.25
2001-01-30,650.314
2001-01-31,649.738
2001-02-01,651.836
2001-02-02,641.443
2001-02-05,642.884
2001-02-06,642.288
2001-02-07,636.49
2001-02-08,631.004
2001-02-09,624.155
2001-02-12,630.826
2001-02-13,625.616
2001-02-14,622.405
2001-02-15,624.848
2001-02-16,615.562
2001-02-19,615.865
2001-02-20,604.954
2001-02-21,596.838
2001-02-22,593.4
2001-02-23,589.16
2001-02-26,597.946
2001-02-27,595.957
2001-02-28,590.443
2001-03-01,590.354
2001-03-02,589.739
2001-03-05,592.369
2001-03-06,599.619
2001-03-07,601.254
2001-03-08,600.772
2001-03-09,589.506
2001-03-12,568.931
2001-03-13,568.866
2001-03-14,555.868
2001-03-15,558.613
2001-03-16,545.293
2001-03-19,550.47
2001-03-20,545.853
2001-03-21,534.847
2001-03-22,523.199
2001-03-23,535.361
2001-03-26,545.267
2001-03-27,556.861
2001-03-28,544.071
2001-03-29,541.056
2001-03-30,546.126
2001-04-02,540.161
2001-04-03,523.608
2001-04-04,525.979
2001-04-05,543.435
2001-04-06,537.329
2001-04-09,542.519
2001-04-10,553.784
2001-04-11,553.334
2001-04-12,560.572
2001-04-13,560.569
2001-04-16,557.336
2001-04-17,559.47
2001-04-18,576.196
2001-04-19,585.157
2001-04-20,583.394
2001-04-23,574.724
2001-04-24,570.757
2001-04-25,576.981
2001-04-26,581.008
2001-04-27,586.878
2001-04-30,588.051
2001-05-01,593.377
2001-05-02,594.316
2001-05-03,585.673
2001-05-04,591.94
2001-05-07,591.301
2001-05-08,589.855
2001-05-09,587.004
2001-05-10,589.835
2001-05-11,584.783
2001-05-14,581.675
2001-05-15,584.897
2001-05-16,596.199
2001-05-17,600.14
2001-05-18,601.505
2001-05-21,609.18
2001-05-22,608.226
2001-05-23,599.153
2001-05-24,599.972
2001-05-25,595.104
2001-05-28,595.879
2001-05-29,589.683
2001-05-30,581.352
2001-05-31,582.38
2001-06-01,583.936
2001-06-04,586.773
2001-06-05,593.934
2001-06-06,589.03
2001-06-07,591.652
2001-06-08,587.528
2001-06-11,581.004
2001-06-12,579.043
2001-06-13,577.201
2001-06-14,569.413
2001-06-15,566.734
2001-06-18,562.61
2001-06-19,562.894
2001-06-20,564.362
2001-06-21,568.417
2001-06-22,565.78
2001-06-25,564.937
2001-06-26,562.254
2001-06-27,561.19
2001-06-28,565.486
2001-06-29,568.503
2001-07-02,572.734
2001-07-03,570.404
2001-07-04,569.021
2001-07-05,561.489
2001-07-06,551.282
2001-07-09,553.777
2001-07-10,549.111
2001-07-11,547.028
2001-07-12,555.692
2001-07-13,558.355
2001-07-16,553.972
2001-07-17,555.487
2001-07-18,554.913
2001-07-19,558.739
2001-07-20,557.03
2001-07-23,551.427
2001-07-24,544.578
2001-07-25,548.006
2001-07-26,552.528
2001-07-27,555.929
2001-07-30,557.622
2001-07-31,561.312
2001-08-01,564.963
2001-08-02,567.022
2001-08-03,564.498
2001-08-06,559.563
2001-08-07,559.627
2001-08-08,551.508
2001-08-09,550.349
2001-08-10,551.886
2001-08-13,553.788
2001-08-14,554.631
2001-08-15,554.014
2001-08-16,553.113
2001-08-17,545.911
2001-08-20,547.103
2001-08-21,544.882
2001-08-22,548.458
2001-08-23,546.41
2001-08-24,555.239
