Date,KOKUSAI INDEX (WORLD ex JP) IMI IMI (Large+Mid+Small Cap)
1994-05-31,226.447
1994-06-30,221.135
1994-07-29,229.699
1994-08-31,238.491
1994-09-30,232.802
1994-10-31,238.242
1994-11-30,228.548
1994-12-30,230.842
1995-01-31,231.415
1995-02-28,239.19
1995-03-31,246.82
1995-04-28,253.499
1995-05-31,261.442
1995-06-30,266.899
1995-07-31,278.704
1995-08-31,276.099
1995-09-29,285.483
1995-10-31,283.184
1995-11-30,290.54
1995-12-29,296.928
1996-01-31,303.898
1996-02-29,309.38
1996-03-29,312.815
1996-04-30,318.896
1996-05-31,325.878
1996-06-28,325.583
1996-07-31,312.935
1996-08-30,323.104
1996-09-30,335.548
1996-10-31,342.499
1996-11-29,363.058
1996-12-31,363.303
1997-01-31,374.714
1997-02-28,376.417
1997-03-31,369.022
1997-04-30,377.583
1997-05-30,401.293
1997-06-30,418.632
1997-07-31,443.879
1997-08-29,424.119
1997-09-30,452.497
1997-10-31,431.924
1997-11-28,441.386
1997-12-31,451.322
1998-01-30,457.321
1998-02-27,492.813
1998-03-31,520.972
1998-04-30,527.515
1998-05-29,523.194
1998-06-30,533.428
1998-07-31,529.151
1998-08-31,452.968
1998-09-30,464.602
1998-10-30,500.465
1998-11-30,528.813
1998-12-31,556.43
1999-01-29,569.257
1999-02-26,551.432
1999-03-31,567.925
1999-04-30,594.369
1999-05-31,577.699
1999-06-30,600.84
1999-07-30,592.267
1999-08-31,590.968
1999-09-30,581.317
1999-10-29,608.62
1999-11-30,629.217
1999-12-31,684.216
2000-01-31,650.731
2000-02-29,674.844
2000-03-31,701.645
2000-04-28,664.317
2000-05-31,646.205
2000-06-30,674.091
2000-07-31,662.551
2000-08-31,692.507
2000-09-29,657.599
2000-10-31,642.569
2000-11-30,591.733
2000-12-29,614.309
2001-01-31,630.502
2001-02-28,573.089
2001-03-30,530.221
2001-04-30,571.142
2001-05-31,565.978
2001-06-29,552.672
2001-07-31,545.785
2001-08-31,520.747
2001-09-28,469.398
2001-10-31,483.646
2001-11-30,515.857
2001-12-31,526.019
2002-01-31,512.703
2002-02-28,505.163
2002-03-29,529.57
2002-04-30,512.57
2002-05-31,510.482
2002-06-28,479.365
2002-07-31,437.466
2002-08-30,439.488
2002-09-30,391.394
2002-10-31,422.937
2002-11-29,446.416
2002-12-31,425.435
2003-01-31,413.172
2003-02-28,405.153
2003-03-31,406.261
2003-04-30,445.198
2003-05-30,473.924
2003-06-30,480.562
2003-07-31,490.648
2003-08-29,499.567
2003-09-30,500.293
2003-10-31,531.873
2003-11-28,543.684
2003-12-31,574.93
2004-01-30,586.272
2004-02-27,598.43
2004-03-31,588.428
2004-04-30,576.393
2004-05-31,585.225
2004-06-30,596.433
2004-07-30,577.78
2004-08-31,580.006
2004-09-30,595.544
2004-10-29,610.168
2004-11-30,644.364
2004-12-31,668.791
2005-01-31,654.183
2005-02-28,675.923
2005-03-31,662.829
2005-04-29,647.476
2005-05-31,663.79
2005-06-30,672.713
2005-07-29,699.784
2005-08-31,700.976
2005-09-30,713.023
2005-10-31,694.215
2005-11-30,717.462
2005-12-30,728.079
2006-01-31,763.616
2006-02-28,763.998
2006-03-31,782.918
2006-04-28,806.353
2006-05-31,781.826
2006-06-30,782.821
2006-07-31,787.119
2006-08-31,808.921
2006-09-29,820.95
2006-10-31,854.258
2006-11-30,879.17
2006-12-29,896.661
2007-01-31,908.799
2007-02-28,901.14
2007-03-30,922.153
2007-04-30,969.139
2007-05-31,1000.0
2007-06-29,991.449
2007-07-31,966.152
2007-08-31,967.392
2007-09-28,1014.143
2007-10-31,1050.46
2007-11-30,1002.758
2007-12-31,992.568
2008-01-31,913.483
2008-02-29,908.793
2008-03-31,902.492
2008-04-30,948.321
2008-05-30,966.187
2008-06-30,888.024
2008-07-31,868.316
2008-08-29,860.702
2008-09-30,756.238
2008-10-31,605.382
2008-11-28,560.744
2008-12-31,577.459
2009-01-30,526.147
2009-02-27,474.206
2009-03-31,514.069
2009-04-30,577.232
2009-05-29,628.936
2009-06-30,625.468
2009-07-31,682.551
2009-08-31,712.825
2009-09-30,748.235
2009-10-30,733.614
2009-11-30,766.916
2009-12-31,785.001
2010-01-29,749.403
2010-02-26,761.404
2010-03-31,811.728
2010-04-30,816.567
2010-05-31,737.58
2010-06-30,709.736
2010-07-30,771.206
2010-08-31,740.468
2010-09-30,816.252
2010-10-29,848.98
2010-11-30,830.532
2010-12-31,893.918
2011-01-31,914.444
2011-02-28,946.64
2011-03-31,949.026
2011-04-29,992.997
2011-05-31,973.019
2011-06-30,953.964
2011-07-29,930.936
2011-08-31,864.505
2011-09-30,780.04
2011-10-31,872.801
2011-11-30,853.602
2011-12-30,851.628
2012-01-31,898.312
2012-02-29,942.653
2012-03-30,954.558
2012-04-30,946.749
2012-05-31,865.727
2012-06-29,908.531
2012-07-31,921.87
2012-08-31,949.593
2012-09-28,977.392
2012-10-31,972.329
2012-11-30,984.193
2012-12-31,1002.253
2013-01-31,1056.015
2013-02-28,1056.676
2013-03-29,1080.522
2013-04-30,1106.609
2013-05-31,1116.727
2013-06-28,1085.864
2013-07-31,1150.324
2013-08-30,1126.589
2013-09-30,1182.26
2013-10-31,1232.188
2013-11-29,1255.498
2013-12-31,1284.66
2014-01-31,1240.414
2014-02-28,1310.672
2014-03-31,1313.475
2014-04-30,1326.51
2014-05-30,1349.955
2014-06-30,1374.471
2014-07-31,1345.008
2014-08-29,1382.31
2014-09-30,1337.299
2014-10-31,1351.055
2014-11-28,1378.07
2014-12-31,1360.046
2015-01-30,1330.446
2015-02-27,1409.908
2015-03-31,1388.064
2015-04-30,1417.171
2015-05-29,1424.273
2015-06-30,1393.148
2015-07-31,1416.048
2015-08-31,1323.978
2015-09-30,1277.991
2015-10-30,1373.542
2015-11-30,1370.793
2015-12-31,1342.76
2016-01-29,1261.947
2016-02-29,1258.117
2016-03-31,1349.491
2016-04-29,1369.279
2016-05-31,1381.513
2016-06-30,1366.535
2016-07-29,1424.46
2016-08-31,1427.114
2016-09-30,1434.774
2016-10-31,1398.803
2016-11-30,1431.846
2016-12-30,1468.525
2017-01-31,1502.131
2017-02-28,1545.107
2017-03-31,1563.957
2017-04-28,1589.643
2017-05-31,1619.753
2017-06-30,1628.399
2017-07-31,1668.004
2017-08-31,1670.466
2017-09-29,1713.333
2017-10-31,1740.705
2017-11-30,1777.742
2017-12-29,1803.728
2018-01-31,1896.112
2018-02-28,1813.468
2018-03-30,1780.399
2018-04-30,1802.499
2018-05-31,1823.909
2018-06-29,1827.81
2018-07-31,1885.482
2018-08-31,1914.588
2018-09-28,1916.115
2018-10-31,1771.022
2018-11-30,1791.39
2018-12-31,1650.615
2019-01-31,1788.505
2019-02-28,1850.13
2019-03-29,1871.637
2019-04-30,1941.988
2019-05-31,1826.395
2019-06-28,1950.96
2019-07-31,1961.688
2019-08-30,1916.944
2019-09-30,1954.968
2019-10-31,2001.389
2019-11-29,2063.634
2019-12-31,2129.53
2020-01-31,2113.146
2020-02-28,1935.681
2020-03-31,1650.081
2020-04-30,1845.341
2020-05-29,1938.464
2020-06-30,1995.71
2020-07-31,2101.743
2020-08-31,2238.697
2020-09-30,2156.04
2020-10-30,2096.123
2020-11-30,2374.658
2020-12-31,2486.164
2021-01-29,2472.224
2021-02-26,2547.402
2021-03-31,2633.164
2021-04-30,2767.935
2021-05-31,2807.847
2021-06-30,2849.044
2021-07-30,2897.488
2021-08-31,2969.146
2021-09-30,2836.277
2021-10-29,3010.675
2021-11-30,2937.105
2021-12-31,3066.527
2022-01-31,2895.49
2022-02-28,2829.381
2022-03-31,2909.766
2022-04-29,2671.68
2022-05-31,2672.234
2022-06-30,2434.691
2022-07-29,2636.497
2022-08-31,2527.185
2022-09-30,2290.886
2022-10-31,2466.425
2022-11-30,2632.351
2022-12-30,2515.042
2023-01-31,2703.026
2023-02-28,2642.895
2023-03-31,2706.007
2023-04-28,2751.491
2023-05-31,2716.17
2023-06-30,2886.891
2023-07-31,2990.12
2023-08-31,2914.38
2023-09-29,2782.099
2023-10-31,2694.912
2023-11-30,2951.193
2023-12-29,3113.558
2024-01-31,3131.461
2024-02-29,3266.12
2024-03-29,3375.456
2024-04-30,3248.926
2024-05-31,3404.306
2024-06-28,3466.474
2024-07-31,3536.751
2024-08-30,3628.069
2024-09-30,3700.201
2024-10-31,3630.461
2024-11-29,3815.056
2024-12-31,3697.629
2025-01-31,3833.25
2025-02-28,3797.115
2025-03-31,3620.64
2025-04-30,3643.564
2025-05-30,3866.459
2025-06-30,4042.396
2025-07-31,4101.209
2025-08-29,4209.383
