Date,SPAIN GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,103.557
1975-02-28,118.644
1975-03-31,112.675
1975-04-30,114.037
1975-05-30,109.63
1975-06-30,101.112
1975-07-31,95.936
1975-08-29,99.13
1975-09-30,92.963
1975-10-31,94.597
1975-11-28,107.904
1975-12-31,105.849
1976-01-30,104.678
1976-02-27,89.684
1976-03-31,79.414
1976-04-30,92.622
1976-05-31,91.411
1976-06-30,84.804
1976-07-30,85.078
1976-08-31,81.658
1976-09-30,79.128
1976-10-29,70.764
1976-11-30,76.537
1976-12-31,68.723
1977-01-31,64.223
1977-02-28,69.194
1977-03-31,65.543
1977-04-29,66.012
1977-05-31,61.735
1977-06-30,60.571
1977-07-29,41.702
1977-08-31,40.215
1977-09-30,33.96
1977-10-31,34.832
1977-11-30,36.602
1977-12-30,39.703
1978-01-31,37.568
1978-02-28,35.431
1978-03-31,36.809
1978-04-28,41.157
1978-05-31,42.282
1978-06-30,42.69
1978-07-31,47.96
1978-08-31,49.089
1978-09-29,48.15
1978-10-31,50.562
1978-11-30,45.882
1978-12-29,45.946
1979-01-31,44.347
1979-02-28,47.287
1979-03-30,54.203
1979-04-30,53.355
1979-05-31,52.771
1979-06-29,52.521
1979-07-31,49.007
1979-08-31,50.341
1979-09-28,48.315
1979-10-31,43.222
1979-11-30,40.622
1979-12-31,42.998
1980-01-31,41.771
1980-02-29,45.107
1980-03-31,40.769
1980-04-30,38.912
1980-05-30,40.977
1980-06-30,42.566
1980-07-31,43.242
1980-08-29,43.294
1980-09-30,45.065
1980-10-31,45.393
1980-11-28,43.731
1980-12-31,42.533
1981-01-30,46.076
1981-02-27,46.421
1981-03-31,49.803
1981-04-30,50.097
1981-05-29,49.254
1981-06-30,52.785
1981-07-31,52.799
1981-08-31,56.143
1981-09-30,54.331
1981-10-30,49.361
1981-11-30,52.977
1981-12-31,50.109
1982-01-29,51.854
1982-02-26,50.216
1982-03-31,47.099
1982-04-30,48.027
1982-05-31,46.603
1982-06-30,43.17
1982-07-30,42.278
1982-08-31,39.939
1982-09-30,34.379
1982-10-29,34.234
1982-11-30,35.807
1982-12-31,32.05
1983-01-31,31.157
1983-02-28,30.25
1983-03-31,33.017
1983-04-29,31.804
1983-05-31,32.574
1983-06-30,30.499
1983-07-29,30.797
1983-08-31,27.937
1983-09-30,29.273
1983-10-31,30.351
1983-11-30,30.813
1983-12-30,30.418
1984-01-31,34.422
1984-02-29,37.764
1984-03-30,39.112
1984-04-30,37.481
1984-05-31,37.924
1984-06-29,38.796
1984-07-31,40.302
1984-08-31,39.047
1984-09-28,38.26
1984-10-31,36.962
1984-11-30,35.802
1984-12-31,33.777
1985-01-31,36.115
1985-02-28,33.843
1985-03-29,35.818
1985-04-30,36.159
1985-05-31,36.45
1985-06-28,36.954
1985-07-31,41.049
1985-08-30,40.67
1985-09-30,40.706
1985-10-31,45.014
1985-11-29,49.597
1985-12-31,51.156
1986-01-31,61.333
1986-02-28,77.477
1986-03-31,99.112
1986-04-30,110.903
1986-05-30,99.887
1986-06-30,100.075
1986-07-31,108.912
1986-08-29,128.066
1986-09-30,131.86
1986-10-31,121.102
1986-11-28,133.536
1986-12-31,147.307
1987-01-30,181.94
1987-02-27,188.704
1987-03-31,178.025
1987-04-30,180.987
1987-05-29,177.576
1987-06-30,180.833
1987-07-31,206.593
1987-08-31,222.93
1987-09-30,237.692
1987-10-30,187.734
1987-11-30,201.428
1987-12-31,225.764
1988-01-29,230.241
1988-02-29,231.367
1988-03-31,247.948
1988-04-29,250.938
1988-05-31,260.739
1988-06-30,253.954
1988-07-29,247.356
1988-08-31,239.354
1988-09-30,239.252
1988-10-31,263.088
1988-11-30,269.886
1988-12-30,263.341
1989-01-31,257.687
1989-02-28,251.871
1989-03-31,255.316
1989-04-28,260.449
1989-05-31,244.865
1989-06-30,249.446
1989-07-31,263.496
1989-08-31,270.394
1989-09-29,275.881
1989-10-31,262.147
1989-11-30,261.402
1989-12-29,268.995
1990-01-31,245.17
1990-02-28,235.128
1990-03-30,212.57
1990-04-30,233.188
1990-05-31,248.411
1990-06-29,265.029
1990-07-31,282.424
1990-08-31,248.923
1990-09-28,193.052
1990-10-31,228.09
1990-11-30,221.202
1990-12-31,212.209
1991-01-31,230.738
1991-02-28,259.853
1991-03-29,252.743
1991-04-30,241.108
1991-05-31,252.516
1991-06-28,228.177
1991-07-31,233.68
1991-08-30,240.081
1991-09-30,250.195
1991-10-31,234.037
1991-11-29,219.366
1991-12-31,231.129
1992-01-31,237.168
1992-02-28,245.057
1992-03-31,235.974
1992-04-30,232.904
1992-05-29,252.061
1992-06-30,239.61
1992-07-31,217.581
1992-08-31,208.787
1992-09-30,180.623
1992-10-30,175.722
1992-11-30,188.141
1992-12-31,191.947
1993-01-29,199.903
1993-02-26,201.369
1993-03-31,212.648
1993-04-30,217.704
1993-05-31,213.031
1993-06-30,212.516
1993-07-30,203.191
1993-08-31,245.199
1993-09-30,236.486
1993-10-29,255.563
1993-11-30,237.266
1993-12-31,254.595
