Date,SPAIN GROWTH Standard (Large+Mid Cap)
2001-01-01,514.758
2001-01-02,513.83
2001-01-03,518.66
2001-01-04,554.577
2001-01-05,563.953
2001-01-08,560.368
2001-01-09,550.369
2001-01-10,550.987
2001-01-11,566.027
2001-01-12,584.999
2001-01-15,581.712
2001-01-16,567.905
2001-01-17,588.583
2001-01-18,596.253
2001-01-19,579.901
2001-01-22,584.472
2001-01-23,593.544
2001-01-24,584.228
2001-01-25,579.035
2001-01-26,576.635
2001-01-29,566.235
2001-01-30,568.19
2001-01-31,575.983
2001-02-01,583.102
2001-02-02,561.163
2001-02-05,565.491
2001-02-06,561.496
2001-02-07,557.896
2001-02-08,556.236
2001-02-09,550.475
2001-02-12,561.571
2001-02-13,549.975
2001-02-14,522.026
2001-02-15,525.194
2001-02-16,532.341
2001-02-19,540.102
2001-02-20,518.526
2001-02-21,513.403
2001-02-22,499.681
2001-02-23,496.851
2001-02-26,510.194
2001-02-27,523.491
2001-02-28,524.553
2001-03-01,529.029
2001-03-02,541.222
2001-03-05,547.422
2001-03-06,561.316
2001-03-07,559.299
2001-03-08,550.202
2001-03-09,543.678
2001-03-12,524.6
2001-03-13,520.728
2001-03-14,510.652
2001-03-15,512.318
2001-03-16,495.544
2001-03-19,495.011
2001-03-20,490.559
2001-03-21,466.066
2001-03-22,435.294
2001-03-23,456.841
2001-03-26,479.591
2001-03-27,496.747
2001-03-28,483.321
2001-03-29,484.683
2001-03-30,490.323
2001-04-02,489.578
2001-04-03,471.56
2001-04-04,491.134
2001-04-05,500.503
2001-04-06,503.408
2001-04-09,510.541
2001-04-10,519.65
2001-04-11,519.498
2001-04-12,525.701
2001-04-13,525.701
2001-04-16,520.317
2001-04-17,509.743
2001-04-18,522.383
2001-04-19,536.062
2001-04-20,523.954
2001-04-23,495.991
2001-04-24,501.142
2001-04-25,497.454
2001-04-26,514.13
2001-04-27,517.182
2001-04-30,521.432
2001-05-01,524.196
2001-05-02,517.122
2001-05-03,507.666
2001-05-04,513.836
2001-05-07,513.047
2001-05-08,514.379
2001-05-09,513.224
2001-05-10,520.777
2001-05-11,508.454
2001-05-14,499.944
2001-05-15,511.231
2001-05-16,505.356
2001-05-17,505.722
2001-05-18,503.843
2001-05-21,502.581
2001-05-22,497.093
2001-05-23,493.241
2001-05-24,488.297
2001-05-25,478.97
2001-05-28,486.434
2001-05-29,478.503
2001-05-30,472.992
2001-05-31,472.829
2001-06-01,463.788
2001-06-04,476.008
2001-06-05,477.122
2001-06-06,471.221
2001-06-07,470.757
2001-06-08,475.529
2001-06-11,471.685
2001-06-12,465.621
2001-06-13,471.259
2001-06-14,472.767
2001-06-15,465.072
2001-06-18,435.838
2001-06-19,434.658
2001-06-20,430.01
2001-06-21,424.909
2001-06-22,427.072
2001-06-25,433.437
2001-06-26,423.073
2001-06-27,419.621
2001-06-28,419.588
2001-06-29,418.465
2001-07-02,434.306
2001-07-03,431.51
2001-07-04,421.38
2001-07-05,411.477
2001-07-06,394.964
2001-07-09,397.64
2001-07-10,401.711
2001-07-11,389.027
2001-07-12,377.765
2001-07-13,384.87
2001-07-16,385.416
2001-07-17,388.262
2001-07-18,386.31
2001-07-19,398.566
2001-07-20,398.636
2001-07-23,398.678
2001-07-24,398.543
2001-07-25,388.502
2001-07-26,394.401
2001-07-27,391.606
2001-07-30,406.194
2001-07-31,410.565
2001-08-01,416.372
2001-08-02,419.607
2001-08-03,418.653
2001-08-06,419.721
2001-08-07,413.569
2001-08-08,403.499
2001-08-09,398.179
2001-08-10,392.12
2001-08-13,406.615
2001-08-14,414.336
2001-08-15,420.661
2001-08-16,413.936
2001-08-17,405.07
2001-08-20,401.678
2001-08-21,399.597
2001-08-22,408.659
2001-08-23,413.035
2001-08-24,424.576
2001-08-27,422.324
2001-08-28,411.362
2001-08-29,416.576
2001-08-30,403.983
2001-08-31,405.922
2001-09-03,393.666
2001-09-04,397.117
2001-09-05,383.464
2001-09-06,368.562
2001-09-07,360.183
2001-09-10,358.944
2001-09-11,344.197
2001-09-12,345.752
2001-09-13,348.112
2001-09-14,323.762
2001-09-17,345.983
2001-09-18,344.971
2001-09-19,344.878
2001-09-20,336.829
2001-09-21,325.898
2001-09-24,347.189
2001-09-25,355.225
2001-09-26,356.268
2001-09-27,365.176
2001-09-28,367.351
2001-10-01,360.631
2001-10-02,366.102
2001-10-03,362.572
2001-10-04,371.139
2001-10-05,354.098
