Date,SPAIN GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,103.578
1975-02-28,118.687
1975-03-31,112.74
1975-04-30,114.125
1975-05-30,109.739
1975-06-30,101.238
1975-07-31,96.081
1975-08-29,99.304
1975-09-30,93.15
1975-10-31,94.812
1975-11-28,108.17
1975-12-31,106.135
1976-01-30,104.987
1976-02-27,89.972
1976-03-31,79.698
1976-04-30,92.974
1976-05-31,91.784
1976-06-30,85.178
1976-07-30,85.479
1976-08-31,82.07
1976-09-30,79.554
1976-10-29,71.173
1976-11-30,77.004
1976-12-31,69.174
1977-01-31,64.674
1977-02-28,69.706
1977-03-31,66.059
1977-04-29,66.56
1977-05-31,62.28
1977-06-30,61.137
1977-07-29,42.122
1977-08-31,40.648
1977-09-30,34.356
1977-10-31,35.265
1977-11-30,37.083
1977-12-30,40.252
1978-01-31,38.117
1978-02-28,35.979
1978-03-31,37.405
1978-04-28,41.849
1978-05-31,43.021
1978-06-30,43.465
1978-07-31,48.859
1978-08-31,50.041
1978-09-29,49.116
1978-10-31,51.613
1978-11-30,46.871
1978-12-29,46.972
1979-01-31,45.374
1979-02-28,48.415
1979-03-30,55.527
1979-04-30,54.698
1979-05-31,54.137
1979-06-29,53.92
1979-07-31,50.353
1979-08-31,51.763
1979-09-28,49.72
1979-10-31,44.522
1979-11-30,41.886
1979-12-31,44.374
1980-01-31,43.148
1980-02-29,46.631
1980-03-31,42.184
1980-04-30,40.303
1980-05-30,42.479
1980-06-30,44.163
1980-07-31,44.904
1980-08-29,44.999
1980-09-30,46.88
1980-10-31,47.262
1980-11-28,45.573
1980-12-31,44.366
1981-01-30,48.099
1981-02-27,48.498
1981-03-31,52.072
1981-04-30,52.418
1981-05-29,51.575
1981-06-30,55.308
1981-07-31,55.359
1981-08-31,58.903
1981-09-30,57.043
1981-10-30,51.87
1981-11-30,55.708
1981-12-31,52.734
1982-01-29,54.607
1982-02-26,52.921
1982-03-31,49.675
1982-04-30,50.693
1982-05-31,49.232
1982-06-30,45.649
1982-07-30,44.752
1982-08-31,42.326
1982-09-30,36.488
1982-10-29,36.378
1982-11-30,38.09
1982-12-31,34.138
1983-01-31,33.228
1983-02-28,32.295
1983-03-31,35.281
1983-04-29,34.023
1983-05-31,34.881
1983-06-30,32.697
1983-07-29,33.051
1983-08-31,30.023
1983-09-30,31.489
1983-10-31,32.68
1983-11-30,33.21
1983-12-30,32.822
1984-01-31,37.173
1984-02-29,40.818
1984-03-30,42.317
1984-04-30,40.594
1984-05-31,41.114
1984-06-29,42.098
1984-07-31,43.773
1984-08-31,42.455
1984-09-28,41.641
1984-10-31,40.274
1984-11-30,39.053
1984-12-31,36.88
1985-01-31,39.464
1985-02-28,37.013
1985-03-29,39.209
1985-04-30,39.617
1985-05-31,39.969
1985-06-28,40.558
1985-07-31,45.088
1985-08-30,44.71
1985-09-30,44.787
1985-10-31,49.563
1985-11-29,54.645
1985-12-31,56.402
1986-01-31,67.658
1986-02-28,85.506
1986-03-31,109.418
1986-04-30,122.483
1986-05-30,110.367
1986-06-30,110.627
1986-07-31,120.444
1986-08-29,141.672
1986-09-30,145.921
1986-10-31,134.069
1986-11-28,147.885
1986-12-31,163.188
1987-01-30,201.603
1987-02-27,209.156
1987-03-31,197.385
1987-04-30,200.735
1987-05-29,197.019
1987-06-30,200.699
1987-07-31,229.348
1987-08-31,247.554
1987-09-30,264.003
1987-10-30,208.608
1987-11-30,223.863
1987-12-31,250.978
1988-01-29,256.027
1988-02-29,257.365
1988-03-31,275.895
1988-04-29,279.31
1988-05-31,290.301
