Date,BELGIUM LARGE VALUE Large Cap
2001-01-01,417.671
2001-01-02,422.99
2001-01-03,422.223
2001-01-04,417.963
2001-01-05,421.343
2001-01-08,416.574
2001-01-09,414.131
2001-01-10,411.748
2001-01-11,419.149
2001-01-12,419.356
2001-01-15,413.959
2001-01-16,411.21
2001-01-17,407.941
2001-01-18,411.377
2001-01-19,404.302
2001-01-22,407.128
2001-01-23,412.918
2001-01-24,406.261
2001-01-25,403.516
2001-01-26,403.854
2001-01-29,402.841
2001-01-30,405.689
2001-01-31,408.342
2001-02-01,414.528
2001-02-02,413.127
2001-02-05,414.151
2001-02-06,410.366
2001-02-07,410.454
2001-02-08,405.091
2001-02-09,406.226
2001-02-12,408.645
2001-02-13,405.501
2001-02-14,403.006
2001-02-15,397.519
2001-02-16,401.001
2001-02-19,401.255
2001-02-20,395.014
2001-02-21,393.149
2001-02-22,387.386
2001-02-23,387.171
2001-02-26,389.451
2001-02-27,395.8
2001-02-28,399.893
2001-03-01,401.577
2001-03-02,404.076
2001-03-05,401.013
2001-03-06,400.308
2001-03-07,398.689
2001-03-08,397.896
2001-03-09,400.09
2001-03-12,394.335
2001-03-13,382.806
2001-03-14,373.326
2001-03-15,367.42
2001-03-16,353.069
2001-03-19,347.613
2001-03-20,354.707
2001-03-21,346.108
2001-03-22,328.169
2001-03-23,339.559
2001-03-26,356.269
2001-03-27,358.253
2001-03-28,351.766
2001-03-29,350.009
2001-03-30,360.46
2001-04-02,365.265
2001-04-03,361.868
2001-04-04,364.988
2001-04-05,367.783
2001-04-06,367.602
2001-04-09,374.785
2001-04-10,371.834
2001-04-11,365.712
2001-04-12,364.12
2001-04-13,364.12
2001-04-16,360.391
2001-04-17,359.707
2001-04-18,359.639
2001-04-19,365.672
2001-04-20,365.894
2001-04-23,359.069
2001-04-24,360.919
2001-04-25,365.325
2001-04-26,368.616
2001-04-27,366.52
2001-04-30,363.575
2001-05-01,365.502
2001-05-02,366.279
2001-05-03,361.741
2001-05-04,356.434
2001-05-07,356.966
2001-05-08,353.413
2001-05-09,353.907
2001-05-10,360.322
2001-05-11,358.11
2001-05-14,355.051
2001-05-15,355.91
2001-05-16,357.253
2001-05-17,358.357
2001-05-18,359.533
2001-05-21,356.798
2001-05-22,355.029
2001-05-23,353.952
2001-05-24,354.982
2001-05-25,348.273
2001-05-28,350.682
2001-05-29,346.045
2001-05-30,351.335
2001-05-31,342.832
2001-06-01,342.29
2001-06-04,342.755
2001-06-05,348.184
2001-06-06,351.823
2001-06-07,351.034
2001-06-08,350.283
2001-06-11,344.839
2001-06-12,345.403
2001-06-13,348.207
2001-06-14,350.489
2001-06-15,348.994
2001-06-18,349.608
2001-06-19,348.037
2001-06-20,350.547
2001-06-21,352.221
2001-06-22,351.722
2001-06-25,353.991
2001-06-26,352.675
2001-06-27,353.281
2001-06-28,351.205
2001-06-29,354.322
2001-07-02,359.053
2001-07-03,357.862
2001-07-04,358.633
2001-07-05,357.29
2001-07-06,357.902
2001-07-09,356.617
2001-07-10,359.768
2001-07-11,361.24
2001-07-12,362.47
2001-07-13,366.136
2001-07-16,368.558
2001-07-17,369.349
2001-07-18,377.574
2001-07-19,380.062
2001-07-20,379.014
2001-07-23,376.691
2001-07-24,378.165
2001-07-25,376.37
2001-07-26,371.942
2001-07-27,372.379
2001-07-30,374.329
2001-07-31,374.365
2001-08-01,378.286
2001-08-02,378.403
2001-08-03,378.569
2001-08-06,376.804
2001-08-07,373.266
2001-08-08,372.595
2001-08-09,372.187
2001-08-10,374.727
2001-08-13,375.135
2001-08-14,375.279
2001-08-15,379.623
2001-08-16,379.572
2001-08-17,376.056
2001-08-20,375.468
2001-08-21,376.607
2001-08-22,379.83
2001-08-23,379.938
2001-08-24,382.692
2001-08-27,382.182
2001-08-28,381.464
2001-08-29,383.197
2001-08-30,381.401
2001-08-31,382.203
2001-09-03,378.735
2001-09-04,373.045
2001-09-05,372.369
2001-09-06,367.199
2001-09-07,361.263
2001-09-10,353.859
2001-09-11,334.82
2001-09-12,338.301
2001-09-13,340.34
2001-09-14,330.398
2001-09-17,329.772
2001-09-18,330.522
2001-09-19,331.807
2001-09-20,319.395
2001-09-21,304.433
2001-09-24,319.49
2001-09-25,329.977
2001-09-26,330.409
2001-09-27,337.569
2001-09-28,347.793
2001-10-01,345.619
2001-10-02,351.43
2001-10-03,350.273
2001-10-04,354.835
2001-10-05,354.487
2001-10-08,352.935
2001-10-09,352.167
2001-10-10,353.544
2001-10-11,351.842
2001-10-12,347.206
2001-10-15,339.875
2001-10-16,337.932
2001-10-17,334.154
2001-10-18,332.354
2001-10-19,325.351
2001-10-22,328.191
2001-10-23,333.634
2001-10-24,336.507
2001-10-25,333.913
2001-10-26,336.941
2001-10-29,338.952
2001-10-30,335.121
2001-10-31,335.098
2001-11-01,336.643
2001-11-02,338.075
2001-11-05,340.136
2001-11-06,340.543
2001-11-07,346.701
2001-11-08,348.661
2001-11-09,339.748
2001-11-12,335.237
2001-11-13,338.061
2001-11-14,343.211
2001-11-15,341.911
2001-11-16,342.291
2001-11-19,343.603
2001-11-20,343.717
2001-11-21,341.393
2001-11-22,340.798
2001-11-23,337.633
2001-11-26,334.488
2001-11-27,328.583
2001-11-28,327.118
2001-11-29,329.037
2001-11-30,332.963
2001-12-03,326.521
2001-12-04,325.901
2001-12-05,328.385
2001-12-06,332.118
2001-12-07,330.815
2001-12-10,327.811
2001-12-11,327.497
2001-12-12,329.489
2001-12-13,329.024
2001-12-14,332.249
2001-12-17,334.608
2001-12-18,336.311
2001-12-19,338.609
2001-12-20,332.967
2001-12-21,334.312
2001-12-24,335.664
2001-12-25,335.664
2001-12-26,335.951
2001-12-27,348.0
2001-12-28,348.481
2001-12-31,351.879
2002-01-01,351.879
2002-01-02,348.819
2002-01-03,346.015
2002-01-04,338.905
2002-01-07,334.48
2002-01-08,332.182
2002-01-09,332.573
2002-01-10,333.54
2002-01-11,331.089
2002-01-14,326.273
2002-01-15,331.109
2002-01-16,326.128
2002-01-17,335.283
2002-01-18,337.72
2002-01-21,336.351
2002-01-22,337.48
2002-01-23,341.091
2002-01-24,344.83
2002-01-25,336.906
2002-01-28,338.627
2002-01-29,336.276
2002-01-30,327.109
2002-01-31,330.31
2002-02-01,330.652
2002-02-04,334.27
2002-02-05,328.419
2002-02-06,326.906
2002-02-07,330.148
2002-02-08,331.047
2002-02-11,337.792
2002-02-12,336.377
2002-02-13,335.744
2002-02-14,338.21
2002-02-15,336.157
2002-02-18,331.413
2002-02-19,320.957
2002-02-20,317.871
2002-02-21,317.916
2002-02-22,319.159
2002-02-25,320.389
2002-02-26,321.584
2002-02-27,322.952
2002-02-28,327.021
2002-03-01,330.602
2002-03-04,334.222
2002-03-05,332.373
2002-03-06,332.131
2002-03-07,331.597
2002-03-08,328.691
