Date,BELGIUM LARGE VALUE Large Cap
1994-05-31,165.023
1994-06-30,164.427
1994-07-29,172.561
1994-08-31,173.26
1994-09-30,162.518
1994-10-31,169.234
1994-11-30,167.953
1994-12-30,169.856
1995-01-31,167.938
1995-02-28,174.105
1995-03-31,186.599
1995-04-28,198.539
1995-05-31,204.036
1995-06-30,208.268
1995-07-31,214.908
1995-08-31,201.875
1995-09-29,209.221
1995-10-31,211.063
1995-11-30,215.019
1995-12-29,229.651
1996-01-31,236.121
1996-02-29,231.364
1996-03-29,224.582
1996-04-30,226.991
1996-05-31,233.868
1996-06-28,237.28
1996-07-31,240.648
1996-08-30,242.482
1996-09-30,245.655
1996-10-31,247.616
1996-11-29,253.887
1996-12-31,255.995
1997-01-31,260.788
1997-02-28,265.676
1997-03-31,270.88
1997-04-30,275.878
1997-05-30,289.725
1997-06-30,294.259
1997-07-31,297.417
1997-08-29,274.882
1997-09-30,290.868
1997-10-31,291.353
1997-11-28,295.43
1997-12-31,302.511
1998-01-30,311.637
1998-02-27,327.842
1998-03-31,355.601
1998-04-30,390.677
1998-05-29,430.937
1998-06-30,462.3
1998-07-31,474.516
1998-08-31,427.724
1998-09-30,417.91
1998-10-30,440.421
1998-11-30,451.287
1998-12-31,500.749
1999-01-29,483.144
1999-02-26,471.293
1999-03-31,441.376
1999-04-30,434.636
1999-05-31,413.252
1999-06-30,414.128
1999-07-30,421.456
1999-08-31,442.955
1999-09-30,432.181
1999-10-29,428.11
1999-11-30,425.28
1999-12-31,449.444
2000-01-31,363.253
2000-02-29,343.109
2000-03-31,340.04
2000-04-28,330.062
2000-05-31,349.468
2000-06-30,376.147
2000-07-31,380.219
2000-08-31,371.797
2000-09-29,365.106
2000-10-31,359.375
2000-11-30,351.563
2000-12-29,388.37
2001-01-31,379.695
2001-02-28,371.839
2001-03-30,335.173
2001-04-30,338.542
2001-05-31,320.717
2001-06-29,332.168
2001-07-31,350.958
2001-08-31,358.306
2001-09-28,326.047
2001-10-31,314.147
2001-11-30,312.144
2001-12-31,329.878
2002-01-31,309.658
2002-02-28,306.574
2002-03-29,313.776
2002-04-30,336.914
2002-05-31,344.641
2002-06-28,338.644
2002-07-31,284.25
2002-08-30,295.199
2002-09-30,240.843
2002-10-31,276.868
2002-11-29,287.798
2002-12-31,289.034
2003-01-31,271.114
2003-02-28,241.156
