Date,BELGIUM LARGE VALUE Large Cap
1994-05-31,187.231
1994-06-30,185.578
1994-07-29,194.759
1994-08-31,195.548
1994-09-30,183.424
1994-10-31,191.004
1994-11-30,189.558
1994-12-30,191.706
1995-01-31,189.522
1995-02-28,196.482
1995-03-31,210.581
1995-04-28,224.057
1995-05-31,228.801
1995-06-30,232.405
1995-07-31,239.815
1995-08-31,225.272
1995-09-29,233.469
1995-10-31,235.524
1995-11-30,239.939
1995-12-29,256.267
1996-01-31,263.447
1996-02-29,258.139
1996-03-29,250.573
1996-04-30,253.26
1996-05-31,259.295
1996-06-28,262.232
1996-07-31,265.955
1996-08-30,267.982
1996-09-30,271.488
1996-10-31,273.624
1996-11-29,280.554
1996-12-31,282.883
1997-01-31,288.146
1997-02-28,293.548
1997-03-31,299.158
1997-04-30,304.677
1997-05-30,318.154
1997-06-30,322.147
1997-07-31,325.605
1997-08-29,300.934
1997-09-30,318.435
1997-10-31,318.966
1997-11-28,323.429
1997-12-31,331.182
1998-01-30,341.137
1998-02-27,358.875
1998-03-31,389.262
1998-04-30,427.38
1998-05-29,469.524
1998-06-30,502.675
1998-07-31,515.959
1998-08-31,465.08
1998-09-30,454.409
1998-10-30,478.886
1998-11-30,490.701
1998-12-31,544.483
1999-01-29,524.855
1999-02-26,511.98
1999-03-31,479.481
1999-04-30,472.158
1999-05-31,447.71
1999-06-30,448.086
1999-07-30,456.014
1999-08-31,479.276
1999-09-30,467.619
1999-10-29,463.214
1999-11-30,460.152
1999-12-31,486.297
2000-01-31,393.006
2000-02-29,371.212
2000-03-31,367.892
2000-04-28,357.096
2000-05-31,376.032
2000-06-30,404.526
2000-07-31,408.905
2000-08-31,399.848
2000-09-29,392.653
2000-10-31,386.488
2000-11-30,378.088
2000-12-29,417.671
2001-01-31,408.342
2001-02-28,399.893
2001-03-30,360.46
2001-04-30,363.575
2001-05-31,342.832
2001-06-29,354.322
2001-07-31,374.365
2001-08-31,382.203
2001-09-28,347.793
2001-10-31,335.098
2001-11-30,332.963
2001-12-31,351.879
2002-01-31,330.31
2002-02-28,327.021
2002-03-29,334.703
2002-04-30,358.95
2002-05-31,365.244
2002-06-28,358.205
2002-07-31,300.669
2002-08-30,312.25
2002-09-30,254.754
2002-10-31,292.86
2002-11-29,304.422
2002-12-31,305.728
2003-01-31,286.774
2003-02-28,255.086
2003-03-31,246.759
2003-04-30,296.202
2003-05-30,322.571
2003-06-30,327.546
2003-07-31,341.792
2003-08-29,320.119
2003-09-30,339.678
2003-10-31,357.561
2003-11-28,369.962
2003-12-31,399.924
2004-01-30,427.133
2004-02-27,447.441
2004-03-31,423.559
2004-04-30,421.919
2004-05-31,431.175
2004-06-30,440.739
2004-07-30,434.045
2004-08-31,451.597
2004-09-30,485.606
2004-10-29,519.997
2004-11-30,552.392
2004-12-31,589.635
2005-01-31,579.712
2005-02-28,610.233
2005-03-31,615.019
2005-04-29,597.774
2005-05-31,603.928
2005-06-30,605.263
2005-07-29,628.765
2005-08-31,635.484
2005-09-30,641.053
2005-10-31,628.481
2005-11-30,649.856
2005-12-30,687.528
2006-01-31,739.659
2006-02-28,756.517
2006-03-31,768.992
2006-04-28,807.659
2006-05-31,782.61
2006-06-30,757.169
2006-07-31,780.856
2006-08-31,838.185
2006-09-29,863.55
2006-10-31,896.806
2006-11-30,891.734
2006-12-29,932.788
2007-01-31,944.291
2007-02-28,944.65
2007-03-30,982.339
2007-04-30,1021.374
2007-05-31,1000.0
2007-06-29,1001.187
2007-07-31,947.695
2007-08-31,904.71
2007-09-28,914.601
2007-10-31,974.293
2007-11-30,877.077
2007-12-31,855.741
2008-01-31,750.696
2008-02-29,757.815
2008-03-31,833.389
2008-04-30,879.525
2008-05-30,821.509
2008-06-30,612.486
2008-07-31,549.322
2008-08-29,537.357
2008-09-30,350.147
2008-10-31,174.92
2008-11-28,151.594
2008-12-31,158.327
2009-01-30,128.857
2009-02-27,105.53
2009-03-31,118.815
2009-04-30,137.766
2009-05-29,148.577
2009-06-30,149.514
2009-07-31,163.785
2009-08-31,200.749
2009-09-30,228.902
2009-10-30,209.706
2009-11-30,208.637
2009-12-31,203.247
2010-01-29,201.522
2010-02-26,197.889
2010-03-31,207.498
2010-04-30,196.961
2010-05-31,167.652
2010-06-30,164.313
2010-07-30,189.353
2010-08-31,179.421
2010-09-30,196.328
2010-10-29,198.114
2010-11-30,168.702
2010-12-31,172.056
2011-01-31,189.271
2011-02-28,195.814
