date,price
2002-01-15,100.0
2002-01-16,100.0
2002-01-17,100.0
2002-01-18,99.7894736842105
2002-01-19,99.7894736842105
2002-01-20,99.7894736842105
2002-01-21,99.7894736842105
2002-01-22,99.7894736842105
2002-01-23,99.7894736842105
2002-01-24,99.7894736842105
2002-01-25,98.8421052631579
2002-01-26,98.8421052631579
2002-01-27,98.8421052631579
2002-01-28,98.8421052631579
2002-01-29,98.8421052631579
2002-01-30,98.8421052631579
2002-01-31,99.0526315789474
2002-02-01,99.2631578947368
2002-02-02,99.2631578947368
2002-02-03,99.2631578947368
2002-02-04,99.2631578947368
2002-02-05,99.2631578947368
2002-02-06,99.2631578947368
2002-02-07,103.052631578947
2002-02-08,99.6842105263158
2002-02-09,99.6842105263158
2002-02-10,99.6842105263158
2002-02-11,99.6842105263158
2002-02-12,99.6842105263158
2002-02-13,99.6842105263158
2002-02-14,99.6842105263158
2002-02-15,99.4736842105263
2002-02-16,99.4736842105263
2002-02-17,99.4736842105263
2002-02-18,99.4736842105263
2002-02-19,99.4736842105263
2002-02-20,99.4736842105263
2002-02-21,99.4736842105263
2002-02-22,100.105263157895
2002-02-23,100.105263157895
2002-02-24,100.105263157895
2002-02-25,100.105263157895
2002-02-26,100.105263157895
2002-02-27,100.105263157895
2002-02-28,100.0
2002-03-01,99.7894736842105
2002-03-02,99.7894736842105
2002-03-03,99.7894736842105
2002-03-04,99.5789473684211
2002-03-05,99.4736842105263
2002-03-06,99.4736842105263
2002-03-07,102.947368421053
2002-03-08,98.8421052631579
2002-03-09,98.8421052631579
2002-03-10,98.8421052631579
2002-03-11,98.7368421052632
2002-03-12,98.7368421052632
2002-03-13,98.6315789473684
2002-03-14,98.6315789473684
2002-03-15,98.6315789473684
2002-03-16,98.6315789473684
2002-03-17,98.6315789473684
2002-03-18,98.8421052631579
2002-03-19,98.7368421052632
2002-03-20,98.6315789473684
2002-03-21,98.5263157894737
2002-03-22,98.3157894736842
2002-03-23,98.3157894736842
2002-03-24,98.3157894736842
2002-03-25,98.5263157894737
2002-03-26,98.8421052631579
2002-03-27,98.7368421052632
2002-03-28,98.8421052631579
2002-03-29,98.8421052631579
2002-03-30,98.8421052631579
2002-03-31,98.8421052631579
2002-04-01,98.8421052631579
2002-04-02,98.8421052631579
2002-04-03,99.0526315789474
2002-04-04,99.0526315789474
2002-04-05,99.2631578947368
2002-04-06,99.2631578947368
2002-04-07,102.842105263158
2002-04-08,99.2631578947368
2002-04-09,99.2631578947368
2002-04-10,99.3684210526316
2002-04-11,99.4736842105263
2002-04-12,99.4736842105263
2002-04-13,99.4736842105263
2002-04-14,99.4736842105263
2002-04-15,99.7894736842105
2002-04-16,99.6842105263158
2002-04-17,99.4736842105263
2002-04-18,99.5789473684211
2002-04-19,99.5789473684211
2002-04-20,99.5789473684211
2002-04-21,99.5789473684211
2002-04-22,99.5789473684211
2002-04-23,99.6842105263158
2002-04-24,99.7894736842105
2002-04-25,100.105263157895
2002-04-26,99.8947368421053
2002-04-27,99.8947368421053
2002-04-28,99.8947368421053
2002-04-29,100.0
2002-04-30,100.315789473684
2002-05-01,100.315789473684
2002-05-02,100.210526315789
2002-05-03,100.210526315789
2002-05-04,100.210526315789
2002-05-05,100.210526315789
2002-05-06,100.315789473684
2002-05-07,102.421052631579
2002-05-08,104.631578947368
2002-05-09,100.105263157895
2002-05-10,100.210526315789
2002-05-11,100.210526315789
2002-05-12,100.210526315789
2002-05-13,100.0
2002-05-14,99.5789473684211
2002-05-15,99.7894736842105
2002-05-16,99.8947368421053
2002-05-17,99.7894736842105
2002-05-18,99.7894736842105
2002-05-19,99.7894736842105
2002-05-20,100.0
2002-05-21,100.210526315789
2002-05-22,100.631578947368
2002-05-23,100.526315789474
2002-05-24,100.631578947368
2002-05-25,100.631578947368
2002-05-26,100.631578947368
2002-05-27,100.631578947368
2002-05-28,100.421052631579
2002-05-29,100.842105263158
2002-05-30,100.842105263158
2002-05-31,100.842105263158
2002-06-01,100.842105263158
2002-06-02,100.842105263158
2002-06-03,100.947368421053
2002-06-04,101.052631578947
2002-06-05,101.157894736842
2002-06-06,101.368421052632
2002-06-07,101.157894736842
2002-06-08,104.421052631579
2002-06-09,104.421052631579
2002-06-10,101.263157894737
2002-06-11,101.263157894737
2002-06-12,101.368421052632
2002-06-13,101.578947368421
2002-06-14,101.894736842105
2002-06-15,101.894736842105
2002-06-16,101.894736842105
2002-06-17,101.894736842105
2002-06-18,102.105263157895
2002-06-19,102.421052631579
2002-06-20,102.210526315789
2002-06-21,102.315789473684
2002-06-22,102.315789473684
2002-06-23,102.315789473684
2002-06-24,102.315789473684
