date,price
2026-01-23,100.0
2026-01-24,100.0
2026-01-25,100.0
2026-01-26,99.8947368421053
2026-01-27,99.8947368421053
2026-01-28,100.736842105263
2026-01-29,103.052631578947
2026-01-30,97.5789473684211
2026-01-31,97.5789473684211
2026-02-01,97.5789473684211
2026-02-02,92.4210526315789
2026-02-03,95.2631578947369
2026-02-04,97.0526315789474
2026-02-05,94.1052631578948
2026-02-06,94.2105263157895
2026-02-07,94.2105263157895
2026-02-08,94.2105263157895
2026-02-09,96.1052631578948
2026-02-10,96.7368421052632
2026-02-11,96.8421052631579
2026-02-12,96.6315789473684
2026-02-13,96.6315789473684
2026-02-14,96.6315789473684
2026-02-15,96.6315789473684
2026-02-16,96.6315789473684
2026-02-17,96.6315789473684
2026-02-18,96.6315789473684
2026-02-19,95.8947368421053
2026-02-20,96.7368421052632
2026-02-21,96.7368421052632
2026-02-22,96.7368421052632
2026-02-23,98.6315789473684
2026-02-24,99.0526315789474
2026-02-25,99.0526315789474
2026-02-26,98.9473684210526
2026-02-27,99.0526315789474
2026-02-28,99.0526315789474
2026-03-01,99.0526315789474
2026-03-02,103.473684210526
2026-03-03,102.105263157895
2026-03-04,100.526315789474
2026-03-05,100.105263157895
2026-03-06,99.2631578947368
2026-03-07,99.2631578947368
2026-03-08,99.2631578947368
2026-03-09,99.3684210526316
2026-03-10,100.210526315789
2026-03-11,100.526315789474
2026-03-12,100.631578947368
2026-03-13,99.0526315789474
2026-03-14,99.0526315789474
2026-03-15,99.0526315789474
2026-03-16,97.1578947368421
2026-03-17,97.3684210526316
2026-03-18,96.8421052631579
2026-03-19,91.3684210526316
2026-03-20,90.6315789473684
2026-03-21,90.6315789473684
2026-03-22,90.6315789473684
2026-03-23,83.5789473684211
2026-03-24,86.2105263157895
2026-03-25,88.9473684210526
2026-03-26,86.9473684210526
2026-03-27,86.9473684210526
2026-03-28,86.9473684210526
2026-03-29,86.9473684210526
2026-03-30,89.0526315789474
2026-03-31,89.4736842105263
2026-04-01,92.1052631578947
2026-04-02,90.6315789473684
2026-04-03,90.6315789473684
2026-04-04,90.6315789473684
2026-04-05,90.6315789473684
2026-04-06,90.6315789473684
2026-04-07,91.3684210526316
2026-04-08,92.9473684210526
2026-04-09,91.6842105263158
2026-04-10,92.0
2026-04-11,92.0
2026-04-12,92.0
2026-04-13,91.4736842105263
2026-04-14,92.3157894736842
2026-04-15,92.7368421052632
2026-04-16,93.0526315789474
2026-04-17,92.7368421052632
2026-04-18,92.7368421052632
2026-04-19,92.7368421052632
2026-04-20,92.5263157894737
2026-04-21,92.5263157894737
2026-04-22,92.0
2026-04-23,91.2631578947369
2026-04-24,90.9473684210526
2026-04-25,90.9473684210526
2026-04-26,90.9473684210526
2026-04-27,91.0526315789474
2026-04-28,89.4736842105263
2026-04-29,88.6315789473684
2026-04-30,89.8947368421053
