Date,JAPAN SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,1471.794
1994-06-30,1597.145
1994-07-29,1539.291
1994-08-31,1524.115
1994-09-30,1465.321
1994-10-31,1489.974
1994-11-30,1374.335
1994-12-30,1407.03
1995-01-31,1316.657
1995-02-28,1220.319
1995-03-31,1299.529
1995-04-28,1334.133
1995-05-31,1205.098
1995-06-30,1138.712
1995-07-31,1225.524
1995-08-31,1214.066
1995-09-29,1200.395
1995-10-31,1147.666
1995-11-30,1200.522
1995-12-29,1262.435
1996-01-31,1262.133
1996-02-29,1240.886
1996-03-29,1276.392
1996-04-30,1390.842
1996-05-31,1326.052
1996-06-28,1325.767
1996-07-31,1242.631
1996-08-30,1197.481
1996-09-30,1198.456
1996-10-31,1119.035
1996-11-29,1086.574
1996-12-31,974.048
1997-01-31,882.065
1997-02-28,876.684
1997-03-31,815.285
1997-04-30,822.306
1997-05-30,958.918
1997-06-30,989.859
1997-07-31,918.724
1997-08-29,814.653
1997-09-30,728.923
1997-10-31,722.355
1997-11-28,619.23
1997-12-31,541.891
1998-01-30,633.604
1998-02-27,649.013
1998-03-31,598.366
1998-04-30,591.095
1998-05-29,573.765
1998-06-30,574.605
1998-07-31,572.704
1998-08-31,526.07
1998-09-30,504.717
1998-10-30,564.162
1998-11-30,595.851
1998-12-31,625.263
1999-01-29,631.669
1999-02-26,627.16
1999-03-31,724.188
1999-04-30,779.957
1999-05-31,729.289
1999-06-30,864.912
1999-07-30,943.53
1999-08-31,1029.757
1999-09-30,1095.488
1999-10-29,1138.133
1999-11-30,1223.58
1999-12-31,1216.313
2000-01-31,1185.053
2000-02-29,1199.572
2000-03-31,1231.134
2000-04-28,1088.402
2000-05-31,1030.122
2000-06-30,1115.607
2000-07-31,949.101
2000-08-31,1056.431
2000-09-29,993.033
2000-10-31,861.651
2000-11-30,838.922
2000-12-29,758.003
2001-01-31,759.633
2001-02-28,727.981
2001-03-30,708.202
2001-04-30,763.602
2001-05-31,777.952
2001-06-29,735.51
2001-07-31,668.341
2001-08-31,652.663
2001-09-28,601.539
2001-10-31,630.366
2001-11-30,607.895
2001-12-31,549.781
2002-01-31,511.652
2002-02-28,528.443
2002-03-29,558.527
2002-04-30,593.798
2002-05-31,641.835
2002-06-28,610.727
2002-07-31,573.58
2002-08-30,561.509
2002-09-30,527.031
2002-10-31,481.143
2002-11-29,498.983
2002-12-31,484.365
2003-01-31,468.351
2003-02-28,481.584
2003-03-31,468.717
2003-04-30,482.637
2003-05-30,505.23
2003-06-30,539.827
