Date,JAPAN SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,1456.612
1994-06-30,1580.69
1994-07-29,1523.433
1994-08-31,1508.43
1994-09-30,1450.422
1994-10-31,1474.83
1994-11-30,1360.376
1994-12-30,1392.776
1995-01-31,1303.324
1995-02-28,1207.986
1995-03-31,1286.806
1995-04-28,1321.072
1995-05-31,1193.309
1995-06-30,1127.593
1995-07-31,1213.561
1995-08-31,1202.228
1995-09-29,1188.859
1995-10-31,1136.638
1995-11-30,1188.996
1995-12-29,1250.348
1996-01-31,1250.057
1996-02-29,1229.035
1996-03-29,1264.578
1996-04-30,1377.97
1996-05-31,1313.788
1996-06-28,1313.523
1996-07-31,1231.156
1996-08-30,1186.433
1996-09-30,1187.559
1996-10-31,1108.862
1996-11-29,1076.706
1996-12-31,965.232
1997-01-31,874.092
1997-02-28,868.78
1997-03-31,808.239
1997-04-30,815.2
1997-05-30,950.639
1997-06-30,981.326
1997-07-31,910.807
1997-08-29,807.646
1997-09-30,722.806
1997-10-31,716.296
1997-11-28,614.041
1997-12-31,537.372
1998-01-30,628.323
1998-02-27,643.621
1998-03-31,593.644
1998-04-30,586.434
1998-05-29,569.246
1998-06-30,570.092
1998-07-31,568.208
1998-08-31,521.951
1998-09-30,500.89
1998-10-30,559.887
1998-11-30,591.342
1998-12-31,620.549
1999-01-29,626.907
1999-02-26,622.456
1999-03-31,719.074
1999-04-30,774.453
1999-05-31,724.149
1999-06-30,858.831
1999-07-30,936.898
1999-08-31,1022.539
1999-09-30,1088.006
1999-10-29,1130.362
1999-11-30,1215.232
1999-12-31,1208.035
2000-01-31,1176.989
2000-02-29,1191.435
2000-03-31,1223.21
2000-04-28,1081.399
2000-05-31,1023.499
2000-06-30,1108.446
2000-07-31,943.012
2000-08-31,1049.684
2000-09-29,986.925
2000-10-31,856.36
2000-11-30,833.776
2000-12-29,753.375
2001-01-31,754.997
2001-02-28,723.578
2001-03-30,704.274
2001-04-30,759.371
2001-05-31,773.654
2001-06-29,731.457
2001-07-31,664.667
2001-08-31,649.09
2001-09-28,598.468
2001-10-31,627.151
2001-11-30,604.804
2001-12-31,547.006
2002-01-31,509.073
2002-02-28,525.815
2002-03-29,556.072
2002-04-30,591.193
2002-05-31,639.027
2002-06-28,608.061
2002-07-31,571.078
2002-08-30,559.082
2002-09-30,525.008
2002-10-31,479.299
2002-11-29,497.078
2002-12-31,482.542
2003-01-31,466.589
2003-02-28,479.807
2003-03-31,467.493
2003-04-30,481.398
2003-05-30,503.946
2003-06-30,538.465
2003-07-31,554.258
2003-08-29,614.066
2003-09-30,657.778
2003-10-31,715.575
2003-11-28,664.108
2003-12-31,705.825
2004-01-30,722.535
2004-02-27,713.092
2004-03-31,840.792
2004-04-30,816.204
2004-05-31,770.936
2004-06-30,844.747
2004-07-30,763.04
2004-08-31,769.928
2004-09-30,741.416
2004-10-29,754.419
2004-11-30,797.999
2004-12-31,832.034
2005-01-31,847.243
2005-02-28,856.653
2005-03-31,846.278
2005-04-29,831.43
2005-05-31,811.702
2005-06-30,821.816
2005-07-29,833.61
2005-08-31,871.796
2005-09-30,933.471
2005-10-31,954.632
2005-11-30,1001.019
2005-12-30,1127.433
2006-01-31,1167.33
2006-02-28,1097.046
2006-03-31,1143.833
2006-04-28,1147.992
2006-05-31,1059.625
2006-06-30,1029.794
2006-07-31,979.475
2006-08-31,1004.324
2006-09-29,993.288
2006-10-31,998.306
2006-11-30,993.17
2006-12-29,992.628
2007-01-31,1003.55
2007-02-28,1036.695
2007-03-30,1027.945
2007-04-30,1009.431
2007-05-31,1000.0
2007-06-29,1003.611
2007-07-31,997.859
2007-08-31,955.201
2007-09-28,975.478
2007-10-31,992.708
2007-11-30,960.356
2007-12-31,903.657
2008-01-31,844.439
2008-02-29,859.26
2008-03-31,851.229
2008-04-30,877.137
2008-05-30,894.551
2008-06-30,837.136
2008-07-31,810.012
2008-08-29,779.838
2008-09-30,704.035
2008-10-31,606.045
2008-11-28,632.537
2008-12-31,691.286
2009-01-30,638.267
2009-02-27,552.818
2009-03-31,569.406
2009-04-30,590.231
2009-05-29,657.537
2009-06-30,693.389
2009-07-31,713.904
2009-08-31,753.272
2009-09-30,750.275
2009-10-30,720.644
2009-11-30,701.829
2009-12-31,696.911
2010-01-29,703.493
2010-02-26,713.746
2010-03-31,744.775
2010-04-30,756.41
2010-05-31,705.11
2010-06-30,702.691
2010-07-30,715.419
2010-08-31,698.126
2010-09-30,734.844
2010-10-29,735.52
2010-11-30,751.391
2010-12-31,815.287
2011-01-31,823.756
2011-02-28,847.268
2011-03-31,797.127
2011-04-29,806.541
2011-05-31,802.721
2011-06-30,827.845
2011-07-29,856.025
2011-08-31,810.996
2011-09-30,804.989
2011-10-31,789.262
2011-11-30,756.325
2011-12-30,768.347
2012-01-31,791.398
2012-02-29,795.503
2012-03-30,817.339
2012-04-30,811.331
2012-05-31,743.074
2012-06-29,782.202
2012-07-31,777.386
2012-08-31,784.832
2012-09-28,805.756
2012-10-31,787.643
2012-11-30,784.228
2012-12-31,795.496
2013-01-31,819.341
2013-02-28,841.612
2013-03-29,903.301
2013-04-30,975.356
2013-05-31,911.472
2013-06-28,917.232
2013-07-31,926.097
2013-08-30,905.648
2013-09-30,1000.686
2013-10-31,997.605
2013-11-29,990.654
2013-12-31,993.703
2014-01-31,975.598
2014-02-28,959.233
2014-03-31,951.461
2014-04-30,927.223
2014-05-30,970.038
2014-06-30,1035.785
2014-07-31,1048.603
2014-08-29,1040.926
2014-09-30,1015.876
2014-10-31,992.164
2014-11-28,987.835
2014-12-31,984.985
2015-01-30,1020.659
2015-02-27,1067.442
2015-03-31,1097.674
2015-04-30,1107.812
2015-05-29,1121.643
2015-06-30,1129.979
2015-07-31,1140.163
2015-08-31,1087.048
2015-09-30,1024.709
2015-10-30,1110.325
2015-11-30,1129.027
2015-12-31,1135.457
2016-01-29,1063.072
2016-02-29,1051.276
2016-03-31,1118.705
2016-04-29,1165.739
2016-05-31,1162.029
2016-06-30,1165.605
2016-07-29,1218.625
2016-08-31,1156.599
2016-09-30,1218.78
2016-10-31,1219.206
2016-11-30,1152.44
2016-12-30,1164.512
2017-01-31,1203.316
2017-02-28,1222.213
2017-03-31,1232.267
2017-04-28,1254.55
2017-05-31,1326.861
2017-06-30,1333.56
2017-07-31,1368.571
2017-08-31,1382.042
2017-09-29,1398.439
2017-10-31,1460.386
2017-11-30,1529.863
2017-12-29,1547.306
2018-01-31,1618.681
2018-02-28,1592.561
2018-03-30,1587.447
2018-04-30,1578.646
2018-05-31,1592.652
2018-06-29,1548.993
2018-07-31,1514.644
2018-08-31,1508.342
2018-09-28,1535.946
2018-10-31,1373.658
2018-11-30,1415.282
2018-12-31,1295.744
2019-01-31,1358.324
2019-02-28,1373.207
2019-03-29,1400.457
2019-04-30,1413.979
2019-05-31,1349.93
2019-06-28,1387.416
2019-07-31,1402.495
2019-08-30,1402.418
2019-09-30,1452.57
2019-10-31,1525.976
2019-11-29,1550.389
2019-12-31,1578.965
2020-01-31,1528.053
2020-02-28,1349.208
2020-03-31,1313.817
2020-04-30,1407.423
2020-05-29,1524.186
2020-06-30,1525.02
2020-07-31,1497.67
2020-08-31,1592.197
2020-09-30,1674.252
2020-10-30,1635.506
2020-11-30,1801.561
2020-12-31,1850.919
2021-01-29,1832.764
2021-02-26,1771.526
2021-03-31,1808.231
2021-04-30,1789.417
2021-05-31,1774.577
2021-06-30,1794.757
2021-07-30,1768.816
2021-08-31,1830.272
2021-09-30,1857.909
2021-10-29,1787.134
2021-11-30,1723.051
2021-12-31,1720.258
2022-01-31,1534.216
2022-02-28,1542.915
2022-03-31,1510.721
2022-04-29,1362.008
2022-05-31,1376.205
2022-06-30,1278.751
2022-07-29,1361.448
2022-08-31,1339.122
2022-09-30,1224.275
2022-10-31,1235.386
2022-11-30,1354.925
2022-12-30,1349.748
2023-01-31,1413.849
2023-02-28,1351.51
2023-03-31,1417.715
2023-04-28,1415.081
2023-05-31,1435.383
2023-06-30,1442.666
2023-07-31,1482.93
2023-08-31,1451.449
2023-09-29,1384.238
2023-10-31,1316.986
2023-11-30,1443.554
2023-12-29,1529.656
2024-01-31,1539.303
2024-02-29,1564.772
2024-03-29,1586.449
2024-04-30,1478.026
2024-05-31,1474.451
2024-06-28,1470.685
2024-07-31,1582.166
2024-08-30,1632.815
2024-09-30,1675.36
2024-10-31,1562.603
2024-11-29,1566.534
2024-12-31,1545.1
2025-01-31,1565.948
2025-02-28,1553.963
2025-03-31,1567.661
2025-04-30,1670.302
2025-05-30,1728.842
