Date,JAPAN SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,758.012
2001-01-02,756.059
2001-01-03,756.786
2001-01-04,740.259
2001-01-05,735.694
2001-01-08,735.542
2001-01-09,715.705
2001-01-10,702.94
2001-01-11,673.595
2001-01-12,679.998
2001-01-15,691.823
2001-01-16,711.892
2001-01-17,716.522
2001-01-18,732.383
2001-01-19,746.288
2001-01-22,744.966
2001-01-23,742.434
2001-01-24,737.918
2001-01-25,753.512
2001-01-26,746.233
2001-01-29,746.25
2001-01-30,750.088
2001-01-31,759.633
2001-02-01,768.412
2001-02-02,769.657
2001-02-05,761.046
2001-02-06,761.002
2001-02-07,756.599
2001-02-08,748.074
2001-02-09,748.0
2001-02-12,747.891
2001-02-13,748.148
2001-02-14,753.132
2001-02-15,762.472
2001-02-16,761.639
2001-02-19,749.321
2001-02-20,760.65
2001-02-21,747.622
2001-02-22,740.49
2001-02-23,751.124
2001-02-26,746.478
2001-02-27,748.12
2001-02-28,727.981
2001-03-01,718.196
2001-03-02,691.612
2001-03-05,684.712
2001-03-06,705.408
2001-03-07,708.795
2001-03-08,709.321
2001-03-09,709.121
2001-03-12,685.647
2001-03-13,668.531
2001-03-14,663.006
2001-03-15,665.944
2001-03-16,664.251
2001-03-19,671.364
2001-03-20,669.079
2001-03-21,692.117
2001-03-22,682.912
2001-03-23,704.673
2001-03-26,734.722
2001-03-27,733.472
2001-03-28,752.311
2001-03-29,728.816
2001-03-30,708.202
2001-04-02,700.102
2001-04-03,712.329
2001-04-04,713.427
2001-04-05,725.094
2001-04-06,730.931
2001-04-09,714.97
2001-04-10,710.871
2001-04-11,716.308
2001-04-12,728.109
2001-04-13,730.506
2001-04-16,723.7
2001-04-17,725.003
2001-04-18,745.952
2001-04-19,760.381
2001-04-20,756.022
2001-04-23,762.555
2001-04-24,761.491
2001-04-25,765.672
2001-04-26,770.846
2001-04-27,762.059
2001-04-30,763.602
2001-05-01,793.816
2001-05-02,798.584
2001-05-03,804.864
2001-05-04,804.997
2001-05-07,811.554
2001-05-08,801.959
2001-05-09,792.169
2001-05-10,785.574
2001-05-11,787.476
2001-05-14,774.325
2001-05-15,779.314
2001-05-16,767.154
2001-05-17,778.097
2001-05-18,774.889
2001-05-21,788.414
2001-05-22,789.359
2001-05-23,802.597
2001-05-24,801.24
2001-05-25,794.091
2001-05-28,786.618
2001-05-29,794.097
2001-05-30,779.633
2001-05-31,777.952
2001-06-01,779.143
2001-06-04,776.463
2001-06-05,768.751
2001-06-06,766.644
2001-06-07,774.691
2001-06-08,776.92
2001-06-11,769.705
2001-06-12,749.661
2001-06-13,753.636
2001-06-14,752.89
2001-06-15,739.515
2001-06-18,730.055
2001-06-19,727.718
2001-06-20,722.83
2001-06-21,725.454
2001-06-22,737.662
2001-06-25,737.621
2001-06-26,739.72
2001-06-27,733.401
2001-06-28,725.217
2001-06-29,735.51
2001-07-02,729.533
2001-07-03,731.37
2001-07-04,722.574
2001-07-05,713.15
2001-07-06,702.352
2001-07-09,690.081
2001-07-10,693.382
2001-07-11,689.748
2001-07-12,701.941
2001-07-13,698.852
2001-07-16,693.986
2001-07-17,686.242
2001-07-18,679.472
2001-07-19,682.204
2001-07-20,684.393
2001-07-23,662.659
2001-07-24,669.351
2001-07-25,675.254
2001-07-26,677.348
2001-07-27,677.882
2001-07-30,657.001
2001-07-31,668.341
2001-08-01,676.526
2001-08-02,696.943
2001-08-03,694.083
2001-08-06,691.68
2001-08-07,694.131
2001-08-08,693.768
2001-08-09,679.343
