Date,JAPAN SMID CAP SMID (Small+Mid Cap)
2001-01-01,577.377
2001-01-02,575.889
2001-01-03,576.441
2001-01-04,563.982
2001-01-05,561.589
2001-01-08,561.461
2001-01-09,549.858
2001-01-10,543.944
2001-01-11,527.396
2001-01-12,529.593
2001-01-15,531.477
2001-01-16,543.209
2001-01-17,543.914
2001-01-18,553.587
2001-01-19,560.425
2001-01-22,561.434
2001-01-23,560.585
2001-01-24,555.524
2001-01-25,564.289
2001-01-26,560.616
2001-01-29,562.242
2001-01-30,564.604
2001-01-31,570.346
2001-02-01,576.872
2001-02-02,575.413
2001-02-05,570.521
2001-02-06,568.894
2001-02-07,565.565
2001-02-08,560.683
2001-02-09,560.662
2001-02-12,560.609
2001-02-13,561.362
2001-02-14,567.085
2001-02-15,573.4
2001-02-16,571.142
2001-02-19,565.402
2001-02-20,572.956
2001-02-21,565.035
2001-02-22,561.328
2001-02-23,569.337
2001-02-26,568.844
2001-02-27,572.34
2001-02-28,560.053
2001-03-01,555.096
2001-03-02,535.855
2001-03-05,532.496
2001-03-06,545.593
2001-03-07,544.715
2001-03-08,546.257
2001-03-09,547.571
2001-03-12,532.053
2001-03-13,520.788
2001-03-14,515.972
2001-03-15,518.972
2001-03-16,515.091
2001-03-19,521.194
2001-03-20,519.427
2001-03-21,539.927
2001-03-22,529.854
2001-03-23,544.543
2001-03-26,566.687
2001-03-27,566.69
2001-03-28,577.823
2001-03-29,560.621
2001-03-30,544.513
2001-04-02,536.901
2001-04-03,550.854
2001-04-04,555.735
2001-04-05,563.955
2001-04-06,566.942
2001-04-09,555.275
2001-04-10,553.685
2001-04-11,558.242
2001-04-12,567.058
2001-04-13,568.474
2001-04-16,564.359
2001-04-17,566.44
2001-04-18,581.774
2001-04-19,589.569
2001-04-20,586.276
2001-04-23,591.378
2001-04-24,592.562
2001-04-25,596.174
2001-04-26,601.199
2001-04-27,595.238
2001-04-30,596.439
2001-05-01,619.165
2001-05-02,620.317
2001-05-03,625.192
2001-05-04,625.295
2001-05-07,626.149
2001-05-08,617.062
2001-05-09,609.641
2001-05-10,606.041
2001-05-11,607.262
2001-05-14,597.263
2001-05-15,600.022
2001-05-16,592.31
2001-05-17,601.02
2001-05-18,598.529
2001-05-21,607.386
2001-05-22,608.229
2001-05-23,618.465
2001-05-24,618.105
2001-05-25,612.326
2001-05-28,607.419
2001-05-29,613.48
2001-05-30,604.783
2001-05-31,605.627
2001-06-01,606.248
2001-06-04,604.638
2001-06-05,598.749
2001-06-06,596.888
2001-06-07,602.954
2001-06-08,604.315
2001-06-11,598.676
2001-06-12,584.32
2001-06-13,587.569
2001-06-14,586.598
2001-06-15,578.009
2001-06-18,572.815
2001-06-19,571.361
2001-06-20,569.022
2001-06-21,571.777
2001-06-22,580.891
2001-06-25,581.508
2001-06-26,585.206
2001-06-27,580.614
2001-06-28,574.233
2001-06-29,581.734
2001-07-02,577.255
2001-07-03,578.658
2001-07-04,572.29
2001-07-05,566.207
2001-07-06,557.93
2001-07-09,551.006
2001-07-10,553.727
2001-07-11,551.58
2001-07-12,560.035
2001-07-13,557.12
2001-07-16,553.949
2001-07-17,549.245
2001-07-18,545.164
2001-07-19,547.567
2001-07-20,549.324
2001-07-23,533.407
2001-07-24,538.524
2001-07-25,543.354
2001-07-26,545.2
2001-07-27,546.09
2001-07-30,531.799
2001-07-31,540.638
2001-08-01,546.998
2001-08-02,562.099
2001-08-03,557.919
2001-08-06,557.775
2001-08-07,560.486
2001-08-08,559.818
2001-08-09,549.17
2001-08-10,554.889
2001-08-13,547.264
2001-08-14,557.14
2001-08-15,567.734
2001-08-16,562.265
2001-08-17,561.288
2001-08-20,552.528
2001-08-21,558.208
2001-08-22,560.865
2001-08-23,555.691
2001-08-24,553.942
2001-08-27,555.154
2001-08-28,550.886
2001-08-29,548.502
2001-08-30,541.053
2001-08-31,539.709
2001-09-03,526.971
2001-09-04,531.328
2001-09-05,519.534
2001-09-06,517.881
2001-09-07,517.505
2001-09-10,504.03
2001-09-11,511.803
2001-09-12,475.307
2001-09-13,483.831
2001-09-14,503.874
2001-09-17,481.947
2001-09-18,491.232
2001-09-19,498.808
2001-09-20,498.093
2001-09-21,489.594
2001-09-24,485.972
2001-09-25,493.713
2001-09-26,492.81
2001-09-27,486.773
2001-09-28,500.148
2001-10-01,505.121
2001-10-02,509.665
2001-10-03,508.7
2001-10-04,516.256
2001-10-05,514.377
2001-10-08,516.15
2001-10-09,506.943
2001-10-10,503.431
2001-10-11,508.163
2001-10-12,512.871
2001-10-15,512.429
2001-10-16,513.945
2001-10-17,517.976
2001-10-18,510.5
2001-10-19,511.047
2001-10-22,510.497
2001-10-23,514.009
2001-10-24,516.824
2001-10-25,523.787
2001-10-26,520.915
2001-10-29,517.531
2001-10-30,513.722
2001-10-31,509.611
2001-11-01,506.389
2001-11-02,504.835
2001-11-05,506.608
2001-11-06,512.084
2001-11-07,506.769
2001-11-08,508.05
2001-11-09,502.566
2001-11-12,499.445
2001-11-13,490.914
2001-11-14,490.154
2001-11-15,494.582
2001-11-16,493.105
2001-11-19,492.172
2001-11-20,492.112
2001-11-21,491.694
2001-11-22,490.085
2001-11-23,487.853
2001-11-26,497.628
2001-11-27,496.398
2001-11-28,490.885
2001-11-29,486.785
2001-11-30,488.248
2001-12-03,477.743
2001-12-04,476.132
2001-12-05,480.071
2001-12-06,482.424
2001-12-07,473.818
2001-12-10,466.253
2001-12-11,460.006
2001-12-12,467.581
2001-12-13,461.995
2001-12-14,453.026
2001-12-17,443.664
2001-12-18,441.758
2001-12-19,437.512
2001-12-20,443.221
2001-12-21,439.683
2001-12-24,438.312
2001-12-25,438.207
2001-12-26,432.96
2001-12-27,436.763
2001-12-28,444.443
2001-12-31,444.854
2002-01-01,444.854
2002-01-02,441.285
2002-01-03,442.709
2002-01-04,447.851
2002-01-07,447.473
2002-01-08,435.154
2002-01-09,434.225
2002-01-10,428.942
2002-01-11,427.05
2002-01-14,428.298
2002-01-15,422.874
2002-01-16,422.11
2002-01-17,420.661
2002-01-18,429.227
2002-01-21,433.201
2002-01-22,421.28
2002-01-23,419.37
2002-01-24,418.214
2002-01-25,419.08
2002-01-28,424.97
2002-01-29,420.396
2002-01-30,419.737
2002-01-31,417.956
2002-02-01,412.702
2002-02-04,409.515
2002-02-05,401.073
2002-02-06,401.136
2002-02-07,404.605
2002-02-08,404.321
2002-02-11,407.912
2002-02-12,420.234
2002-02-13,423.471
2002-02-14,426.545
2002-02-15,424.962
2002-02-18,426.069
2002-02-19,414.9
2002-02-20,413.647
2002-02-21,422.052
2002-02-22,424.914
2002-02-25,423.784
2002-02-26,421.823
2002-02-27,432.203
2002-02-28,437.511
2002-03-01,443.965
2002-03-04,462.795
2002-03-05,459.546
2002-03-06,461.825
2002-03-07,481.71
2002-03-08,482.229
2002-03-11,490.583
2002-03-12,481.376
2002-03-13,468.974
2002-03-14,472.345
2002-03-15,477.171
2002-03-18,468.273
2002-03-19,474.448
2002-03-20,471.786
2002-03-21,469.851
2002-03-22,460.353
2002-03-25,458.332
2002-03-26,459.157
2002-03-27,465.291
2002-03-28,463.627
2002-03-29,457.721
2002-04-01,451.876
2002-04-02,454.853
2002-04-03,463.5
2002-04-04,470.043
2002-04-05,472.946
2002-04-08,475.05
2002-04-09,468.953
2002-04-10,474.023
2002-04-11,467.221
2002-04-12,462.192
2002-04-15,465.986
2002-04-16,472.257
2002-04-17,477.268
2002-04-18,482.351
2002-04-19,480.884
2002-04-22,487.405
2002-04-23,487.684
