Date,JAPAN SMID CAP SMID (Small+Mid Cap)
2001-01-01,582.445
2001-01-02,580.944
2001-01-03,581.501
2001-01-04,568.933
2001-01-05,566.519
2001-01-08,566.39
2001-01-09,554.685
2001-01-10,548.719
2001-01-11,532.026
2001-01-12,534.242
2001-01-15,536.143
2001-01-16,547.977
2001-01-17,548.688
2001-01-18,558.446
2001-01-19,565.345
2001-01-22,566.362
2001-01-23,565.506
2001-01-24,560.4
2001-01-25,569.242
2001-01-26,565.535
2001-01-29,567.175
2001-01-30,569.558
2001-01-31,575.351
2001-02-01,581.934
2001-02-02,580.462
2001-02-05,575.527
2001-02-06,573.886
2001-02-07,570.528
2001-02-08,565.602
2001-02-09,565.581
2001-02-12,565.528
2001-02-13,566.288
2001-02-14,572.061
2001-02-15,578.427
2001-02-16,576.15
2001-02-19,570.359
2001-02-20,577.979
2001-02-21,569.988
2001-02-22,566.249
2001-02-23,574.3
2001-02-26,573.803
2001-02-27,577.329
2001-02-28,564.935
2001-03-01,559.934
2001-03-02,540.526
2001-03-05,537.137
2001-03-06,550.349
2001-03-07,549.464
2001-03-08,551.019
2001-03-09,552.345
2001-03-12,536.691
2001-03-13,525.327
2001-03-14,520.468
2001-03-15,523.493
2001-03-16,519.578
2001-03-19,525.734
2001-03-20,523.952
2001-03-21,544.631
2001-03-22,534.469
2001-03-23,549.287
2001-03-26,571.624
2001-03-27,571.094
2001-03-28,582.313
2001-03-29,564.976
2001-03-30,548.74
2001-04-02,541.069
2001-04-03,555.131
2001-04-04,560.05
2001-04-05,568.334
2001-04-06,571.344
2001-04-09,559.586
2001-04-10,557.983
2001-04-11,562.576
2001-04-12,571.461
2001-04-13,572.887
2001-04-16,568.741
2001-04-17,570.837
2001-04-18,586.29
2001-04-19,594.145
2001-04-20,590.827
2001-04-23,595.968
2001-04-24,597.16
2001-04-25,600.8
2001-04-26,605.864
2001-04-27,599.857
2001-04-30,601.067
2001-05-01,623.97
2001-05-02,625.131
2001-05-03,630.043
2001-05-04,630.148
2001-05-07,631.008
2001-05-08,621.85
2001-05-09,614.372
2001-05-10,610.744
2001-05-11,611.975
2001-05-14,601.898
2001-05-15,604.678
2001-05-16,596.906
2001-05-17,605.683
2001-05-18,603.172
2001-05-21,612.098
2001-05-22,612.947
2001-05-23,623.262
2001-05-24,622.899
2001-05-25,617.074
2001-05-28,612.123
2001-05-29,618.232
2001-05-30,609.464
2001-05-31,610.313
2001-06-01,610.939
