Date,JAPAN SMID CAP SMID (Small+Mid Cap)
1994-05-31,1027.62
1994-06-30,1111.489
1994-07-29,1077.091
1994-08-31,1066.921
1994-09-30,1032.331
1994-10-31,1047.799
1994-11-30,972.308
1994-12-30,994.32
1995-01-31,949.886
1995-02-28,883.703
1995-03-31,944.893
1995-04-28,971.15
1995-05-31,889.406
1995-06-30,845.204
1995-07-31,899.733
1995-08-31,883.246
1995-09-29,871.248
1995-10-31,833.695
1995-11-30,870.491
1995-12-29,916.443
1996-01-31,921.301
1996-02-29,909.481
1996-03-29,934.866
1996-04-30,1022.937
1996-05-31,978.082
1996-06-28,979.098
1996-07-31,927.973
1996-08-30,888.667
1996-09-30,891.596
1996-10-31,833.986
1996-11-29,811.717
1996-12-31,734.474
1997-01-31,664.259
1997-02-28,661.86
1997-03-31,622.198
1997-04-30,622.434
1997-05-30,713.958
1997-06-30,738.457
1997-07-31,678.97
1997-08-29,605.695
1997-09-30,545.187
1997-10-31,542.535
1997-11-28,464.999
1997-12-31,402.365
1998-01-30,476.947
1998-02-27,492.961
1998-03-31,459.308
1998-04-30,445.495
1998-05-29,430.526
1998-06-30,434.039
1998-07-31,429.708
1998-08-31,396.076
1998-09-30,386.292
1998-10-30,435.582
1998-11-30,454.52
1998-12-31,475.075
1999-01-29,475.327
1999-02-26,467.914
1999-03-31,530.72
1999-04-30,566.223
1999-05-31,540.703
1999-06-30,606.414
1999-07-30,655.754
1999-08-31,694.557
1999-09-30,728.091
1999-10-29,734.104
1999-11-30,746.89
1999-12-31,722.412
2000-01-31,719.935
2000-02-29,700.887
2000-03-31,751.61
2000-04-28,689.235
2000-05-31,690.343
2000-06-30,760.681
2000-07-31,665.201
2000-08-31,717.704
2000-09-29,687.884
2000-10-31,627.168
2000-11-30,623.395
2000-12-29,577.326
2001-01-31,570.346
2001-02-28,560.053
2001-03-30,544.513
2001-04-30,596.439
2001-05-31,605.627
2001-06-29,581.734
2001-07-31,540.638
2001-08-31,539.709
2001-09-28,500.148
2001-10-31,509.611
2001-11-30,488.248
2001-12-31,444.854
2002-01-31,417.956
2002-02-28,437.511
2002-03-29,457.721
2002-04-30,483.295
2002-05-31,527.427
2002-06-28,505.529
2002-07-31,483.62
2002-08-30,476.71
2002-09-30,458.062
2002-10-31,421.598
2002-11-29,429.253
2002-12-31,424.33
2003-01-31,415.082
2003-02-28,430.044
2003-03-31,423.008
2003-04-30,434.863
2003-05-30,452.175
2003-06-30,485.084
2003-07-31,496.346
2003-08-29,548.409
2003-09-30,591.316
2003-10-31,630.836
2003-11-28,594.098
2003-12-31,636.009
2004-01-30,652.045
2004-02-27,652.459
2004-03-31,769.808
2004-04-30,739.434
2004-05-31,709.18
2004-06-30,773.737
2004-07-30,714.105
2004-08-31,719.932
2004-09-30,702.172
2004-10-29,714.612
2004-11-30,751.929
2004-12-31,787.439
2005-01-31,804.262
2005-02-28,819.504
