Date,JAPAN SMID CAP SMID (Small+Mid Cap)
2007-04-30,1009.411
2007-05-31,1000.0
2007-06-29,996.191
2007-07-31,988.653
2007-08-31,953.873
2007-09-28,969.217
2007-10-31,978.202
2007-11-30,950.715
2007-12-31,904.26
2008-01-31,865.539
2008-02-29,871.707
2008-03-31,867.007
2008-04-30,889.407
2008-05-30,910.522
2008-06-30,848.877
2008-07-31,821.087
2008-08-29,787.049
2008-09-30,714.009
2008-10-31,618.748
2008-11-28,646.296
2008-12-31,701.541
2009-01-30,651.654
2009-02-27,562.256
2009-03-31,591.127
2009-04-30,627.136
2009-05-29,699.197
2009-06-30,740.991
2009-07-31,758.388
2009-08-31,801.789
2009-09-30,791.753
2009-10-30,759.804
2009-11-30,736.331
2009-12-31,728.801
2010-01-29,740.978
2010-02-26,755.39
2010-03-31,791.33
2010-04-30,808.524
2010-05-31,750.441
2010-06-30,749.353
2010-07-30,761.472
2010-08-31,742.993
2010-09-30,776.761
2010-10-29,778.536
2010-11-30,793.795
2010-12-31,867.615
2011-01-31,874.38
2011-02-28,904.574
2011-03-31,846.584
2011-04-29,849.942
2011-05-31,838.72
2011-06-30,864.562
2011-07-29,897.926
2011-08-31,854.387
2011-09-30,856.06
2011-10-31,831.736
2011-11-30,799.558
2011-12-30,813.516
2012-01-31,845.103
2012-02-29,856.919
2012-03-30,878.202
2012-04-30,861.168
2012-05-31,785.636
2012-06-29,824.624
2012-07-31,809.811
2012-08-31,806.456
2012-09-28,827.254
2012-10-31,810.957
2012-11-30,816.536
2012-12-31,851.905
2013-01-31,873.834
2013-02-28,903.512
2013-03-29,969.409
2013-04-30,1048.465
2013-05-31,976.062
2013-06-28,982.005
2013-07-31,992.697
2013-08-30,973.403
2013-09-30,1075.11
2013-10-31,1070.622
2013-11-29,1068.866
2013-12-31,1074.549
2014-01-31,1056.953
2014-02-28,1040.865
2014-03-31,1036.669
2014-04-30,1016.16
2014-05-30,1058.096
2014-06-30,1125.014
2014-07-31,1133.225
2014-08-29,1122.33
2014-09-30,1092.804
2014-10-31,1070.982
2014-11-28,1066.672
2014-12-31,1070.141
2015-01-30,1107.477
2015-02-27,1159.294
2015-03-31,1176.064
2015-04-30,1200.899
2015-05-29,1215.326
2015-06-30,1213.611
2015-07-31,1220.678
2015-08-31,1164.02
2015-09-30,1111.758
2015-10-30,1199.214
2015-11-30,1203.471
2015-12-31,1208.097
2016-01-29,1127.491
2016-02-29,1109.371
2016-03-31,1170.192
2016-04-29,1223.054
2016-05-31,1212.269
2016-06-30,1196.805
2016-07-29,1264.325
2016-08-31,1229.846
2016-09-30,1281.77
2016-10-31,1294.964
2016-11-30,1242.117
2016-12-30,1265.04
2017-01-31,1311.711
2017-02-28,1340.77
2017-03-31,1334.129
2017-04-28,1354.143
2017-05-31,1404.689
2017-06-30,1420.912
2017-07-31,1455.47
2017-08-31,1468.318
2017-09-29,1491.597
2017-10-31,1547.332
2017-11-30,1600.545
2017-12-29,1624.504
2018-01-31,1692.414
2018-02-28,1659.243
2018-03-30,1639.301
2018-04-30,1648.902
2018-05-31,1641.335
2018-06-29,1594.072
2018-07-31,1580.114
2018-08-31,1570.734
2018-09-28,1601.169
2018-10-31,1451.098
2018-11-30,1484.389
2018-12-31,1371.372
2019-01-31,1445.829
2019-02-28,1450.312
2019-03-29,1464.066
2019-04-30,1474.609
2019-05-31,1402.623
2019-06-28,1447.813
2019-07-31,1453.523
2019-08-30,1440.741
2019-09-30,1501.676
2019-10-31,1582.225
2019-11-29,1594.231
2019-12-31,1619.089
2020-01-31,1569.108
2020-02-28,1389.462
2020-03-31,1299.644
2020-04-30,1372.02
2020-05-29,1473.269
2020-06-30,1459.27
2020-07-31,1411.933
2020-08-31,1527.902
2020-09-30,1576.35
2020-10-30,1535.851
2020-11-30,1678.492
2020-12-31,1742.558
2021-01-29,1743.588
2021-02-26,1750.118
2021-03-31,1804.207
2021-04-30,1778.284
2021-05-31,1776.043
2021-06-30,1776.776
2021-07-30,1759.8
2021-08-31,1810.612
2021-09-30,1831.996
