Date,WORLD LARGE CAP Large Cap
2001-01-01,712.041
2001-01-02,698.142
2001-01-03,716.252
2001-01-04,715.877
2001-01-05,705.761
2001-01-08,703.07
2001-01-09,699.059
2001-01-10,701.156
2001-01-11,708.33
2001-01-12,707.634
2001-01-15,706.962
2001-01-16,708.145
2001-01-17,713.577
2001-01-18,723.235
2001-01-19,720.485
2001-01-22,720.669
2001-01-23,725.836
2001-01-24,724.533
2001-01-25,722.039
2001-01-26,720.625
2001-01-29,723.353
2001-01-30,727.468
2001-01-31,726.801
2001-02-01,729.35
2001-02-02,717.315
2001-02-05,718.314
2001-02-06,716.413
2001-02-07,709.941
2001-02-08,702.877
2001-02-09,695.14
2001-02-12,702.532
2001-02-13,696.509
2001-02-14,692.742
2001-02-15,695.954
2001-02-16,685.209
2001-02-19,684.447
2001-02-20,673.992
2001-02-21,664.376
2001-02-22,662.121
2001-02-23,657.909
2001-02-26,666.66
2001-02-27,664.66
2001-02-28,657.658
2001-03-01,657.21
2001-03-02,652.594
2001-03-05,655.733
2001-03-06,664.799
2001-03-07,666.747
2001-03-08,666.537
2001-03-09,654.484
2001-03-12,630.422
2001-03-13,629.584
2001-03-14,615.186
2001-03-15,620.062
2001-03-16,606.712
2001-03-19,612.124
2001-03-20,606.897
2001-03-21,600.445
2001-03-22,587.406
2001-03-23,601.781
2001-03-26,615.027
2001-03-27,628.24
2001-03-28,615.8
2001-03-29,608.673
2001-03-30,611.861
2001-04-02,605.334
2001-04-03,589.709
2001-04-04,593.397
2001-04-05,612.474
2001-04-06,606.432
2001-04-09,609.094
2001-04-10,619.855
2001-04-11,621.121
2001-04-12,629.376
2001-04-13,629.142
2001-04-16,625.004
2001-04-17,626.968
2001-04-18,647.584
2001-04-19,658.179
2001-04-20,654.872
2001-04-23,646.629
2001-04-24,641.166
2001-04-25,648.021
2001-04-26,652.466
2001-04-27,658.484
2001-04-30,658.809
2001-05-01,668.178
2001-05-02,669.683
2001-05-03,661.089
2001-05-04,667.726
2001-05-07,668.578
2001-05-08,664.256
2001-05-09,659.767
2001-05-10,661.807
2001-05-11,656.244
2001-05-14,651.596
2001-05-15,655.628
2001-05-16,665.91
2001-05-17,670.304
2001-05-18,670.755
2001-05-21,679.112
2001-05-22,677.652
2001-05-23,669.613
2001-05-24,670.377
2001-05-25,663.572
2001-05-28,663.496
2001-05-29,658.634
2001-05-30,648.644
2001-05-31,649.11
2001-06-01,649.929
2001-06-04,652.559
2001-06-05,659.0
2001-06-06,653.638
2001-06-07,656.691
2001-06-08,652.014
2001-06-11,644.526
2001-06-12,640.337
2001-06-13,638.107
2001-06-14,631.245
2001-06-15,627.315
2001-06-18,622.779
2001-06-19,623.413
2001-06-20,624.99
2001-06-21,630.915
2001-06-22,629.523
2001-06-25,627.857
2001-06-26,624.299
2001-06-27,621.861
2001-06-28,625.524
2001-06-29,628.073
2001-07-02,634.148
2001-07-03,631.864
2001-07-04,629.537
2001-07-05,620.697
2001-07-06,608.677
2001-07-09,611.457
2001-07-10,607.172
2001-07-11,604.555
2001-07-12,614.821
2001-07-13,617.034
2001-07-16,612.415
2001-07-17,612.921
2001-07-18,611.017
2001-07-19,615.463
2001-07-20,613.755
2001-07-23,605.351
2001-07-24,599.582
2001-07-25,603.973
2001-07-26,608.213
2001-07-27,611.287
2001-07-30,611.704
2001-07-31,617.252
2001-08-01,621.586
2001-08-02,625.713
2001-08-03,622.141
2001-08-06,616.978
2001-08-07,618.059
2001-08-08,609.528
2001-08-09,606.113
2001-08-10,608.015
2001-08-13,608.555
2001-08-14,611.547
2001-08-15,611.087
2001-08-16,608.646
2001-08-17,600.227
2001-08-20,601.001
2001-08-21,599.587
2001-08-22,603.43
2001-08-23,599.97
2001-08-24,609.77
2001-08-27,608.6
2001-08-28,600.301
2001-08-29,595.526
2001-08-30,585.012
2001-08-31,586.145
2001-09-03,582.071
2001-09-04,583.544
2001-09-05,578.506
2001-09-06,567.279
2001-09-07,558.942
2001-09-10,557.149
2001-09-11,549.301
2001-09-12,546.721
2001-09-13,549.818
2001-09-14,545.806
2001-09-17,531.707
2001-09-18,529.763
2001-09-19,524.842
2001-09-20,509.195
2001-09-21,496.247
2001-09-24,514.774
2001-09-25,521.545
2001-09-26,520.719
2001-09-27,525.617
2001-09-28,537.017
2001-10-01,534.769
2001-10-02,540.658
2001-10-03,547.041
2001-10-04,552.171
2001-10-05,553.05
2001-10-08,550.725
2001-10-09,546.826
2001-10-10,555.694
2001-10-11,563.033
2001-10-12,562.415
2001-10-15,557.95
2001-10-16,562.317
2001-10-17,560.656
2001-10-18,553.59
2001-10-19,551.028
2001-10-22,557.276
2001-10-23,560.359
2001-10-24,561.942
2001-10-25,563.909
2001-10-26,567.794
2001-10-29,557.967
2001-10-30,548.259
2001-10-31,548.453
2001-11-01,557.962
2001-11-02,558.895
2001-11-05,566.073
2001-11-06,571.823
2001-11-07,571.216
2001-11-08,575.092
2001-11-09,573.37
2001-11-12,568.825
2001-11-13,577.446
2001-11-14,579.118
2001-11-15,580.864
2001-11-16,582.301
2001-11-19,587.641
2001-11-20,582.945
2001-11-21,579.637
2001-11-22,581.557
2001-11-23,583.809
2001-11-26,588.225
2001-11-27,584.028
2001-11-28,575.062
2001-11-29,577.986
2001-11-30,580.314
2001-12-03,574.07
2001-12-04,580.57
2001-12-05,594.099
2001-12-06,594.834
2001-12-07,589.246
2001-12-10,578.946
2001-12-11,577.633
2001-12-12,578.808
2001-12-13,569.278
2001-12-14,568.836
2001-12-17,575.939
2001-12-18,577.717
2001-12-19,578.076
2001-12-20,574.572
2001-12-21,576.137
2001-12-24,574.604
2001-12-25,574.322
2001-12-26,575.318
2001-12-27,582.444
2001-12-28,585.023
2001-12-31,582.698
2002-01-01,582.698
2002-01-02,584.596
2002-01-03,590.572
2002-01-04,593.8
2002-01-07,589.728
2002-01-08,585.081
2002-01-09,582.61
2002-01-10,580.985
2002-01-11,577.949
2002-01-14,572.815
2002-01-15,574.966
2002-01-16,566.724
2002-01-17,571.198
2002-01-18,568.387
2002-01-21,567.228
2002-01-22,563.17
2002-01-23,565.948
2002-01-24,568.451
2002-01-25,566.063
2002-01-28,567.683
2002-01-29,554.781
2002-01-30,555.194
2002-01-31,562.283
2002-02-01,559.215
2002-02-04,549.839
2002-02-05,544.637
2002-02-06,540.614
2002-02-07,542.639
2002-02-08,548.154
2002-02-11,555.635
2002-02-12,554.93
2002-02-13,558.976
2002-02-14,560.363
2002-02-15,555.235
2002-02-18,553.739
2002-02-19,543.506
2002-02-20,545.941
2002-02-21,543.929
2002-02-22,545.844
2002-02-25,552.919
2002-02-26,553.025
2002-02-27,556.148
2002-02-28,556.036
2002-03-01,566.406
2002-03-04,580.483
2002-03-05,577.697
2002-03-06,584.488
2002-03-07,588.409
2002-03-08,590.849
2002-03-11,591.733
2002-03-12,586.56
2002-03-13,582.237
2002-03-14,584.317
2002-03-15,590.546
2002-03-18,589.416
2002-03-19,592.717
2002-03-20,585.49
2002-03-21,584.844
2002-03-22,582.278
2002-03-25,575.231
2002-03-26,577.06
2002-03-27,578.768
2002-03-28,582.092
2002-03-29,580.828
2002-04-01,581.494
2002-04-02,578.813
2002-04-03,576.345
2002-04-04,575.696
2002-04-05,573.879
2002-04-08,571.264
2002-04-09,568.592
2002-04-10,574.362
2002-04-11,563.472
2002-04-12,564.914
2002-04-15,564.761
2002-04-16,576.761
2002-04-17,578.295
2002-04-18,577.93
2002-04-19,577.771
2002-04-22,572.082
2002-04-23,569.34
2002-04-24,566.716
2002-04-25,566.029
2002-04-26,560.083
2002-04-29,556.769
2002-04-30,560.602
2002-05-01,564.788
2002-05-02,562.778
2002-05-03,560.438
2002-05-06,554.118
2002-05-07,549.67
2002-05-08,564.798
2002-05-09,560.094
2002-05-10,553.843
2002-05-13,560.447
2002-05-14,566.987
2002-05-15,569.038
2002-05-16,571.903
2002-05-17,577.271
2002-05-20,572.649
2002-05-21,568.729
2002-05-22,570.276
2002-05-23,572.542
2002-05-24,569.253
2002-05-27,568.316
2002-05-28,565.79
2002-05-29,563.503
2002-05-30,561.574
2002-05-31,562.436
2002-06-03,554.109
2002-06-04,551.128
2002-06-05,551.558
2002-06-06,545.231
2002-06-07,541.779
2002-06-10,542.469
2002-06-11,537.916
2002-06-12,537.279
2002-06-13,531.464
2002-06-14,526.411
2002-06-17,538.711
2002-06-18,539.632
2002-06-19,531.333
2002-06-20,525.625
2002-06-21,519.775
2002-06-24,519.05
2002-06-25,516.391
2002-06-26,514.711
2002-06-27,521.632
2002-06-28,528.34
2002-07-01,522.078
2002-07-02,510.919
2002-07-03,508.901
2002-07-04,511.436
2002-07-05,528.162
2002-07-08,526.304
2002-07-09,518.856
2002-07-10,502.467
2002-07-11,498.677
2002-07-12,497.335
2002-07-15,489.889
2002-07-16,484.727
2002-07-17,491.041
2002-07-18,486.11
2002-07-19,468.584
2002-07-22,451.086
2002-07-23,439.388
2002-07-24,451.961
2002-07-25,455.7
2002-07-26,458.982
2002-07-29,480.566
2002-07-30,483.615
2002-07-31,486.695
2002-08-01,472.122
2002-08-02,466.482
2002-08-05,452.794
2002-08-06,461.975
2002-08-07,468.902
2002-08-08,483.371
2002-08-09,488.157
2002-08-12,483.564
2002-08-13,478.823
2002-08-14,488.424
2002-08-15,495.306
2002-08-16,496.1
2002-08-19,505.101
2002-08-20,498.409
2002-08-21,504.522
2002-08-22,510.594
2002-08-23,501.508
2002-08-26,503.43
2002-08-27,502.622
2002-08-28,491.207
2002-08-29,488.538
2002-08-30,488.784
2002-09-02,486.366
2002-09-03,468.556
2002-09-04,472.728
2002-09-05,468.342
2002-09-06,475.619
2002-09-09,477.123
2002-09-10,481.697
2002-09-11,484.403
2002-09-12,472.846
2002-09-13,470.246
2002-09-16,469.56
2002-09-17,463.474
2002-09-18,458.224
2002-09-19,448.957
2002-09-20,447.979
2002-09-23,440.107
2002-09-24,433.401
2002-09-25,440.904
2002-09-26,452.02
2002-09-27,443.612
2002-09-30,435.0
2002-10-01,446.46
2002-10-02,443.508
2002-10-03,438.834
2002-10-04,429.879
2002-10-07,422.042
2002-10-08,423.871
2002-10-09,416.627
2002-10-10,427.577
2002-10-11,444.378
2002-10-14,445.341
2002-10-15,466.76
2002-10-16,458.327
2002-10-17,467.498
2002-10-18,468.823
2002-10-21,473.161
2002-10-22,468.488
2002-10-23,466.486
2002-10-24,464.968
2002-10-25,470.225
2002-10-28,470.516
2002-10-29,462.258
2002-10-30,468.418
2002-10-31,469.216
2002-11-01,473.2
2002-11-04,480.206
2002-11-05,485.148
2002-11-06,485.434
2002-11-07,477.776
2002-11-08,474.161
2002-11-11,466.087
2002-11-12,469.731
2002-11-13,467.9
2002-11-14,476.512
2002-11-15,480.48
2002-11-18,478.043
2002-11-19,476.546
2002-11-20,481.013
2002-11-21,491.84
2002-11-22,491.016
2002-11-25,490.435
2002-11-26,481.241
2002-11-27,492.054
2002-11-28,494.666
2002-11-29,493.069
2002-12-02,492.08
2002-12-03,485.149
2002-12-04,483.184
2002-12-05,477.453
2002-12-06,480.135
2002-12-09,470.626
2002-12-10,475.262
2002-12-11,476.441
2002-12-12,474.296
2002-12-13,469.6
2002-12-16,479.498
2002-12-17,476.628
2002-12-18,468.934
2002-12-19,466.617
2002-12-20,471.678
2002-12-23,472.993
2002-12-24,472.367
2002-12-25,472.226
2002-12-26,471.941
2002-12-27,463.993
2002-12-30,467.255
2002-12-31,468.743
2003-01-01,468.743
2003-01-02,480.457
2003-01-03,482.023
2003-01-06,491.309
2003-01-07,486.83
2003-01-08,479.702
2003-01-09,487.366
2003-01-10,488.382
2003-01-13,488.637
2003-01-14,492.121
2003-01-15,486.175
2003-01-16,484.588
2003-01-17,478.419
2003-01-20,475.963
2003-01-21,470.571
2003-01-22,465.145
2003-01-23,468.351
2003-01-24,458.849
2003-01-27,449.135
2003-01-28,452.353
2003-01-29,455.014
2003-01-30,450.189
2003-01-31,453.393
2003-02-03,457.746
2003-02-04,451.533
2003-02-05,452.219
2003-02-06,447.129
2003-02-07,442.994
2003-02-10,443.369
2003-02-11,443.498
2003-02-12,438.971
2003-02-13,438.921
2003-02-14,446.423
2003-02-17,448.63
2003-02-18,454.709
2003-02-19,450.555
2003-02-20,447.853
2003-02-21,451.941
2003-02-24,445.595
2003-02-25,442.856
2003-02-26,439.304
2003-02-27,442.762
2003-02-28,446.009
2003-03-03,445.801
2003-03-04,439.73
2003-03-05,442.009
2003-03-06,437.711
2003-03-07,437.454
2003-03-10,427.332
2003-03-11,424.41
2003-03-12,421.69
2003-03-13,434.855
2003-03-14,439.824
2003-03-17,452.048
2003-03-18,453.145
2003-03-19,457.507
2003-03-20,458.384
2003-03-21,467.731
2003-03-24,454.741
2003-03-25,458.986
2003-03-26,458.13
2003-03-27,455.946
2003-03-28,453.81
2003-03-31,444.795
2003-04-01,450.166
2003-04-02,460.516
2003-04-03,459.385
2003-04-04,461.556
2003-04-07,465.971
2003-04-08,463.85
2003-04-09,459.733
2003-04-10,460.197
2003-04-11,458.586
2003-04-14,465.49
2003-04-15,470.243
2003-04-16,466.093
2003-04-17,472.147
2003-04-18,472.216
2003-04-21,470.808
2003-04-22,478.963
2003-04-23,483.032
2003-04-24,479.446
2003-04-25,472.878
2003-04-28,480.486
2003-04-29,481.152
2003-04-30,483.938
2003-05-01,484.915
2003-05-02,489.6
2003-05-05,490.105
2003-05-06,496.279
2003-05-07,493.701
2003-05-08,488.109
2003-05-09,494.238
2003-05-12,499.471
2003-05-13,498.534
2003-05-14,498.046
2003-05-15,501.071
2003-05-16,501.451
2003-05-19,490.808
2003-05-20,490.842
2003-05-21,491.001
2003-05-22,495.62
2003-05-23,497.0
2003-05-26,497.413
2003-05-27,503.468
2003-05-28,505.357
2003-05-29,506.387
2003-05-30,509.266
2003-06-02,514.225
2003-06-03,515.002
2003-06-04,520.945
2003-06-05,523.767
2003-06-06,524.606
2003-06-09,520.298
2003-06-10,522.855
2003-06-11,530.451
2003-06-12,531.869
2003-06-13,527.975
2003-06-16,537.747
2003-06-17,540.296
2003-06-18,539.727
2003-06-19,532.228
2003-06-20,533.03
2003-06-23,525.226
2003-06-24,523.842
2003-06-25,522.199
2003-06-26,523.395
2003-06-27,520.736
2003-06-30,518.676
2003-07-01,520.817
2003-07-02,527.901
2003-07-03,527.336
2003-07-04,526.034
2003-07-07,534.562
2003-07-08,534.614
2003-07-09,532.093
2003-07-10,526.293
2003-07-11,529.302
2003-07-14,533.952
2003-07-15,530.844
2003-07-16,527.37
2003-07-17,520.388
2003-07-18,524.487
2003-07-21,519.828
2003-07-22,523.325
2003-07-23,525.308
2003-07-24,526.284
2003-07-25,531.67
2003-07-28,532.608
2003-07-29,529.545
2003-07-30,526.847
2003-07-31,527.548
2003-08-01,522.767
2003-08-04,523.102
2003-08-05,518.345
2003-08-06,517.033
2003-08-07,520.512
2003-08-08,522.343
2003-08-11,525.053
2003-08-12,528.853
2003-08-13,527.82
2003-08-14,532.107
2003-08-15,532.346
2003-08-18,535.782
2003-08-19,536.132
2003-08-20,536.081
2003-08-21,536.426
2003-08-22,532.126
2003-08-25,531.476
2003-08-26,530.976
2003-08-27,532.107
2003-08-28,534.347
2003-08-29,536.257
2003-09-01,539.27
2003-09-02,543.059
2003-09-03,546.887
2003-09-04,547.998
2003-09-05,546.949
2003-09-08,552.231
2003-09-09,550.066
2003-09-10,544.915
2003-09-11,545.74
2003-09-12,547.656
2003-09-15,546.699
2003-09-16,553.111
2003-09-17,553.97
2003-09-18,560.42
2003-09-19,558.924
2003-09-22,552.903
2003-09-23,554.542
2003-09-24,548.316
2003-09-25,544.998
2003-09-26,541.287
2003-09-29,543.946
2003-09-30,539.342
2003-10-01,551.032
2003-10-02,553.535
2003-10-03,559.675
2003-10-06,560.948
2003-10-07,563.855
2003-10-08,561.018
2003-10-09,565.067
2003-10-10,566.345
2003-10-13,569.532
2003-10-14,571.109
2003-10-15,570.34
2003-10-16,572.48
2003-10-17,567.987
2003-10-20,570.204
2003-10-21,571.266
2003-10-22,564.104
2003-10-23,560.564
2003-10-24,559.811
2003-10-27,561.717
2003-10-28,568.021
2003-10-29,569.617
2003-10-30,569.789
2003-10-31,568.773
2003-11-03,571.335
2003-11-04,571.271
2003-11-05,569.177
2003-11-06,569.457
2003-11-07,570.979
2003-11-10,568.434
2003-11-11,566.223
2003-11-12,572.378
2003-11-13,574.938
2003-11-14,573.73
2003-11-17,567.119
2003-11-18,566.247
2003-11-19,567.014
2003-11-20,565.036
2003-11-21,565.964
2003-11-24,571.737
2003-11-25,572.801
2003-11-26,576.368
2003-11-27,576.98
2003-11-28,577.02
2003-12-01,584.304
2003-12-02,584.635
2003-12-03,585.565
2003-12-04,586.808
2003-12-05,584.084
2003-12-08,585.801
2003-12-09,584.097
2003-12-10,581.868
2003-12-11,585.863
2003-12-12,589.148
2003-12-15,589.701
2003-12-16,590.79
2003-12-17,591.326
2003-12-18,596.705
2003-12-19,597.78
2003-12-22,600.057
2003-12-23,601.949
2003-12-24,602.342
2003-12-25,602.36
2003-12-26,603.249
2003-12-29,609.416
