Date,AUSTRIA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,246.472
2001-01-02,247.49
2001-01-03,242.356
2001-01-04,241.431
2001-01-05,248.483
2001-01-08,248.815
2001-01-09,246.667
2001-01-10,248.655
2001-01-11,251.138
2001-01-12,253.331
2001-01-15,252.909
2001-01-16,248.819
2001-01-17,246.66
2001-01-18,245.641
2001-01-19,244.404
2001-01-22,242.679
2001-01-23,243.026
2001-01-24,235.638
2001-01-25,236.008
2001-01-26,241.19
2001-01-29,239.683
2001-01-30,243.544
2001-01-31,250.904
2001-02-01,265.033
2001-02-02,254.529
2001-02-05,259.902
2001-02-06,257.049
2001-02-07,262.51
2001-02-08,263.55
2001-02-09,261.896
2001-02-12,267.977
2001-02-13,266.588
2001-02-14,262.494
2001-02-15,259.162
2001-02-16,265.04
2001-02-19,272.619
2001-02-20,272.108
2001-02-21,273.975
2001-02-22,272.938
2001-02-23,265.029
2001-02-26,265.231
2001-02-27,269.902
2001-02-28,265.141
2001-03-01,269.046
2001-03-02,270.469
2001-03-05,267.343
2001-03-06,270.301
2001-03-07,273.055
2001-03-08,274.085
2001-03-09,270.784
2001-03-12,269.913
2001-03-13,265.751
2001-03-14,261.191
2001-03-15,259.369
2001-03-16,250.865
2001-03-19,247.451
2001-03-20,249.186
2001-03-21,247.43
2001-03-22,240.779
2001-03-23,246.408
2001-03-26,252.838
2001-03-27,255.752
2001-03-28,250.334
2001-03-29,249.54
2001-03-30,250.793
2001-04-02,245.738
2001-04-03,244.564
2001-04-04,251.629
2001-04-05,256.36
2001-04-06,252.36
2001-04-09,256.448
2001-04-10,254.749
2001-04-11,249.4
2001-04-12,251.495
2001-04-13,251.495
2001-04-16,248.919
2001-04-17,248.613
2001-04-18,246.312
2001-04-19,249.989
2001-04-20,255.214
2001-04-23,251.818
2001-04-24,255.772
2001-04-25,254.458
2001-04-26,254.297
2001-04-27,250.962
2001-04-30,250.524
2001-05-01,251.852
2001-05-02,257.793
2001-05-03,255.95
2001-05-04,252.759
2001-05-07,250.943
