Date,AUSTRIA IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,489.548
1994-06-30,527.175
1994-07-29,515.411
1994-08-31,531.588
1994-09-30,512.95
1994-10-31,500.831
1994-11-30,489.295
1994-12-30,504.105
1995-01-31,487.431
1995-02-28,507.848
1995-03-31,514.61
1995-04-28,510.808
1995-05-31,533.722
1995-06-30,550.966
1995-07-31,562.804
1995-08-31,522.237
1995-09-29,530.746
1995-10-31,511.199
1995-11-30,499.706
1995-12-29,513.689
1996-01-31,537.733
1996-02-29,533.725
1996-03-29,527.846
1996-04-30,527.256
1996-05-31,546.244
1996-06-28,523.666
1996-07-31,515.765
1996-08-30,522.897
1996-09-30,505.815
1996-10-31,507.938
1996-11-29,523.949
1996-12-31,530.281
1997-01-31,514.74
1997-02-28,513.042
1997-03-31,514.423
1997-04-30,489.451
1997-05-30,525.425
1997-06-30,534.175
1997-07-31,578.066
1997-08-29,535.98
1997-09-30,590.026
1997-10-31,541.16
1997-11-28,499.393
1997-12-31,510.873
1998-01-30,518.271
1998-02-27,545.721
1998-03-31,562.462
1998-04-30,607.278
1998-05-29,612.215
1998-06-30,572.709
1998-07-31,560.469
1998-08-31,469.218
1998-09-30,426.279
1998-10-30,458.444
1998-11-30,437.328
1998-12-31,443.551
1999-01-29,435.68
1999-02-26,434.274
1999-03-31,421.833
1999-04-30,418.647
1999-05-31,374.066
1999-06-30,395.71
1999-07-30,408.243
1999-08-31,396.158
1999-09-30,387.327
1999-10-29,383.912
1999-11-30,347.677
1999-12-31,366.449
2000-01-31,309.816
2000-02-29,320.535
2000-03-31,303.432
2000-04-28,273.118
2000-05-31,286.914
2000-06-30,298.008
2000-07-31,279.658
2000-08-31,263.296
2000-09-29,271.195
2000-10-31,236.314
2000-11-30,240.105
2004-11-30,551.031
2004-12-31,590.581
2005-01-31,571.752
2005-02-28,617.942
2005-03-31,597.795
2005-04-29,580.669
2005-05-31,586.709
2005-06-30,606.072
2005-07-29,624.332
2005-08-31,646.657
2005-09-30,634.391
2005-10-31,619.415
2005-11-30,644.893
2005-12-30,674.052
2006-01-31,749.868
2006-02-28,742.664
2006-03-31,757.91
