Date,AUSTRIA IMI GROWTH IMI (Large+Mid+Small Cap)
2007-04-30,994.528
2007-05-31,1000.0
2007-06-29,987.644
2007-07-31,942.588
2007-08-31,897.483
2007-09-28,896.367
2007-10-31,964.425
2007-11-30,891.408
2007-12-31,870.97
2008-01-31,748.729
2008-02-29,771.453
2008-03-31,797.096
2008-04-30,884.743
2008-05-30,910.708
2008-06-30,857.054
2008-07-31,779.61
2008-08-29,730.97
2008-09-30,530.506
2008-10-31,339.44
2008-11-28,326.084
2008-12-31,356.995
2009-01-30,336.954
2009-02-27,294.928
2009-03-31,345.16
2009-04-30,378.068
2009-05-29,451.093
2009-06-30,454.766
2009-07-31,454.462
2009-08-31,481.119
2009-09-30,515.637
2009-10-30,501.635
2009-11-30,508.711
2009-12-31,487.929
2010-01-29,464.676
2010-02-26,444.658
2010-03-31,472.859
2010-04-30,481.532
2010-05-31,408.094
2010-06-30,382.729
2010-07-30,446.343
2010-08-31,427.389
2010-09-30,493.424
2010-10-29,526.445
2010-11-30,489.426
2010-12-31,559.69
2011-01-31,553.851
2011-02-28,551.394
2011-03-31,575.693
2011-04-29,599.706
2011-05-31,587.641
2011-06-30,597.467
2011-07-29,559.938
2011-08-31,463.713
2011-09-30,367.367
2011-10-31,379.128
2011-11-30,337.228
2011-12-30,330.817
2012-01-31,360.585
2012-02-29,389.546
2012-03-30,392.71
2012-04-30,397.334
2012-05-31,358.671
2012-06-29,353.016
2012-07-31,352.981
2012-08-31,355.125
2012-09-28,375.839
2012-10-31,392.038
2012-11-30,403.939
2012-12-31,422.679
2013-01-31,441.16
2013-02-28,437.234
2013-03-29,405.455
2013-04-30,422.763
2013-05-31,411.599
2013-06-28,369.652
2013-07-31,398.242
2013-08-30,408.134
2013-09-30,423.072
2013-10-31,448.178
2013-11-29,450.88
2013-12-31,443.331
2014-01-31,444.731
2014-02-28,473.521
2014-03-31,466.757
2014-04-30,464.037
2014-05-30,460.898
2014-06-30,443.494
2014-07-31,386.256
2014-08-29,379.947
2014-09-30,351.68
2014-10-31,349.759
2014-11-28,375.387
2014-12-31,352.855
2015-01-30,339.678
2015-02-27,384.815
2015-03-31,376.035
2015-04-30,401.462
2015-05-29,407.742
2015-06-30,393.103
2015-07-31,410.71
2015-08-31,391.331
2015-09-30,375.151
2015-10-30,396.03
2015-11-30,400.293
2015-12-31,400.755
2016-01-29,360.977
2016-02-29,376.294
2016-03-31,419.351
2016-04-29,428.339
2016-05-31,395.533
2016-06-30,350.962
2016-07-29,373.137
2016-08-31,372.156
2016-09-30,400.809
2016-10-31,388.37
2016-11-30,391.168
2016-12-30,392.737
2017-01-31,423.538
2017-02-28,420.913
2017-03-31,422.408
2017-04-28,453.001
2017-05-31,482.9
2017-06-30,473.614
2017-07-31,486.452
2017-08-31,435.654
2017-09-29,468.755
2017-10-31,478.022
2017-11-30,457.111
2017-12-29,473.064
2018-01-31,528.282
2018-02-28,495.42
2018-03-30,492.629
2018-04-30,469.582
2018-05-31,448.243
2018-06-29,447.992
2018-07-31,469.618
2018-08-31,454.521
2018-09-28,456.072
2018-10-31,430.84
2018-11-30,421.569
2018-12-31,381.628
