Date,AUSTRIA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,250.655
2001-01-02,251.691
2001-01-03,246.469
2001-01-04,245.528
2001-01-05,252.7
2001-01-08,253.038
2001-01-09,250.854
2001-01-10,252.875
2001-01-11,255.4
2001-01-12,257.63
2001-01-15,257.201
2001-01-16,253.042
2001-01-17,250.847
2001-01-18,249.811
2001-01-19,248.552
2001-01-22,246.798
2001-01-23,247.151
2001-01-24,239.637
2001-01-25,240.014
2001-01-26,245.283
2001-01-29,243.751
2001-01-30,247.677
2001-01-31,255.163
2001-02-01,269.531
2001-02-02,258.849
2001-02-05,264.313
2001-02-06,261.411
2001-02-07,266.965
2001-02-08,268.023
2001-02-09,266.341
2001-02-12,272.526
2001-02-13,271.112
2001-02-14,266.949
2001-02-15,263.56
2001-02-16,269.538
2001-02-19,277.246
2001-02-20,276.726
2001-02-21,278.625
2001-02-22,277.57
2001-02-23,269.527
2001-02-26,269.732
2001-02-27,274.482
2001-02-28,269.641
2001-03-01,273.613
2001-03-02,275.059
2001-03-05,271.88
2001-03-06,274.888
2001-03-07,277.69
2001-03-08,278.736
2001-03-09,275.38
2001-03-12,274.494
2001-03-13,270.262
2001-03-14,265.624
2001-03-15,263.771
2001-03-16,255.122
2001-03-19,251.651
2001-03-20,253.415
2001-03-21,251.63
2001-03-22,244.865
2001-03-23,250.591
2001-03-26,256.792
2001-03-27,259.752
2001-03-28,254.249
2001-03-29,253.443
2001-03-30,254.714
2001-04-02,249.581
2001-04-03,248.388
2001-04-04,255.564
2001-04-05,260.368
2001-04-06,256.306
2001-04-09,260.459
2001-04-10,258.733
2001-04-11,253.3
2001-04-12,255.427
2001-04-13,255.427
2001-04-16,252.812
2001-04-17,252.501
2001-04-18,250.164
2001-04-19,253.898
2001-04-20,259.205
2001-04-23,255.756
2001-04-24,259.772
2001-04-25,258.437
2001-04-26,258.274
2001-04-27,254.887
2001-04-30,254.442
2001-05-01,255.791
2001-05-02,261.824
2001-05-03,259.953
2001-05-04,256.712
2001-05-07,254.867
2001-05-08,253.466
2001-05-09,250.816
2001-05-10,252.358
2001-05-11,249.141
2001-05-14,249.447
2001-05-15,245.238
2001-05-16,245.786
2001-05-17,243.85
2001-05-18,240.384
2001-05-21,237.966
2001-05-22,235.142
2001-05-23,231.495
2001-05-24,230.654
2001-05-25,233.61
2001-05-28,236.355
2001-05-29,230.879
2001-05-30,229.92
2001-05-31,227.057
2001-06-01,231.523
2001-06-04,231.837
2001-06-05,233.37
2001-06-06,229.824
2001-06-07,233.75
2001-06-08,233.419
2001-06-11,230.121
2001-06-12,233.096
2001-06-13,235.359
2001-06-14,237.508
2001-06-15,237.626
2001-06-18,237.986
2001-06-19,236.688
2001-06-20,235.829
2001-06-21,234.462
2001-06-22,235.602
2001-06-25,239.882
2001-06-26,240.126
2001-06-27,235.285
2001-06-28,232.749
2001-06-29,226.548
2001-07-02,224.854
2001-07-03,223.768
2001-07-04,224.792
2001-07-05,223.878
2001-07-06,225.113
2001-07-09,226.529
2001-07-10,231.984
2001-07-11,233.33
2001-07-12,229.86
2001-07-13,233.804
2001-07-16,235.05
2001-07-17,231.372
2001-07-18,237.457
2001-07-19,239.787
2001-07-20,240.155
2001-07-23,241.013
2001-07-24,242.593
2001-07-25,240.676
2001-07-26,241.125
2001-07-27,245.297
2001-07-30,244.158
2001-07-31,242.211
2001-08-01,242.383
2001-08-02,240.007
2001-08-03,237.789
2001-08-06,237.61
2001-08-07,238.528
2001-08-08,237.82
2001-08-09,239.344
2001-08-10,242.053
2001-08-13,244.446
2001-08-14,242.823
2001-08-15,246.53
2001-08-16,245.69
2001-08-17,243.475
2001-08-20,241.082
2001-08-21,244.663
2001-08-22,250.053
2001-08-23,247.659
2001-08-24,246.309
2001-08-27,241.99
2001-08-28,243.192
2001-08-29,242.807
2001-08-30,239.671
2001-08-31,239.801
2001-09-03,237.422
2001-09-04,236.111
2001-09-05,233.997
2001-09-06,236.292
2001-09-07,235.915
2001-09-10,230.072
2001-09-11,229.362
2001-09-12,228.082
2001-09-13,233.178
2001-09-14,233.311
2001-09-17,231.026
2001-09-18,232.113
2001-09-19,234.006
2001-09-20,231.717
2001-09-21,226.935
2001-09-24,225.322
2001-09-25,221.329
2001-09-26,226.522
2001-09-27,229.075
2001-09-28,224.792
2001-10-01,230.62
2001-10-02,233.487
2001-10-03,234.254
2001-10-04,236.874
2001-10-05,231.87
2001-10-08,234.712
2001-10-09,234.168
2001-10-10,228.156
2001-10-11,229.733
2001-10-12,233.944
2001-10-15,231.567
2001-10-16,238.401
2001-10-17,239.294
2001-10-18,238.027
2001-10-19,231.239
2001-10-22,228.009
2001-10-23,228.121
2001-10-24,227.305
2001-10-25,225.628
2001-10-26,224.657
2001-10-29,225.562
2001-10-30,227.611
