Date,UNITED KINGDOM Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,99.383
1970-02-27,94.182
1970-03-31,96.612
1970-04-30,86.858
1970-05-29,82.614
1970-06-30,86.466
1970-07-31,89.798
1970-08-31,89.704
1970-09-30,95.07
1970-10-30,94.962
1970-11-30,88.586
1970-12-31,94.235
1971-01-29,94.634
1971-02-26,93.033
1971-03-31,101.16
1971-04-30,112.496
1971-05-31,116.771
1971-06-30,118.905
1971-07-30,127.017
1971-08-31,128.899
1971-09-30,129.17
1971-10-29,125.963
1971-11-30,129.396
1971-12-31,139.603
1972-01-31,147.454
1972-02-29,156.631
1972-03-31,157.251
1972-04-28,162.391
1972-05-31,159.362
1972-06-30,144.851
1972-07-31,153.165
1972-08-31,154.264
1972-09-29,137.493
1972-10-31,137.254
1972-11-30,147.078
1972-12-29,145.08
1973-01-31,135.967
1973-02-28,138.001
1973-03-30,138.007
1973-04-30,139.794
1973-05-31,144.328
1973-06-29,143.828
1973-07-31,133.414
1973-08-31,126.191
1973-09-28,128.342
1973-10-31,133.073
1973-11-30,113.411
1973-12-31,107.374
1974-01-31,103.003
1974-02-28,110.319
1974-03-29,92.803
1974-04-30,100.459
1974-05-31,90.432
1974-06-28,82.011
1974-07-31,76.97
1974-08-30,65.925
1974-09-30,58.385
1974-10-31,60.741
1974-11-29,51.63
1974-12-31,53.011
1975-01-31,82.917
1975-02-28,105.234
1975-03-31,96.691
1975-04-30,111.863
1975-05-30,115.791
1975-06-30,97.902
1975-07-31,93.64
1975-08-29,105.995
1975-09-30,104.728
1975-10-31,111.038
1975-11-28,109.175
1975-12-31,114.514
1976-01-30,125.94
1976-02-27,122.03
1976-03-31,114.88
1976-04-30,115.111
1976-05-31,103.261
1976-06-30,103.561
1976-07-30,100.366
1976-08-31,95.575
1976-09-30,84.822
1976-10-29,73.848
1976-11-30,81.65
1976-12-31,100.155
1977-01-31,109.9
1977-02-28,112.703
1977-03-31,116.615
1977-04-29,120.795
1977-05-31,124.069
1977-06-30,128.119
