Date,UNITED KINGDOM Standard (Large+Mid Cap)
2001-01-01,4338.29
2001-01-02,4310.211
2001-01-03,4241.184
2001-01-04,4303.512
2001-01-05,4310.063
2001-01-08,4285.836
2001-01-09,4222.414
2001-01-10,4201.486
2001-01-11,4248.554
2001-01-12,4235.99
2001-01-15,4240.1
2001-01-16,4163.616
2001-01-17,4244.84
2001-01-18,4261.314
2001-01-19,4236.427
2001-01-22,4229.879
2001-01-23,4249.03
2001-01-24,4244.14
2001-01-25,4243.964
2001-01-26,4266.311
2001-01-29,4275.341
2001-01-30,4289.842
2001-01-31,4266.842
2001-02-01,4291.743
2001-02-02,4273.453
2001-02-05,4301.482
2001-02-06,4272.713
2001-02-07,4235.02
2001-02-08,4172.912
2001-02-09,4143.991
2001-02-12,4215.771
2001-02-13,4208.07
2001-02-14,4200.628
2001-02-15,4181.56
2001-02-16,4109.536
2001-02-19,4097.939
2001-02-20,4014.833
2001-02-21,4023.745
2001-02-22,4051.814
2001-02-23,4016.846
2001-02-26,3972.079
2001-02-27,3989.945
2001-02-28,3984.492
2001-03-01,4017.168
2001-03-02,4038.487
2001-03-05,4072.91
2001-03-06,4118.18
2001-03-07,4098.597
2001-03-08,4120.713
2001-03-09,4064.92
2001-03-12,3997.242
2001-03-13,3904.3
2001-03-14,3846.474
2001-03-15,3909.128
2001-03-16,3756.246
2001-03-19,3740.939
2001-03-20,3812.038
2001-03-21,3745.667
2001-03-22,3566.859
2001-03-23,3646.202
2001-03-26,3773.277
2001-03-27,3890.282
2001-03-28,3809.623
2001-03-29,3803.318
2001-03-30,3804.623
2001-04-02,3789.477
2001-04-03,3702.709
2001-04-04,3772.243
2001-04-05,3813.827
2001-04-06,3833.692
2001-04-09,3901.431
2001-04-10,3961.535
2001-04-11,3934.909
2001-04-12,3938.608
2001-04-13,3938.608
2001-04-16,3922.064
2001-04-17,3915.097
2001-04-18,3978.027
2001-04-19,4007.431
2001-04-20,4022.018
2001-04-23,4013.877
2001-04-24,3980.799
2001-04-25,3980.176
2001-04-26,4007.583
2001-04-27,4051.21
2001-04-30,4043.333
2001-05-01,4023.482
2001-05-02,4008.023
2001-05-03,3918.071
2001-05-04,4000.34
2001-05-07,4007.993
2001-05-08,3998.129
2001-05-09,3976.613
2001-05-10,4037.275
2001-05-11,3986.981
2001-05-14,3842.19
2001-05-15,3951.058
2001-05-16,3995.917
2001-05-17,4008.887
2001-05-18,4010.242
2001-05-21,4046.943
2001-05-22,4047.777
2001-05-23,3986.927
2001-05-24,3957.287
2001-05-25,3968.668
2001-05-28,3967.969
2001-05-29,3945.606
2001-05-30,3914.764
2001-05-31,3908.827
2001-06-01,3902.489
2001-06-04,3931.167
2001-06-05,3962.932
2001-06-06,3907.871
2001-06-07,3920.306
2001-06-08,3900.889
2001-06-11,3818.267
2001-06-12,3796.291
2001-06-13,3831.096
2001-06-14,3823.735
2001-06-15,3811.074
2001-06-18,3781.029
2001-06-19,3784.497
2001-06-20,3775.947
2001-06-21,3792.842
2001-06-22,3804.761
2001-06-25,3805.449
2001-06-26,3740.21
2001-06-27,3769.881
2001-06-28,3779.883
2001-06-29,3775.585
2001-07-02,3850.629
2001-07-03,3783.602
2001-07-04,3756.987
2001-07-05,3703.113
2001-07-06,3670.366
2001-07-09,3675.05
2001-07-10,3682.559
2001-07-11,3639.057
2001-07-12,3678.984
2001-07-13,3701.933
2001-07-16,3685.24
2001-07-17,3627.446
2001-07-18,3660.084
2001-07-19,3688.026
2001-07-20,3681.397
2001-07-23,3668.687
2001-07-24,3614.868
2001-07-25,3606.129
2001-07-26,3615.852
2001-07-27,3687.084
2001-07-30,3723.164
2001-07-31,3779.322
2001-08-01,3809.67
2001-08-02,3844.491
2001-08-03,3817.255
2001-08-06,3773.18
2001-08-07,3782.248
2001-08-08,3733.672
2001-08-09,3703.727
2001-08-10,3734.841
2001-08-13,3722.909
2001-08-14,3772.761
2001-08-15,3796.132
2001-08-16,3756.168
2001-08-17,3724.006
2001-08-20,3737.824
2001-08-21,3801.797
2001-08-22,3808.329
2001-08-23,3774.159
2001-08-24,3821.506
2001-08-27,3812.258
2001-08-28,3801.192
2001-08-29,3796.775
2001-08-30,3733.499
2001-08-31,3743.486
2001-09-03,3726.178
2001-09-04,3754.416
2001-09-05,3728.314
2001-09-06,3644.881
2001-09-07,3580.35
2001-09-10,3544.015
2001-09-11,3362.422
2001-09-12,3457.38
2001-09-13,3517.05
2001-09-14,3382.228
2001-09-17,3474.816
2001-09-18,3429.692
2001-09-19,3360.194
2001-09-20,3245.466
2001-09-21,3142.199
2001-09-24,3278.618
2001-09-25,3329.146
2001-09-26,3371.512
2001-09-27,3419.853
2001-09-28,3497.203
2001-10-01,3435.137
2001-10-02,3437.805
2001-10-03,3495.202
2001-10-04,3592.745
2001-10-05,3621.718
2001-10-08,3604.688
2001-10-09,3573.327
2001-10-10,3627.918
2001-10-11,3621.723
2001-10-12,3621.039
2001-10-15,3560.206
2001-10-16,3572.066
2001-10-17,3666.17
2001-10-18,3593.448
2001-10-19,3508.922
2001-10-22,3519.198
2001-10-23,3584.679
2001-10-24,3573.425
2001-10-25,3534.7
2001-10-26,3615.577
2001-10-29,3581.681
2001-10-30,3537.248
2001-10-31,3564.701
2001-11-01,3604.244
2001-11-02,3651.294
2001-11-05,3693.807
2001-11-06,3708.393
2001-11-07,3730.256
2001-11-08,3750.094
2001-11-09,3731.665
2001-11-12,3658.474
2001-11-13,3713.26
2001-11-14,3694.784
2001-11-15,3674.068
2001-11-16,3704.853
2001-11-19,3703.396
2001-11-20,3675.765
2001-11-21,3675.834
2001-11-22,3697.072
2001-11-23,3647.907
2001-11-26,3666.621
2001-11-27,3645.607
2001-11-28,3629.025
2001-11-29,3627.229
2001-11-30,3642.407
2001-12-03,3597.904
2001-12-04,3635.454
2001-12-05,3712.055
2001-12-06,3758.009
2001-12-07,3700.86
2001-12-10,3651.269
2001-12-11,3636.268
2001-12-12,3635.141
2001-12-13,3602.926
2001-12-14,3604.569
2001-12-17,3671.221
2001-12-18,3682.987
2001-12-19,3641.98
2001-12-20,3607.831
2001-12-21,3640.142
2001-12-24,3656.504
2001-12-25,3656.504
2001-12-26,3677.842
2001-12-27,3716.742
2001-12-28,3725.756
2001-12-31,3728.844
